Middle High German	Old West Norse	probability
ˈøː	ˈøy̯	1.0
ˈyə̯	ˈøː	1.0
ˈi_r	ˈeː_r̥	1.0
ˈei̯	ˈɛi̯	1.0
ˈe_n	e	1.0
ʦː	-	1.0
ʃː	s_k	1.0
ʃ_t	s_t	1.0
ɡ_ə	ɣ	1.0
ɛ	ˈe_tː	1.0
ə_n	ɑ	1.0
ɑː	ˈɑː	1.0
xː	k	1.0
x	k	1.0
w_ˈo	ˈu	1.0
v	f	1.0
tː	ð_j	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ˈɑ	s_ˈɑ	1.0
rː	r̥ː	1.0
r_ʦ	r_t	1.0
r_n	r_n	1.0
oː	ɑ_ð	1.0
ou̯	ˈɑu̯	1.0
nː	nː	1.0
n_d	nː	1.0
mː	mː	1.0
m	m	1.0
lː	lː	1.0
l_t	l_d	1.0
k	-	1.0
i	ɑ_ɣ	1.0
h_ˈɛ	ç_ˈɑ	1.0
h_ə	ɑː	1.0
h	h	1.0
fː	p	1.0
d_ə	ð	1.0
ˈiː	ˈiː	0.867
s	s	0.862
r	r	0.843
d	θ	0.829
l	l	0.827
ŋ	ŋ	0.813
ˈɑː	ˈɑː	0.798
w	v	0.759
kʰ	kʰ	0.746
ˈuː	ˈuː	0.739
ʦ	tʰ	0.726
b	b	0.722
ˈuə̯	ˈoː	0.681
x_t	tː_r̥	0.646
p͡f	p	0.643
ʃ	s	0.631
ˈi	ˈi	0.623
b̥	v	0.623
kː	kː	0.621
t	ð	0.611
ˈu	ˈu	0.605
n	n	0.573
ˈou̯	ˈɑu̯	0.57
ˈɑ	ˈɑ	0.565
ˈe	-	0.565
f	p	0.557
ˈyː	ˈyː	0.554
ˈy	ˈu	0.502
ˈeː	ˈɛː	0.5
ˈeː	ˈɑː	0.5
ˈy	ˈy	0.498
ˈo	ˈo	0.49
ɡ̊	ɡ_r̥	0.466
ˈyː	-	0.446
ˈoː	ˈɑu̯	0.446
ˈe	ˈe	0.435
ˈou̯	-	0.43
ˈoː	-	0.405
ˈɛ	ˈe	0.403
ə_r	i_r	0.402
ə_r	r̥	0.397
ˈu	ˈo	0.395
ɡ	ɟ	0.386
kː	cː	0.379
b̥	f_r̥	0.377
d̥	d	0.37
ʃ	s_c	0.369
p͡f	pʰ	0.357
x_t	tː	0.354
ˈiə̯	j_ˈoː	0.353
f	v	0.353
t	t	0.329
ɡ	ɣ	0.319
ˈiə̯	j_ˈuː	0.299
d̥	d_r̥	0.28
b	v	0.278
ʦ	-	0.274
ɡ̊	ɣ_r̥	0.263
ˈo	-	0.262
ˈuː	ˈu	0.261
ɡ	ɡ	0.256
kʰ	cʰ	0.254
ˈo	ˈu	0.248
ə	-	0.24
n	-	0.23
ə	a	0.218
d̥	ð	0.21
ˈɛ	-	0.209
ˈɑː	-	0.202
ə_r	r	0.201
ˈɛ	j_ˈɑ	0.197
ˈɛ	j_ˈɔ	0.191
ŋ	-	0.187
ˈuə̯	-	0.179
ə	ɑ	0.178
ˈiə̯	ˈeː	0.174
ˈiə̯	-	0.174
d	-	0.171
l	lː	0.16
ˈoː	ˈɒu̯	0.149
w	-	0.149
ˈi	ˈe	0.146
ə	i	0.143
d̥	r̥	0.14
ˈuə̯	ˈɔː	0.139
ɡ̊	ɣ	0.135
ɡ̊	ɡ	0.135
ˈiː	-	0.133
n	nː	0.132
ˈɑ	ˈɑː	0.112
ˈɑ	ˈɔ	0.11
ə	r̥	0.099
ˈi	-	0.095
s	sː	0.094
ˈɑ	ˈɛ	0.092
w	x_w	0.092
f	pː	0.09
ˈɑ	ˈa	0.088
r	r̥	0.088
ˈi	ˈy	0.084
ə	u	0.075
r	r̥ː	0.069
t	ʦ	0.059
n	ˈiː	0.058
ˈi	ˈɔ	0.054
