Saterland Frisian	Saterland Frisian	probability
ˈɛː_x	ˈœ_ɡ̊	1.0
ˈɛː_r	ˈa	1.0
ˈɛː	-	1.0
ˈɛɪ̯_d	ˈɑˀ	1.0
ˈɛɪ̯	-	1.0
ˈɔːɪ̯	ˈeˀ_ɡ̊	1.0
ˈɔː_r	ɐ	1.0
ˈœː	ˈʌ	1.0
ˈøː	ˈuː	1.0
ˈyː	-	1.0
ˈuː_r	ɐ	1.0
ˈu	-	1.0
ˈoː_ɣ	w	1.0
ˈoː_#>	#>	1.0
ˈiːu̯	ˈeˀ	1.0
ˈi_t	ð̞ˠ	1.0
ˈeːu̯	ˈiː	1.0
ˈaːu̯	-	1.0
ˈaː	-	1.0
ɪ	-	1.0
ə_#>	#>	1.0
z_ə	s_ə	1.0
x_t	d̥	1.0
x_#>	#>	1.0
x	ɡ̊	1.0
w	-	1.0
t_ə	ð̞ˠ	1.0
t_v	ʦʰ	1.0
s_#>	s_#>	1.0
s	s	1.0
r_#>	#>	1.0
p_#>	b̥_#>	1.0
n_d	nˀ	1.0
n_#>	#>	1.0
m	m	1.0
l_v	lˀ	1.0
k_ˈoː	kʰ	1.0
j_ˈoː	ˈyː	1.0
i	ˈɑ_d̥	1.0
h	h	1.0
d_ə	ɐˀ	1.0
d_#>	#>	1.0
a	-	1.0
<#_ˈa	<#	1.0
<#_ɣ	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_t	<#_ʦʰ	1.0
<#_r	<#_ʁ	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
n	n	0.913
b	b̥	0.909
f	f	0.895
<#_d	<#_d̥	0.867
l	l	0.818
ə	ə	0.8
l_#>	l_#>	0.8
ˈɪ	ˈe	0.75
ˈaːi̯	-	0.75
ˈa	-	0.75
p	b̥	0.75
v	ʋ	0.727
ˈɔ	-	0.714
j	-	0.7
ɣ	-	0.667
k	ɡ̊	0.667
ˈɔː	-	0.643
ˈi	ˈiˀ	0.636
r	ʁ	0.607
#>	ə_#>	0.6
ˈeː	-	0.571
ə_r	ɐ	0.545
d	ð̞ˠ	0.519
t	d̥	0.516
ˈiː	-	0.5
ŋ	ŋˀ	0.5
l_d	ˈʌ_lˀ	0.5
l_d	lˀ	0.5
k_#>	ɡ̊_#>	0.5
k_#>	#>	0.5
t	ð̞ˠ	0.484
ə_r	ʌ	0.455
ˈuː	ˈuˀ	0.45
ˈoː	-	0.45
ˈeː	ˈeˀ	0.429
ˈɛ	ˈɛ	0.4
ˈɛ	-	0.4
#>	j_#>	0.4
ˈi	-	0.364
ˈʊ	-	0.333
ɣ	w	0.333
ˈoː	ˈœˀ	0.3
ŋ	ŋ	0.3
ˈɔ	ˈɛ	0.286
ˈoːu̯	ˈoˀ	0.286
ˈoːu̯	-	0.286
ˈʊ	ˈɔ	0.267
ˈʊ	ˈu	0.267
ˈɪ	-	0.25
ˈuː	ˈʌ	0.25
ˈuː	-	0.25
ˈiː	ˈiː	0.25
ˈiː	ˈe	0.25
ˈaːi̯	ˈæˀ	0.25
ˈa	ˈœː	0.25
r	ɐ	0.25
p	pʰ	0.25
k	j	0.238
ˈɛ	ˈa	0.2
ŋ	-	0.2
l_#>	#>	0.2
j	ɡ̊	0.2
d	-	0.185
v	-	0.182
l	lˀ	0.182
ə	-	0.167
ˈoː	ˈøː	0.15
ˈɔː	ˈɛ	0.143
ˈɔː	ˈɑ	0.143
ˈoːu̯	ˈo	0.143
r	-	0.143
ˈʊ	ˈœ	0.133
<#_d	<#	0.133
d	ʦʰ	0.111
d	ɐˀ	0.111
f	w	0.105
ˈoː	ˈyˀ	0.1
j	ˈyː	0.1
ˈoːu̯	ˈʌ	0.095
ˈoːu̯	ˈɔː	0.095
ˈoːu̯	ˈa	0.095
k	-	0.095
v	ˈo	0.091
b	-	0.091
n	nˀ	0.087
d	ə_ð̞ˠ	0.074
ˈɔː	ˈæː	0.071
