Piedmontese	Piedmontese	probability
ˈɛ_ŋ	ɔ	1.0
ˈə	-	1.0
ˈɔ_r	ˈɔ	1.0
ˈe_#>	ˈa_#>	1.0
ʧ	ʧ	1.0
ɲ	ɲː	1.0
ŋ_#>	n_u_#>	1.0
y_f	fː	1.0
w_s	ʦː	1.0
u_l	u_r	1.0
t_#>	t_i_#>	1.0
s_p	pː	1.0
r_n	rː_u	1.0
p	p	1.0
n_z	ɲː	1.0
n_#>	n_i_#>	1.0
j_t	tː_i	1.0
j_#>	ʧː_u_#>	1.0
f	f	1.0
e_r	a_r	1.0
dː	d_ˈe	1.0
<#_ˈø	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_u	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
ˈa	ˈa	0.955
a	a	0.935
ˈy	ˈu	0.875
b	b	0.857
n	n	0.846
k	k	0.829
e_#>	ˈi_#>	0.818
d	d	0.8
<#	<#_i	0.778
ʤ	ʤ	0.75
ɡ	ɡ	0.75
ŋ	n	0.742
ˈi	ˈi	0.733
m	m	0.731
z	ʦ	0.714
ˈø	ˈɔ	0.692
#>	u_#>	0.692
s_k	xː	0.667
e	i	0.636
w	-	0.625
i	i	0.6
ˈɔ	ˈɔ	0.577
r	r	0.564
ˈɛ	ˈɛ	0.559
u	u	0.538
ˈɛ_j	ˈe_r	0.5
ˈɛ_j	ˈe	0.5
ə	r	0.5
ə	-	0.5
t	t	0.485
ˈu	ˈɔ	0.455
l	l	0.442
v	v	0.421
j	j	0.412
ˈe	ˈe	0.391
w	w	0.375
ˈe	ˈɛ	0.348
s	s	0.34
ˈu	ˈo	0.333
s_k	x	0.333
ˈɛ	ˈe	0.324
u	-	0.308
t	tː	0.303
v	β	0.289
#>	i_#>	0.283
l	r	0.279
m	mː	0.269
ʤ	-	0.25
ɡ	ɡː	0.25
<#	<#_ʤ	0.222
ˈu	ˈu	0.212
l	dː	0.209
i	u	0.2
i	-	0.2
d	dː	0.2
ŋ	ŋ	0.194
ˈɔ	ˈo	0.192
e_#>	#>	0.182
e	e	0.182
e	-	0.182
j	ʎː	0.176
j	-	0.176
s	ʦ	0.17
ˈø	ˈo	0.154
ˈø	-	0.154
u	a	0.154
n	nː	0.154
z	ʒ	0.143
z	z	0.143
b	-	0.143
ˈi	i	0.133
ˈe	ˈi	0.13
ˈe	-	0.13
s	ɬ	0.128
ˈy	ˈo	0.125
t	dː	0.121
ˈɛ	-	0.118
j	u	0.118
j	i	0.118
ˈɔ	u	0.115
ˈɔ	-	0.115
s	ʦː	0.106
s	sː	0.106
v	b	0.105
t	ɬ_t	0.091
r	-	0.091
s	ʃː	0.085
v	p	0.079
r	j	0.073
r	a_r	0.073
k	kː	0.073
l	-	0.07
ˈi	ˈɛ	0.067
ˈi	-	0.067
ŋ	-	0.065
a	-	0.065
s	u	0.064
r	ɬ	0.055
r	rː	0.055
r	r_ˈa	0.055
v	bː	0.053
v	-	0.053
