Russian	Štokavian	probability
ˈɵ_r	r̂ː	1.0
ˈu	ûː	1.0
ˈo_ɫ	ûː	1.0
ˈo_#>	o_#>	1.0
ˈe_r	r̩̂	1.0
ʨ	ʧ	1.0
ʦ	ʦ	1.0
ʐ	ʒ	1.0
ʂ	ʒ	1.0
ɫ_ɨ	êː_l	1.0
ɫ	l	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
ə_ɫ	l	1.0
ə_#>	e_#>	1.0
ɐ_r	r	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
v	ʋ	1.0
tʲ	t	1.0
t_#>	d_#>	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
rʲ_ɪ	r̩̂	1.0
rʲ	r	1.0
r	r	1.0
pʲ	p	1.0
p_#>	b_#>	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ_ɪ	k	1.0
k_#>	ɡ_#>	1.0
k	k	1.0
j_#>	#>	1.0
j	iː	1.0
dʲ	d	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
<#_tʲ	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_lʲ	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
ˈa	a	0.824
nʲ	n	0.667
ɐ	ǒ	0.636
vʲ	ʋ	0.636
ˈi	î	0.556
ˈɨ	î	0.5
ˈɨ	i	0.5
lʲ	ʎ	0.5
lʲ	l	0.5
ə	o	0.476
ə	a	0.429
ɪ	ě	0.4
vʲ	ʋ_j	0.364
nʲ	ɲ	0.333
ˈe	ê	0.3
ˈo	ôː	0.269
ˈo	ô	0.269
ˈi	îː	0.222
ˈi	i	0.222
ˈe	j_êː	0.2
ɪ	eː	0.2
ɐ	ô	0.182
ɐ	ǎː	0.182
ˈa	â	0.176
ˈo	â	0.154
ˈo	-	0.154
ˈe	j_ê	0.15
ˈe	e	0.15
ˈe	a	0.1
ˈe	-	0.1
ɪ	j_ěː	0.1
ɪ	ěː	0.1
ɪ	e	0.1
ɪ	a	0.1
ə	âː	0.095
ˈo	âː	0.077
ˈo	a	0.077
