Occitan	Sicilian	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_ʃ	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_p_l	<#_c	1.0
<#_r	<#_ʐ	1.0
<#_t	<#_t	1.0
<#_u	<#_o	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ˈɔ	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈy	<#_ˈu	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a	a	1.0
a_s	ɪ	1.0
a_ð	a_t	1.0
a_β_ˈe	ˈa_p	1.0
i	i	1.0
j_s	ʃː_ɪ	1.0
k	k	1.0
k_#>	ɡ_ʊ	1.0
k_ɔ	kː_a	1.0
l_#>	ɖː_ʊ	1.0
l_ˈa	ˈa	1.0
p	p	1.0
s_#>	j_#>	1.0
s_t	s_t	1.0
t_ɾ	ɽ	1.0
t_ˈa	t_ˈa	1.0
v	v	1.0
z	ɕ	1.0
ð	t	1.0
ŋ	ŋ	1.0
ɔ_#>	a_#>	1.0
ɡ	ɡ_w	1.0
ɥ_ˈɔ	ˈɔ	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɲ	ɲː	1.0
ɲ_ɔ_#>	ɲː_ʊ	1.0
ɾ_ˈe	ɾ_ˈi	1.0
ʎ	ɟː	1.0
ʤ	j	1.0
ˈa_j	ˈa_ʈ	1.0
ˈa_t_#>	ˈa_#>	1.0
ˈa_w	ˈa_w	1.0
ˈe_k	ˈi_kː	1.0
ˈi_#>	ɪ_r	1.0
ˈu_l	ˈɔ_cː	1.0
ˈu_n	ˈɔ_n	1.0
ˈu_t	ˈu_tː	1.0
ˈy	ˈu	1.0
ˈy_ʧ	ˈu_tː	1.0
ˈɛ_r	ˈɛ_ʐː	1.0
β_ɾ	p	1.0
<#_s	<#_ɕ	0.31
d	ɪ	0.571
l	ɟː	0.1
r	r	0.391
<#	<#_a	0.222
<#_ˈa	<#_ˈɔ	0.222
e	i	0.412
u	ˈu	0.2
w	-	0.562
β	p	0.222
β	b	0.222
#>	ɪ_#>	0.363
<#	<#_n	0.333
<#_f	<#_f	0.913
<#_ʤ	<#_ʤ	0.333
e	-	0.353
j_ˈɛ	ˈɛ_tː	0.333
j_ˈɛ	ɾ_ˈa	0.333
j_ˈɛ	ˈɛ	0.333
l	ɖː	0.133
m	m	0.833
s	s	0.3
ʦ_#>	ʦː_ʊ	0.333
ˈi	ˈu	0.103
ˈi	ɾ	0.103
ˈi	ˈi	0.793
ˈɛ_l	cː	0.273
<#	<#_j	0.444
ɾ	r	0.174
ɾ_e_#>	ɾ_ɪ	0.714
ʧ_#>	tː_ɪ	0.4
j	ɪ	0.25
j	-	0.75
n	nː	0.125
n	n	0.875
w	v_ʊ	0.125
w	v	0.125
ˈɔ	ˈo	0.125
ˈɔ	ˈɔ	0.875
ˈɛ	ˈi	0.125
ˈɛ	ˈɛ	0.875
#>	ʊ_#>	0.596
e_#>	ɾ_ɪ	0.286
e_#>	ɾ_ʊ	0.286
ɣ	k	0.286
ɣ	w	0.286
ɾ_e_#>	ɽ_ɪ	0.286
ʧ_#>	ʊ	0.6
β	v	0.556
<#_f	<#_ç	0.087
<#_ʤ	<#_j	0.667
l	ˈi	0.067
l	r	0.067
l	w	0.067
l	l	0.567
m	-	0.167
s	sː	0.067
s	p	0.067
s	ʧː	0.067
s	ɕ	0.067
s	ʃː	0.067
s	-	0.367
t	t	0.647
ɾ	-	0.087
ʦ_#>	ɕ_ɪ	0.667
ˈe	n	0.067
ˈe	ˈe	0.067
ˈe	ˈi_ɾ	0.067
ˈu	ˈɔ	0.097
ˈu	ˈo	0.097
ˈu	ˈu	0.677
ˈɛ_l	ˈɛ_ɖː	0.727
<#_ˈa	<#_ˈa	0.778
e	ɪ	0.088
e	ˈɛ	0.088
t	d	0.118
t	tː	0.118
t	-	0.118
u	u	0.8
w	v_ɪ	0.188
ˈa	ˈa	0.918
ˈe	ˈi	0.8
<#_s	<#_s	0.69
d	-	0.429
e	r	0.059
e_#>	ɪ	0.429
r	ɾ	0.609
ɣ	ɡ	0.429
ɾ	ɾ	0.739
ˈu	ˈu_ɾ	0.129
