Eastphalian	Bavarian	probability
b	b̥	0.832
b	f	0.121
b	-	0.05
d	d̥	0.908
d	t	0.05
d	-	0.043
f	f	0.901
f	b̥	0.06
f	-	0.041
h	h	1.0
j	j	0.461
j	ɡ̊	0.37
j	ŋ	0.126
k	kʰ	0.399
k	ç	0.168
k	x	0.143
k	-	0.143
k	k	0.082
k_ə	x	0.683
k_ə	ɡ̊	0.219
l	l	0.49
l	j	0.443
l	i	0.042
l	ə	0.038
m	m	0.849
m	a	0.15
n	n	0.776
n	-	0.153
n	l	0.027
n	ŋ	0.027
p	f	0.434
p	p	0.273
p	p͡f	0.238
p_ə	f	1.0
r	r	1.0
s	ʃ	0.571
s	s	0.424
t	ʦ	0.312
t	t	0.261
t	s	0.261
t	d̥	0.154
t_ə	s	1.0
v	ʋ	0.756
v	m	0.103
v	b̥	0.089
v	f	0.045
w	ʋ	1.0
x	x	0.686
x	ɡ̊	0.303
z	s	0.914
z	r	0.081
z_ə	s	1.0
ç	ɡ̊	0.561
ç	-	0.322
ç	x	0.066
ŋ	ŋ	1.0
ɐ	ɐ	0.406
ɐ	a	0.359
ɐ	r	0.101
ɐ	d̥_a	0.093
ɐ	ˈoɐ̯	0.041
ə	-	0.675
ə	ə	0.181
ə	a	0.107
ɡ	ɡ̊	0.486
ɣ	ɡ̊	0.871
ɣ	-	0.11
ɣ_ə	ɡ̊	1.0
ɪ	i	0.361
ɪ	ŋ	0.361
ɪ	-	0.202
ʃ	ʃ	0.954
ʃ	s	0.048
ˈa	ˈa	0.181
ˈa	ˈo	0.167
ˈa	ˈɔ	0.154
ˈa	ˈɒ	0.131
ˈa	ˈoː	0.075
ˈa_ɐ	ˈoɐ̯	1.0
ˈaʊ̯	ˈuɐ̯	0.796
ˈaʊ̯	ˈeɐ̯	0.155
ˈaː	ˈɒː	0.517
ˈaː	ˈoː	0.297
ˈaː	ˈɒ	0.109
ˈeo̯	ˈou̯	0.45
ˈeo̯	ˈaː	0.278
ˈeo̯	ˈoɐ̯	0.165
ˈeo̯	ˈau̯	0.082
ˈeː	ˈeː	0.367
ˈeː	ˈiː	0.211
ˈeː	ˈai̯	0.135
ˈeː	ˈe	0.091
ˈeː	ˈɛ	0.091
ˈiː	ˈai̯	0.63
ˈiː	ˈi	0.289
ˈiː	ˈoɐ̯	0.074
ˈoː	ˈa	0.297
ˈoː	ˈu	0.297
ˈoː	ˈy	0.18
ˈoː	ˈoː	0.109
ˈuː	ˈau̯	0.824
ˈuː	ˈoː	0.134
ˈyː	ˈai̯	0.486
ˈøː	ˈeː	0.236
ˈœ	ˈɛ	0.66
ˈœ	ˈe	0.156
ˈɒː	ˈoː	0.263
ˈɒː	ˈɒ	0.18
ˈɒː	ˈɔ	0.156
ˈɒː	ˈɛː	0.103
ˈɒː	ˈɒː	0.078
ˈɔ	ˈo	0.39
ˈɔ	ˈu	0.23
ˈɔ	ˈɔ	0.136
ˈɔ	ˈɛ	0.106
ˈɔ	ˈaː	0.083
ˈɔʏ̯	ˈiɐ̯	0.381
ˈɔʏ̯	ˈeɐ̯	0.219
ˈɔʏ̯	ˈe	0.219
ˈɔʏ̯	ˈu	0.14
ˈɛ	ˈi	0.282
ˈɛ	ˈɛ	0.186
ˈɛ	ˈe	0.162
ˈɛ	ˈu	0.141
ˈɛ	ˈo	0.095
ˈɛə̯	ˈa	1.0
ˈɛɪ̯	ˈoɐ̯	0.259
ˈɛɪ̯	ˈiɐ̯	0.185
ˈɛɪ̯	ˈai̯	0.083
ˈɛɪ̯	ˈɑː	0.073
ˈɛɪ̯	ˈeː	0.073
ˈɛɪ̯_n	ˈoɐ̯	1.0
ˈɛː	ˈɛ	0.372
ˈɛː	ˈeː	0.186
ˈɛː	ˈa	0.125
ˈɛː	ˈi	0.125
ˈɛː	ˈe	0.125
ˈɪ	ˈi	0.685
ˈɪ	ˈai̯	0.132
ˈɪ	ˈɛ	0.066
ˈɪ	ˈa	0.054
ˈɪ	ˈiː	0.046
ˈʊ	ˈu	0.347
ˈʊ	ˈuɐ̯	0.237
ˈʊ	ˈo	0.175
ˈʊ	ˈau̯	0.156
ˈʏ	ˈu	0.392
ˈʏ	ˈai̯	0.341
ˈʏ	ˈʏ	0.191
