Macedonian	Russian	probability
ˈu	ˈu	1.0
ʧ	ʨ	1.0
ʦ	ʦ	1.0
ʣ	z	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɫ	ɫ	1.0
ɡ	ɡ	1.0
ɛ_#>	#>	1.0
o_#>	ˈo_#>	1.0
l	lʲ	1.0
j	j	1.0
<#_t	<#_tʲ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
#>	tʲ_#>	1.0
k	k	0.818
o	ə	0.714
ˈo	ˈo	0.692
a	ˈa	0.65
n	n	0.643
s	s	0.619
t	t	0.615
ˈi	ˈi	0.6
r	r	0.6
<#	<#_x	0.6
d	d	0.562
z	z	0.556
v	vʲ	0.55
m	mʲ	0.533
ˈr̩	ˈɵ_r	0.5
ˈr̩	ˈe_r	0.5
p	pʲ	0.5
p	p	0.5
i	ˈɨ	0.5
i	ˈi	0.5
f	x	0.5
f	v_ɨ	0.5
b	bʲ	0.5
b	b	0.5
m	m	0.467
v	v	0.45
z	zʲ	0.444
d	dʲ	0.438
ɫ_#>	ɫ_ɨ_j_#>	0.429
ɛ	ɪ	0.412
ˈɛ	ˈe	0.4
ˈi	ˈɨ	0.4
ˈa	ˈo	0.4
r	rʲ	0.4
<#	<#_v	0.4
s	sʲ	0.381
n	nʲ	0.357
a	ə	0.35
ˈɛ	ɪ	0.314
ˈo	ɐ	0.308
t	tʲ	0.308
ɛ	ˈe	0.294
ɫ_#>	ɫ_#>	0.286
ɫ_#>	lʲ_#>	0.286
ˈa	ˈa	0.267
ˈa	ˈu	0.2
ɛ	ə	0.176
o	kʲ_ɪ	0.143
o	-	0.143
ˈa	ə	0.133
ɛ	ˈa	0.118
k	k_ɐ	0.091
k	j	0.091
t	ə_tʲ	0.077
ˈɛ	ˈɛ	0.057
ˈɛ	ˈæ	0.057
ˈɛ	ˈa	0.057
ˈɛ	ɫ	0.057
ˈɛ	ɐ	0.057
