Occitan	Latin	probability
<#	h	1.0
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_u	<#_ɔ	1.0
<#_v	<#_w	1.0
<#_ɥ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈɪ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a_s	ae̯_#>	1.0
b	b	1.0
i	iː	1.0
i_#>	oː_#>	1.0
j_r	d_ɛ	1.0
j_s	s_k	1.0
j_ɾ	t_r	1.0
k_#>	k_ʊ̃ː_#>	1.0
l_ˈa	ɫ_ˈa	1.0
m	m	1.0
n_d	n_ɛ	1.0
p	p	1.0
p_#>	p_ʊ̃ː	1.0
r	r	1.0
r_#>	r_n	1.0
r_k	r_k	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
v	w	1.0
ð	t	1.0
ð_ˈa	t_ˈaː_r	1.0
ŋ_k	ŋ_kʷ	1.0
ɔ_#>	ãː_#>	1.0
ɥ	-	1.0
ɥ_ˈɔ	ˈɔ	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɾ_ˈa	r_ˈaː	1.0
ʤ_e	ɪ_k	1.0
ʦ	t_i	1.0
ʦ_#>	k_ɛ̃ː	1.0
ʧ_#>	t_ʊ̃ː_#>	1.0
ˈa_#>	ˈaː_r_ɛ	1.0
ˈa_j	ˈa	1.0
ˈa_n	ˈaː_n	1.0
ˈa_w	ˈau̯	1.0
ˈa_β	ˈa_p	1.0
ˈe_j	ˈeː_ɡ	1.0
ˈe_k	ˈɪ_kː	1.0
ˈi_l	ˈiː_lʲː	1.0
ˈu_n	ˈɔ_n	1.0
ˈu_t	ˈoː_t	1.0
ˈy_#>	ˈuː_r_ʊ̃ː_#>	1.0
ˈɔ	ˈɔ	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɛ_l	ˈɛ_lʲː	1.0
ˈɛ_n	ˈɛ_n	1.0
β_l	b_ʊ_ɫ	1.0
a	a	0.731
e_#>	ʊ̃ː_#>	0.241
e_#>	ɛ_#>	0.31
l	lʲː	0.151
u	ɪ	0.091
u	o	0.091
w_#>	w_ʊ̃ː_#>	0.571
ɾ	r	0.851
ˈy	ˈuː	0.81
#>	ɛ̃ː_#>	0.222
<#_s	<#_s	0.762
e	ɛ	0.452
k	k	0.2
k	kː	0.2
k	-	0.2
ɲ	i	0.182
ɲ	ŋ_n	0.182
ʧ	i	0.222
ˈi	ˈuː	0.062
ˈi	ˈiː	0.812
ˈɛ	ˈɛ_d	0.12
ˈɛ	k_ʊ	0.12
β	w	0.2
<#_l	<#_l	0.333
<#_ʤ	<#_ɡ	0.583
e_#>	r_#>	0.103
l	l	0.113
l	ɫ	0.623
t	t	0.643
w	b_ɛ	0.333
w	ɫ	0.333
w	w_ɪ	0.333
ɲ	n_i	0.273
ˈɛ_r	ˈɛ_rː	0.333
β	p	0.133
<#_e	<#_ae̯	0.154
<#_ɡ	<#_k	0.154
k	<#_kʷ	0.4
s	k	0.154
u	ɔ	0.364
z	s	0.4
ŋ	ŋ_ɡ	0.4
ɔ	-	0.4
ɲ	n_e	0.364
β	b	0.4
#>	ɛ_#>	0.095
#>	ʊ̃ː_#>	0.5
e	ˈɛ	0.065
j	k	0.25
j	i	0.25
j	-	0.5
j_ˈɛ	ˈɛ_k	0.5
j_ˈɛ	ˈɛ	0.5
n	ŋ	0.115
t	tː	0.25
ɣ	ɡ	0.25
ɣ	k	0.75
ʎ	lʲ_i	0.5
ʎ	k_ʊ_ɫ	0.5
ʤ	i	0.5
ʤ	ɡ	0.5
ˈe	ɪ	0.065
ˈe	r	0.065
ˈe	ˈoː	0.065
ˈi	ˈi	0.125
ˈi_#>	r_ɛ_#>	0.375
ˈi_#>	ˈiː_r_ɛ_#>	0.625
ˈu	ˈoː	0.395
#>	n_ʊ̃ː_#>	0.076
#>	n_ɛ̃ː_#>	0.076
<#_e	<#	0.846
<#_ɡ	<#_ɡ	0.846
e_#>	ɛ̃ː_#>	0.276
z	k	0.6
ŋ	ŋ_ɡʷ	0.6
ɔ	a_#>	0.6
ˈu	ˈu	0.116
ˈɛ	ˈɛ	0.6
<#_l	<#_ɫ	0.667
<#_ʤ	<#_j	0.417
e	eː	0.097
l	ʊ_ɫ	0.057
l	lʲ	0.057
n	ŋ_k	0.077
s	i	0.077
s	iː_#>	0.077
s	p	0.077
s	t_i	0.077
t	d	0.107
u	ʊ	0.227
u	oː	0.227
ˈa	ˈa	0.677
ˈe	ˈeː	0.387
ˈu	ˈɔ	0.07
ˈɛ_r	ˈɛ_r	0.667
β	p_ɛ	0.267
e	ɪ	0.258
n	n	0.808
ʧ	k_t	0.778
ˈɛ	ˈɪ	0.08
ˈɛ	-	0.08
<#_s	<#_k	0.19
a	aː	0.269
e	e	0.129
e_#>	r_ɛ_#>	0.069
s	sː	0.269
s	s	0.269
w_#>	w_ɛ̃ː_#>	0.429
ɾ	ɛ_r	0.149
ˈa	ˈaː	0.29
ˈe	ˈɪ	0.419
ˈu	ˈʊ	0.419
ˈy	ˈʊ	0.19
