Štokavian	Russian	probability
ʦ	ʦ	1.0
ʒ	ʂ	1.0
ʎ	lʲ	1.0
ʋ_j	vʲ	1.0
ɲ_#>	nʲ_#>	1.0
ɡ_#>	k_#>	1.0
ɡ	ɡ	1.0
x	x	1.0
t_i_#>	tʲ_#>	1.0
s_eː	sʲ_ɪ	1.0
s_#>	s_#>	1.0
r̩̂	rʲ_ɪ	1.0
r̩̂ː	r	1.0
r̩̂	ˈe_r	1.0
r̂ː	ˈɵ_r	1.0
p	p	1.0
ǒ	ɐ	1.0
ôː	ˈo	1.0
o	ɫ_ɨ	1.0
m_#>	mʲ_#>	1.0
j_ěː	ɪ	1.0
j_êː	ˈe	1.0
j_ê	ˈe	1.0
j	ɪ	1.0
îː	ˈi	1.0
iː_#>	j_#>	1.0
i_#>	#>	1.0
ě_l	ɪ_lʲ	1.0
ě	ɪ	1.0
ê	ˈe	1.0
e_t	tʲ	1.0
e_#>	ə_#>	1.0
d_#>	t_#>	1.0
b_#>	p_#>	1.0
ǎː	ɐ	1.0
<#_ʧ	<#_ʨ	1.0
<#_ʒ	<#_ʐ	1.0
<#_ɡ	<#_ɡ	1.0
<#_x	<#_x	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_ǒ	<#_ɐ	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#_k	<#_k	1.0
#>	j_#>	1.0
l	ɫ	0.882
t	t	0.818
ô	ˈo	0.778
î	ˈi	0.714
o_#>	ə_#>	0.692
ûː	ˈu	0.667
k_#>	k_#>	0.667
k	k	0.667
d	d	0.667
<#_z	<#_z	0.667
a_#>	ˈa_#>	0.65
t_#>	tʲ_#>	0.643
<#_t	<#_tʲ	0.625
z	z	0.6
i	ˈɨ	0.6
e	ˈe	0.6
<#_p	<#_pʲ	0.6
ʋ	v	0.583
<#_ʋ	<#_vʲ	0.571
<#_m	<#_m	0.556
s	sʲ	0.5
s	s	0.5
m	mʲ	0.5
m	m	0.5
b	bʲ	0.5
b	b	0.5
âː	ˈo	0.5
âː	ə	0.5
â	ˈo	0.5
â	ˈa	0.5
<#_j	<#_j	0.5
<#_j	<#	0.5
<#_d	<#_dʲ	0.5
<#_d	<#_d	0.5
<#_m	<#_mʲ	0.444
<#_ʋ	<#_v	0.429
r	rʲ	0.421
r	r	0.421
ʋ	vʲ	0.417
z	zʲ	0.4
i	ˈi	0.4
e	ɪ	0.4
<#_p	<#_p	0.4
n	n	0.385
<#_t	<#_t	0.375
t_#>	t_#>	0.357
a_#>	ə_#>	0.35
ûː	ˈo_ɫ	0.333
k_#>	j_#>	0.333
k	kʲ_ɪ	0.333
d	dʲ	0.333
<#_z	<#_zʲ	0.333
n	nʲ	0.308
n	n_ɨ	0.308
î	ˈɨ	0.286
a	-	0.231
ô	ɐ	0.222
t	tʲ	0.182
r	ɐ_r	0.158
o_#>	ˈo_#>	0.154
o_#>	#>	0.154
a	ˈo	0.154
a	ˈe	0.154
a	ɪ	0.154
a	ə	0.154
a	kʲ_ɪ	0.154
l	ə_ɫ	0.118
