Megleno-Romanian	Gascon	probability
e̯ˈa	ˈe	1.0
f	h	1.0
m	m	1.0
o̯ˈa	ˈu	1.0
s	s	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɲ	-	1.0
ʎ	l	1.0
ʒ	ʒ	1.0
ʧ	s	1.0
ˈɔ	ˈa	1.0
kʲ	<#_e	0.211
p	-	0.221
t	t	0.571
u	ɔ	0.191
w	-	0.181
z	-	0.531
ʃ	ʃ	0.391
i	-	0.432
i	e	0.462
p	p	0.602
ə	a	0.112
ʦ	k	0.052
j	ʒ	0.23
n	n	0.533
ʦ	s	0.513
ˈa	ˈa	0.543
ˈe	ˈɛ	0.333
ˈi	ˈi	0.313
b	β	0.584
kʲ	<#_h	0.184
l	t	0.324
v	b_j	0.054
z	ʒ	0.334
ˈa	ˈɛ	0.424
ˈo	ˈy	0.154
ˈu	ˈe	0.124
d	-	0.095
d	d	0.905
k	k	0.905
kʲ	p	0.605
r	r	0.285
z	d	0.135
ˈi	ˈe	0.655
ˈu	ˈu	0.575
b	b	0.416
i	i	0.106
t	-	0.06
v	b	0.946
j	-	0.77
l	l	0.497
t	j	0.37
ˈe	ˈe	0.667
ˈo	ˈɛ	0.177
ˈo	ˈɔ	0.57
n	ŋ	0.298
p	j	0.178
r	-	0.198
ʦ	ʦ	0.058
ʦ	t	0.368
k	ɣ	0.059
l	-	0.179
n	-	0.169
r	ɾ	0.459
u	e	0.809
w	w	0.819
ə	ɔ	0.769
ʃ	s	0.609
ˈo	ˈe	0.099
ˈu	ˈy	0.279
