Galician	Occitan	probability
v	v	1.0
ɑ	a	1.0
ɔ	u	1.0
ˈɑ	ˈa	1.0
a	-	0.161
d	-	0.11
e	e	0.871
f	b	0.051
m	mː	0.071
o	-	0.291
u	ˈy	0.21
ʃ	s	0.371
ʊ	w	0.051
ʊ	l	0.051
ʎ	lː	0.051
ʎ	ɡ	0.071
ʎ	ʎ	0.831
ˈo	ˈu	0.361
ˈu	ˈu	0.131
ˈɔ	ˈu	0.111
b	b	0.352
m	nː	0.072
m	-	0.112
r	r	0.932
ð	ð	0.482
ɐ	ɔ	0.972
ɲ	n	0.452
ʃ	-	0.092
ˈe	j	0.12
e	-	0.053
n	-	0.153
w	j	0.063
ɲ	ɲ	0.433
ʃ	ʒ	0.453
ʊ	-	0.733
ˈo	ˈy	0.083
ˈu	ˈy	0.843
θ	-	0.243
j	j	0.364
l	l	0.844
t	-	0.24
t	t	0.664
w	ˈa	0.054
ɡ	ɡ	0.894
ɲ	-	0.104
ɾ	ɾ	0.624
ˈi	ˈi	0.764
ˈo	ˈɔ	0.214
ˈɔ	ˈɔ	0.74
β	-	0.154
d	d	0.855
k	k	0.915
u	u	0.385
u	y	0.405
ŋ	ŋ	0.305
ɣ	ɡ	0.065
ʃ	ʤ	0.085
ˈe	-	0.115
ˈo	ɥ	0.155
ˈɛ	ˈɛ	0.955
β	v	0.065
θ	ʦ	0.185
a	ɔ	0.096
a	ˈa	0.116
a	a	0.596
i	e	0.316
i	i	0.426
j	ʧ	0.146
l	ɾ	0.066
l	-	0.066
m	m	0.746
n	n	0.806
t	ʧ	0.076
ð	t	0.406
ɡ	-	0.106
ʊ	i	0.056
ˈi	ˈɛ	0.066
i	-	0.257
j	-	0.197
o	ˈu	0.067
o	u	0.557
p	p	0.957
w	-	0.327
ŋ	-	0.147
ɣ	k	0.17
ɾ	-	0.117
ʧ	p	0.817
ˈe	ˈi	0.067
ˈe	ˈe	0.477
ˈo	l_ˈu	0.067
β	w	0.237
β	β	0.47
j	ˈɛ	0.28
w	l	0.078
ð	-	0.068
ŋ	n	0.548
ʧ	f	0.138
ˈa	ˈa	0.978
ˈi	ˈe	0.138
ˈo	ˈa	0.08
ˈɔ	ɥ_ˈɔ	0.118
θ	z	0.098
b	v	0.609
f	f	0.949
s	s	0.899
w	w	0.479
ɣ	-	0.099
ɣ	ʤ	0.099
ɣ	ɣ	0.529
ɪ	e	0.959
ɾ	r	0.229
ʊ	e	0.109
ˈe	ˈɛ	0.159
θ	s	0.429
