Westphalian	Alsatian	probability
b	b̥	1.0
f	f	1.0
h	h	1.0
j	j	1.0
l	l	1.0
r	ʁ	1.0
z	s	1.0
ə	ə	1.0
ʃ	ʃ	1.0
ˈeː	ˈəi̯	1.0
ˈiɛ̯	-	1.0
ˈuə̯	ˈu	1.0
ˈuː	ˈyː	1.0
ˈuːə̯	ˈu_ʁ	1.0
ˈyː	ˈiː	1.0
ˈøː	ˈiː	1.0
ˈɔ	ˈɒ	1.0
ˈɔː	ˈoː	1.0
ˈɪə̯	ˈi	1.0
ˈʏ	ˈu	1.0
ˈoː	ˈøː	0.211
k	ʃ	0.382
s	s	0.752
v	ʋ	0.892
ɐ	-	0.582
ˈaɪ̯	ˈei̯	0.142
ˈaɪ̯	ˈiː	0.542
ˈaʊ̯	ˈʊː	0.522
ˈaː	ˈɒ	0.42
ˈiː	ˈei̯	0.332
ˈɪɛ̯	ˈæː	0.342
n	ə	0.3
s	ʃ	0.13
ˈaɪ̯	ˈæː	0.153
ˈaɪ̯	ˈeː	0.163
ˈɛ	ˈɒ	0.303
d	d̥	0.564
k	k	0.144
m	m	0.904
p	p͡f	0.124
x	x	0.294
x	ɡ̊	0.554
ç	ʃ_t	0.64
ɐ	t_ə	0.084
ɡ	j	0.384
ˈa	ˈɒ	0.834
ˈiː	ˈi	0.244
ˈiː	ˈiː	0.424
ˈɪ	ˈiː	0.054
ˈʊ	ˈo	0.164
x	ə_#>	0.125
ŋ	j	0.055
ŋ	ŋ	0.945
ɐ	ə_ʁ	0.335
ʋ	b̥	0.175
ˈɛ	ˈæ	0.15
d	t	0.436
m	ʁ_m	0.096
n	n_d̥	0.06
p	f	0.876
s	n_s	0.06
t	t	0.296
t	ʦ	0.336
ç	k	0.36
ɡ	v	0.616
ʋ	w	0.276
ˈa	ˈɒː	0.166
ˈɪ	ˈi	0.946
k	kʰ	0.437
n	n	0.627
ˈɛ	ˈe	0.547
ˈɪɛ̯	ˈæ	0.17
ˈʊ	ˈyː	0.137
s	k_s	0.058
t	s	0.368
v	b̥	0.068
ʋ	ʋ	0.548
ˈaʊ̯	ˈoː	0.478
ˈaː	ˈɒː	0.58
ˈɪɛ̯	ˈe	0.488
ˈʊ	ˈu	0.698
ˈoː	ˈʊː	0.789
