American English	Bokmål Norwegian	probability
b	b	1.0
h	h	1.0
j	ɡ	1.0
kʰ	kʰ	1.0
oʊ̯	-	1.0
pʰ	pʰ	1.0
tʰ	tʰ	1.0
ɹ	ɾ	1.0
ʤ	ɡː	1.0
ˈʊ	ˈuː	1.0
s	ʂ	0.071
t	t	0.591
z	s_ə	0.911
ŋ	ŋː_ə	0.091
ˈeɪ̯	ˈæɪ̯	0.271
ˈoʊ̯	ˈoː	0.251
ˈʌɪ̯	ˈɑ	0.331
s	s	0.912
ɚ	ə_ɾ	0.162
ɫ	-	0.062
ɫ	l	0.762
ʃ	s_k	0.482
ʔ	tː	0.192
ˈaɪ̯	ˈyː	0.12
ˈi	ˈyː	0.132
ˈi	ˈeː	0.152
ˈi	ˈøː	0.202
ˈu	ˈyː	0.112
ˈæ	ˈɛ	0.082
ˈɑ	ˈʉː	0.22
ˈɑ	ˈɑ	0.552
ˈɛ	ˈɛ	0.62
ˈɪ	ˈʏ	0.232
d	d	0.73
f	ʋ	0.23
ɡ	j	0.33
ʧ	k	0.473
ˈaɪ̯	ˈʉː	0.193
ˈaʊ̯	ˈʉ	0.3
ˈoʊ̯	ˈɛ	0.223
ˈæ	ˈɑː	0.053
ˈɑ	ˈɑː	0.213
ˈɔ	ˈɑ	0.313
ˈɪ	ˈeː	0.063
ˈʌ	ˈʉ	0.43
m	m	0.804
n	nː	0.164
n	n	0.674
v	-	0.514
ə	ə	0.384
ˈaɪ̯	ˈɪ	0.304
ˈi	ˈœ	0.234
ˈɛ	ˈʉː	0.134
ˈɝ	ˈuː	0.264
ˈʌɪ̯	ˈɛ	0.34
θ	-	0.364
f	f	0.735
i	i	0.485
i	ə	0.515
ɚ	ɾ	0.545
ˈi	ˈiː	0.085
ˈi	ˈoː	0.195
ˈu	ˈuː	0.75
ˈæ	ˈɑ	0.865
ˈɛ	ˈøː	0.185
ˈʌ	ə	0.085
ˈʌ	ˈœ	0.095
m	mː_ə	0.196
p	-	0.116
p	p	0.516
v	ʋ	0.486
ə	-	0.616
ɚ	ɾ_ə	0.236
ˈɛ	ˈoː	0.06
ˈɝ	ɾ	0.736
θ	tʰ	0.636
d	-	0.27
k	-	0.277
k	k	0.687
n	nː_ə	0.097
z	ə_#>	0.057
ɚ	-	0.057
ɡ	ɡ	0.67
ʔ	t	0.27
ʧ	ç	0.527
ˈaʊ̯	ˈʉː	0.7
ˈoʊ̯	ˈæɪ̯	0.527
ˈɪ	ˈœ	0.067
p	p_ə	0.368
w	ʋ	0.958
ɫ	lː	0.148
ʃ	ʂ	0.518
ˈu	ˈoː	0.138
ˈɔ	ˈɔ	0.128
ˈɔ	ˈuː	0.558
ˈɪ	ˈɪ	0.418
ˈʌ	ˈɔ	0.348
t	t_ə	0.409
ŋ	ŋː	0.909
ʔ	tː_ə	0.159
ʔ	t_ə	0.309
ˈaɪ̯	ˈiː	0.349
ˈeɪ̯	ˈɑː	0.729
ˈɪ	ˈiː	0.149
ˈʌɪ̯	ˈiː	0.329
