Lengadocian	Lengadocian	probability
β_ɾ	β	1.0
ˈɛ_n	ˈe_n	1.0
ˈɛ_#>	ˈɛ_#>	1.0
ˈy	ˈy	1.0
ˈi_n	ˈi	1.0
ˈa_t	ˈa_t	1.0
ˈa_l	ˈa_w	1.0
ˈa_k	ˈa_k	1.0
ʦ	ʦ	1.0
ʎ	ʎ	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɲ	ɲ	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɔ	ɔ	1.0
ŋ	ŋ	1.0
ð	ð	1.0
y	-	1.0
w_ɾ	β	1.0
w	w	1.0
t	t	1.0
s_k	s_k	1.0
p	p	1.0
nː	nː	1.0
n_ˈɔ	n_ˈa	1.0
mː	mː	1.0
lː	-	1.0
l_ɔ	ɾ_ɔ	1.0
l_#>	#>	1.0
k	k	1.0
j_ˈɛ	ˈe_j	1.0
j_ʀ	ð	1.0
j_ɾ	j_r	1.0
i	i	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɥ	<#_w	1.0
#>	ŋ_#>	1.0
ˈe	ˈe	0.914
f	h	0.9
s	s	0.897
m	m	0.895
ˈi	ˈi	0.892
β	β	0.882
ˈa	ˈa	0.838
ˈu	ˈu	0.829
n	n	0.818
z	z	0.8
j	j	0.8
e	e	0.797
ˈɔ	ˈɔ	0.783
u	u	0.783
l	l	0.75
ʤ	ʒ	0.727
ˈɛ_l	ˈɛ_t	0.7
ɥ	w	0.7
ɾ	ɾ	0.689
ˈɛ	ˈɛ	0.633
ʀ	r	0.588
ʧ	t	0.5
ɔ_#>	a_#>	0.5
ɔ_#>	#>	0.5
ˈɛ_l	ˈɛ_w	0.3
ˈɛ	ˈe	0.3
ʧ	-	0.3
ɥ	-	0.3
ʀ	a_r	0.265
ɾ	-	0.244
ʧ	j_t	0.2
z	-	0.2
j	-	0.2
ʤ	ʤ	0.182
l	ʎ	0.156
ʀ	-	0.147
e	-	0.135
ˈɔ	-	0.13
u	-	0.13
ˈu	ˈy	0.122
β	-	0.118
n	-	0.114
ˈa	ˈa_ŋ	0.108
m	m_i	0.105
f	e_h	0.1
ʤ	-	0.091
ˈɔ	ˈe	0.087
u	l	0.087
ˈe	ˈi	0.086
s	ʃ	0.077
n	ŋ	0.068
e	ˈe	0.068
ˈɛ	ˈe_j	0.067
ɾ	r	0.067
ˈi	e	0.054
ˈi	-	0.054
