Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʏ	ˈu	1.0
ʊ	ˈu	1.0
ɲ	ɲː	1.0
ɪ	ˈi	1.0
ɛɪ̯	ˈɛ	1.0
ɛ_n	ˈi_nː	1.0
ɛ_#>	#>	1.0
ɑɔ̯	ˈɔ	1.0
ɑ	-	1.0
z	ɕ	1.0
y	ˈu	1.0
p_l	c	1.0
p	p	1.0
o	sː	1.0
n	n	1.0
m_#>	a_#>	1.0
m	m	1.0
f_l	ç	1.0
b	b	1.0
aœ̯	ˈu_ɾ	1.0
<#_ʁ	<#_ʐ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_ˈa	1.0
f	f	0.864
ɡ	ɡ	0.8
v	v	0.759
k	k	0.706
ʃ	k	0.667
s	s	0.645
ʒ	j	0.636
ɛ_l	l_ʊ	0.6
w_ɛ	ˈi	0.6
oʊ̯	ˈɛ_ɖː	0.583
w	ˈi	0.565
a	ˈa	0.562
d	d	0.545
t	t	0.526
ɥ	ˈɔ	0.5
ɥ	ˈu	0.5
ɔ	ˈɔ	0.5
æɛ̯	ˈa	0.5
l	l	0.45
øʏ̯	ˈɔ_k	0.444
a	a	0.438
œ	ˈɔ	0.429
oʊ̯	ˈa_w	0.417
j	ˈɛ	0.412
ɛ_l	l_ɪ	0.4
w_ɛ	i	0.4
#>	ʊ_#>	0.395
ʁ	ɾ	0.38
ʒ	ʤ	0.364
ẽɪ̯̃	ˈa_n	0.364
l	ɖː	0.35
ɒ̃ʊ̯̃	ˈu_n	0.333
ɒ̃ʊ̯̃	ˈo	0.333
øʏ̯	ʊ	0.333
#>	ɪ_#>	0.303
j	ɟː_a	0.294
j	-	0.294
ɛ	ɪ	0.286
œ	i	0.286
d	ɪ_ɾ	0.273
#>	a_#>	0.27
ɔ	u	0.25
ɔ	o	0.25
ã	ˈɛ_n	0.25
ã	ˈa_n	0.25
øʏ̯	ˈɔ	0.222
u	ˈɔ	0.211
u	ˈu	0.211
ɡ	-	0.2
ʁ	r	0.197
ɛ	ˈi	0.19
ɛ	a	0.19
i	ˈi	0.19
i	ɪ	0.19
ẽɪ̯̃	ˈi_n	0.182
ẽɪ̯̃	n	0.182
e	ˈa_r	0.182
d	-	0.182
k	k_w	0.176
w	ˈu	0.174
ʃ	kː	0.167
ʃ	k_a	0.167
ɒ̃ʊ̯̃	ˈɔ_n	0.167
ɒ̃ʊ̯̃	ˈu	0.167
ã	ˈɛ	0.167
ã	ˈa_nː	0.167
ã	a_n	0.167
s	ɕ	0.161
u	u	0.158
t	tː	0.158
æɛ̯	ˈɛ	0.156
l	ˈi	0.15
ɛ	ˈɛ	0.143
ɛ	ɾ	0.143
œ	a	0.143
œ	-	0.143
i	i	0.143
v	p	0.138
ẽɪ̯̃	ɲː_ʊ	0.136
e	ˈa_ɾ	0.136
e	ˈa_t	0.136
e	ˈa	0.136
e	ʃ	0.136
w	ˈu_ɕ	0.13
w	-	0.13
s	-	0.129
ʁ	ɪ	0.127
æɛ̯	i	0.125
k	-	0.118
u	ˈɔ_cː	0.105
u	ˈu_tː	0.105
u	ˈu_sː	0.105
u	ˈu_j	0.105
t	ʈ	0.105
t	-	0.105
i	ˈɛ_ʦː	0.095
i	ˈɛ_j	0.095
i	ˈɛ	0.095
i	tː_ʊ	0.095
i	-	0.095
æɛ̯	a	0.094
f	v_ʊ	0.091
ẽɪ̯̃	ŋ	0.091
e	ɾ_ɪ	0.091
e	a_s	0.091
e	-	0.091
ʁ	ɽ	0.085
ʁ	ɪ_ɾ	0.07
v	p_ɪ	0.069
s	ɕ_ˈi	0.065
æɛ̯	ˈa_ʈ	0.062
æɛ̯	-	0.062
t	ʧː	0.053
t	ʈː	0.053
