Bellunese	Portuguese	probability
a	ɐ	0.892
a	-	0.071
b	b	0.818
b	v	0.119
b	k	0.063
d	d	0.479
d	ð	0.435
e	ɨ	0.259
e	-	0.251
e	ˈe	0.201
e	ɐ	0.083
f	f	0.944
i	ɨ	0.443
i	i	0.241
i	-	0.187
i	ˈi	0.128
j	-	0.499
j	ɾ	0.168
j	ʎ	0.168
j	ɔ	0.096
k	k	0.937
l	l	0.714
l	-	0.14
l	ɫ	0.132
m	m	1.0
n	n	0.449
n	-	0.298
n	j	0.128
n	ɲ	0.1
o	u	0.555
o	w	0.151
o	ɨ	0.082
o	-	0.067
p	p	0.732
p	ʃ	0.171
p	-	0.067
r	ɾ	0.885
r	ʁ	0.086
s	s	0.415
s	ʃ	0.363
s	ʃ_u	0.098
t	t	0.616
t	ð	0.163
t	j_t	0.123
t	-	0.061
u	ɐ	0.69
u	ˈu	0.195
u	ɔ	0.115
v	v	0.72
v	β	0.249
w	w	0.891
w	-	0.109
z	z	0.66
z	ʒ	0.164
z	ʎ	0.07
z	m	0.068
ð	ʒ	0.687
ð	-	0.313
ŋ	-	0.342
ŋ	w̃	0.263
ŋ	ˈẽ	0.103
ŋ	ˈĩ	0.095
ŋ	ɲ_u	0.07
ɡ	ɣ	0.577
ɡ	ɡ	0.353
ɡ	-	0.071
ɲ	ɲ	0.7
ɲ	ˈi	0.3
ʤ	ɲ	1.0
ʧ	ʎ	0.686
ʧ	ʃ	0.314
ˈa	ˈa	0.52
ˈa	ˈɐ̃	0.174
ˈa	ˈɐ	0.161
ˈe	ˈe	0.355
ˈe	ˈɐ	0.213
ˈe	ˈɛ	0.21
ˈe	-	0.072
ˈi	ˈi	0.682
ˈi	ˈĩ	0.133
ˈi	ˈe	0.13
ˈo	ˈo	0.508
ˈo	ˈɔ	0.181
ˈo	ˈõ	0.127
ˈo	ˈɐ̃	0.083
ˈo	ˈu	0.082
ˈu	ˈu	0.79
ˈu	ˈo	0.085
ˈu	ˈɔ	0.082
ˈɔ	ˈo	0.447
ˈɔ	ˈɔ	0.284
ˈɔ	ˈo_w	0.113
ˈɔ	u	0.105
ˈɛ	ˈɛ	0.611
ˈɛ	ˈɐ	0.173
ˈɛ	ˈɐ_j	0.083
ˈɛ	-	0.074
ˈɛ	ɨ	0.05
θ	s	0.838
θ	t	0.086
θ	-	0.053
