Upper Franconian	Upper Franconian	probability
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈɒː	ˈɒː	1.0
ˈuː_#>	#>	1.0
ˈoː_s	z̥	1.0
ˈiː_ɐ_#>	ˈiː_#>	1.0
ˈiː_#>	ˈɛːɪ̯_#>	1.0
ˈeː	-	1.0
ˈaː_#>	ˈæɪ̯_n_#>	1.0
ˈa	k_ˈɑː	1.0
ʦ	t	1.0
ɪ	ɐ	1.0
ɡ̊_#>	ɣ̊_#>	1.0
ɐ	ɐ	1.0
ç_#>	k_#>	1.0
z̥	t	1.0
v̥	p	1.0
v_ˈɔ	v	1.0
t	t	1.0
s_d̥	s_t	1.0
n_ɐ	n_ɐ	1.0
n_s_#>	s_#>	1.0
n_d̥	n	1.0
n_a	n	1.0
j	j	1.0
i	ɡ̊	1.0
h	h	1.0
f_#>	p_#>	1.0
eː	ɑɪ̯	1.0
b̥͡v̥	p	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
a_#>	#>	1.0
a	n	1.0
<#_ʦ	<#_t	1.0
<#_n	<#_n	1.0
l	l	0.98
m	m	0.939
r	r	0.929
n	n	0.902
f	f	0.852
s_#>	t_#>	0.846
v	v	0.792
ɾ	-	0.75
s	z	0.75
ˈaʊ̯	ˈuː	0.7
ˈɪ	ˈɪ	0.615
ʃ	s	0.613
ɡ̊_n	k_n	0.6
ˈoː	ˈɒː	0.529
ɡ̊	k	0.517
ç	χ	0.5
ç	ɣ̊	0.5
<#_ˈɒ	<#_ˈɑːɑ̯	0.5
<#_ˈɒ	<#	0.5
ˈuː	ˈɑʊ̯	0.471
ˈaː	ˈæɪ̯	0.471
ŋ	ŋ	0.471
ˈɒ	ˈɑ	0.462
ˈʊ	ˈʊ	0.444
ˈɔ	ˈɔ	0.429
ɡ̊	ɡ	0.414
ˈuː	ˈoː	0.412
ŋ	ɡ_n	0.412
ˈaɪ̯	ˈiː	0.409
ɡ̊_n	ɣ̊	0.4
d̥	d̥	0.395
d̥	d	0.395
ʃ	s_k	0.387
x	k	0.385
ˈʊ	-	0.333
ˈɛ	-	0.333
x	χ	0.308
x	ɣ̊	0.308
ˈiː	ˈæɪ̯	0.304
ˈaʊ̯	-	0.3
ˈaː	ˈoː	0.294
ˈɔ	ˈoː	0.286
ˈɛ	ˈɛ	0.278
ˈɛ	ˈeː	0.278
ɾ	ʊ	0.25
s	z̥	0.25
ˈoː	ˈɑ	0.235
ˈaː	-	0.235
ˈaɪ̯	-	0.227
ˈiː	-	0.217
d̥	t	0.211
v	w	0.208
ˈɒ	-	0.192
ˈiː	ˈɪ	0.174
ˈɒ	ˈɑː	0.154
s_#>	#>	0.154
ˈɔ	ˈʊ	0.143
ˈɔ	-	0.143
ˈaɪ̯	ˈɛːɪ̯	0.136
ˈiː	ˈœy̯	0.13
ˈoː	ˈɔː	0.118
ˈoː	ˈɒːɒ̯	0.118
ŋ	n	0.118
ˈɪ	ˈʏ	0.115
ˈɪ	-	0.115
ˈʊ	ˈɔ	0.111
ˈʊ	ˈœ	0.111
ˈɛ	ˈɑː	0.111
ˈaɪ̯	ˈɪ	0.091
ˈaɪ̯	ˈyː	0.091
ˈiː	ˈøː	0.087
ˈiː	ˈæː	0.087
ˈɪ	ˈʏə̯	0.077
ˈɪ	ˈɛ	0.077
ˈɒ	ˈɔ	0.077
ˈɒ	ˈɑːɑ̯	0.077
f	p	0.074
f	-	0.074
r	-	0.071
ɡ̊	s	0.069
m	v_n	0.061
ˈuː	ˈœːy̯	0.059
ˈuː	ˈøy̯	0.059
n	-	0.059
