Cantonese	Cantonese	probability
⁵⁵	˦	1.0
⁵	-	1.0
ʧ_œː	ʈˠ	1.0
ʃ	s	1.0
ɪ	æ	1.0
ɔː_j	ʌ_i	1.0
ɐ_j	e_i	1.0
œː	ɨ_ɐ	1.0
ŋ̍	ŋ_u	1.0
ŋ	ŋ	1.0
¹³	˧˥	1.0
³⁵	˧˥	1.0
³³	˥˩	1.0
³	-	1.0
²¹	˦	1.0
²²	˥˩	1.0
uː	u	1.0
u	ɨ_u	1.0
t̚_³	p̚	1.0
t̚_²	t̚	1.0
t̚	t̚	1.0
s_ɪ	ʃ	1.0
o_w	u_o	1.0
o	ɑ	1.0
k̚	k̚	1.0
kʷʰ	ɡ	1.0
kʷ	k	1.0
kʰ	ɡˠ	1.0
e	i	1.0
<#_f	<#	1.0
n	n	0.879
f	p	0.875
l	l	0.857
ɔː	ɑ	0.833
m	m	0.833
iː	e	0.722
ʦʰ	ʦʰ	0.714
w	u	0.708
ɵ	ɨ	0.667
tʰ	tʰ	0.667
ʧʰ	ʨʰ	0.6
ɥ	ʌ	0.6
ɛː	e	0.6
t	d	0.6
p	p	0.6
k	k	0.6
k̚_²	k̚	0.571
ʦ	ʦ	0.5
yː	u_ɛ	0.5
<#	<#_ʔ	0.5
<#	<#_ɦ	0.5
ʊ	ɨ	0.462
k̚_²	u_k̚	0.429
h	kʰ	0.429
ʧʰ	ʣ	0.4
ɥ	-	0.4
ɛː	i_a	0.4
t	t	0.4
pʰ	bˠ	0.4
pʰ	b	0.4
p	pˠ	0.4
h	h	0.357
ɵ	u_ɪ	0.333
tʰ	d	0.333
j	ȵ	0.316
j	i	0.316
ʊ	u	0.308
ɐ	ɨ_u	0.308
aː	a	0.3
s	s	0.294
ʦʰ	ɖˠ	0.286
iː	ɨ	0.278
ɐ	ə	0.269
ʦ	ʨ	0.25
ʦ	ʈ	0.25
yː	w_e	0.25
yː	-	0.25
s	ɕ	0.235
ʊ	ɨ_o	0.231
ɐ	ɪ	0.231
h	ɦ	0.214
j	ɪ	0.211
pʰ	pʰ	0.2
k	ɡ	0.2
k	kˠ	0.2
aː	æ	0.2
ɐ	ɨ	0.192
s	ʥ	0.176
ɔː	ʉ_ɐ	0.167
w	ɦ	0.167
m	mˠ	0.167
j	-	0.158
aː	ʉ_ɐ	0.15
aː	ɛ	0.15
l	lˠ	0.143
w	w	0.125
f	hˠ	0.125
aː	ʌ	0.1
aː	-	0.1
n	ɑ_n	0.091
s	ʤ	0.059
s	ʑ	0.059
s	ʃˠ	0.059
s	ɕˠ	0.059
s	sˠ	0.059
