Campidanese	Friulian	probability
d	d	1.0
f	f	1.0
m	m	1.0
p	p	1.0
s	s	1.0
sː	-	1.0
w	w	1.0
ŋ	ŋ	1.0
ɖː	l	1.0
ɲː	ɲ	1.0
ʃː	s	1.0
ʒ	ʧ	1.0
ʧ	ʧ	1.0
i	ˈiː	0.241
k	ɡ	0.121
k	k	0.251
n	n	0.771
o	-	0.11
o	u	0.201
u	i	0.751
z	-	0.531
ɣ	-	0.851
ˈe	j_ˈɛ	0.31
ˈo	w_ˈa	0.131
a	e	0.732
k	c	0.552
nː	ŋ	0.482
r	-	0.172
ɡ	-	0.62
ˈe	ˈɛ	0.182
β	-	0.522
a	a	0.183
b	b	0.33
j	-	0.393
l	-	0.13
rː	r	0.73
ˈo	ˈo	0.223
b	v	0.604
e	a	0.24
t	l_t	0.084
ð	d	0.824
ɡ	ɡ	0.344
ˈa	ˈa	0.714
ˈe	ˈe	0.264
ˈi	ˈeː	0.134
ˈo	ˈuː	0.14
ˈu	ˈu	0.464
a	-	0.075
e	e	0.205
n	-	0.215
r	l	0.085
u	e	0.065
b	ɡ	0.066
l	l	0.826
r	r	0.676
t	t	0.916
ð	t	0.176
ˈa	ˈaː	0.286
ˈo	-	0.056
ˈo	v_ˈɔ	0.076
ˈo	ˈɔ	0.106
e	-	0.477
j	j	0.217
rː	-	0.27
ˈe	ˈi	0.17
ˈu	ˈo	0.337
nː	n	0.518
u	w	0.168
ˈo	ˈoː	0.098
ˈu	ˈoː	0.08
β	v	0.478
e	i	0.079
i	i	0.69
j	l	0.39
o	o	0.689
z	s	0.469
ɣ	ɡ	0.149
ˈi	ˈe	0.249
ˈi	ˈi	0.559
ˈu	ˈuː	0.119
