Gallurese	Gallurese	probability
ˈɛ_r	ˈɛ_ɾ	1.0
ˈɔ_r	ˈɔ_ɾ	1.0
ˈi_t	ˈi_ð	1.0
ˈe_#>	ɾ_ɛ_#>	1.0
ˈa_l	z	1.0
ʧː	-	1.0
ʦː	t	1.0
ʦ	ʦ	1.0
ʤ	ɣ	1.0
ʣ	-	1.0
ʒ	j	1.0
ɟː	-	1.0
ɟ	b	1.0
ɔ	ɔ	1.0
ŋ_k	m_b	1.0
ŋ	m	1.0
z	z	1.0
w	u	1.0
v	b	1.0
u_l	ɔ_l	1.0
u_#>	#>	1.0
tː	t	1.0
t_i	ɔ̆	1.0
sː_u	s_u	1.0
s_ˈi	s_ˈi	1.0
s	s	1.0
rː	r	1.0
r_ˈi	ɾ_ˈi	1.0
r_ˈa	ɾ_ˈa	1.0
r_a	ɾ_a	1.0
r	ɾ	1.0
pː	p	1.0
p_u	p_ˈɔ	1.0
nː	nː	1.0
mː	m	1.0
m	m	1.0
l_ʧ	ɾ_k	1.0
l_t	ɾ_t	1.0
l_i	l_ɛ	1.0
l_b	ɾ_b	1.0
l_a	l_a	1.0
kː	k	1.0
k_u	ɣ_u	1.0
i_#>	#>	1.0
fː	f	1.0
f	f	1.0
e	ă	1.0
d_i	i	1.0
d_a	a	1.0
cː	j	1.0
c	k_ɾ	1.0
bː	-	1.0
b	b	1.0
a_r	ɛ_ɾ	1.0
a_m	a_m	1.0
a_l	a_l	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
<#	<#_i	1.0
n	n	0.957
p	p	0.912
k	k	0.912
ˈu	ˈu	0.906
ˈi	ˈi	0.879
ˈa	ˈa	0.879
a	a	0.853
u	u	0.82
j	j	0.7
r_u	ɾ_u	0.667
t	t	0.643
d	d	0.636
o	u	0.6
i	ɛ	0.597
#>	ɾ_ɛ_#>	0.561
l	ɾ	0.529
ˈo	ˈɔ	0.5
ˈo	ˈo	0.5
ɲː	n_ʣ	0.5
ɖː	ɖː	0.5
l	l	0.471
ˈɛ	ˈɛ	0.464
ˈɛ	ˈe	0.464
ˈɔ	ˈɔ	0.462
ɡ	ɡ	0.455
ʧ	ɣ	0.444
ʧ	k	0.444
ˈe	ˈɛ	0.409
ˈe	ˈe	0.409
o	ˈɔ	0.4
ɲː	ŋ_ɡ	0.375
ˈɔ	ˈo	0.359
t	ð	0.357
r_u	ɾ	0.333
j	ɾ	0.3
#>	ɛ_#>	0.293
ɡ	ɣ	0.273
ɡ	b	0.273
i	i	0.254
ɖː	ʣ	0.25
d	-	0.182
ɖː	l	0.15
ˈɔ	ˈu	0.128
ɲː	ɲ	0.125
ˈi	ɛ	0.121
ʧ	ʣ	0.111
ɖː	-	0.1
#>	ɔ̆_#>	0.098
ˈu	-	0.094
ˈe	ɛ	0.091
ˈe	-	0.091
d	ɛ	0.091
d	i	0.091
p	β	0.088
k	ɣ	0.088
ˈɛ	-	0.071
u	ɛ	0.07
a	-	0.059
ˈa	ˈa_ð	0.052
ˈɔ	-	0.051
