Lengadocian	Sicilian	probability
ˈɔ_ʀ	ˈɔ_ɾ	1.0
ˈy_m	nː	1.0
ˈy	ˈu	1.0
ˈu_n	ˈɔ_n	1.0
ˈa_w	ˈɔ	1.0
ˈa_j	ˈa_ʈ	1.0
ɾ_e	ɾ_ʊ	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɥ_ˈɔ	ˈɔ	1.0
ɡ_l	ɟ	1.0
ɡ	ɡ	1.0
ɔ	a	1.0
ŋ	ŋ	1.0
ð	t	1.0
y	u	1.0
p_l	c	1.0
p	p	1.0
nː	mː_ɪ	1.0
n_ˈa	n_ˈa	1.0
n_d	nː_ɪ	1.0
lː	z	1.0
l_ɔ	ɖː_a	1.0
l_s	w_s	1.0
l_e	l_i	1.0
k_ɾ	k_ɾ	1.0
j_ˈɛ	ˈɛ	1.0
j_s	ʃː_ɪ	1.0
f_l	ç	1.0
e_s	ʃ	1.0
a_ð	a_t	1.0
f	f	0.961
m	m	0.927
ɲ	ɲː	0.915
n	n	0.905
ˈɔ	ˈɔ	0.893
k	k	0.89
ˈe	ˈi	0.868
a	a	0.86
ˈa	ˈa	0.827
ˈi	ˈi	0.773
ʎ	ɟː	0.748
ʧ	tː	0.742
u	u	0.73
d	d	0.722
ˈɛ	ˈɛ	0.686
ʦ	ɕ_ɪ	0.646
b	v	0.607
ˈu	ˈu	0.603
i	i	0.601
ɾ_ɔ	ɾ_a	0.572
t	t	0.571
ɣ	ɡ	0.55
ɾ	ɾ	0.537
z	ɕ	0.524
z	-	0.476
ɣ	k	0.45
s	s	0.449
ʤ	j	0.442
l	l	0.434
ɾ_ɔ	a	0.428
β	p	0.422
ʤ	-	0.401
j	-	0.401
i	-	0.399
ʀ	ɾ	0.395
β	v	0.39
w	w	0.389
e	ɪ	0.362
e	i	0.355
ʦ	ʦː	0.354
ʀ	r	0.344
b	b	0.314
l	ɖː	0.306
d	ɪ	0.278
u	o	0.27
ʧ	-	0.258
ˈɛ	-	0.255
ɾ	ɽ	0.255
j	ɪ	0.254
ʎ	-	0.252
ɾ	r	0.208
w	-	0.199
s	ɪ	0.195
j	j	0.187
s	ʊ	0.183
j	ˈa	0.159
ʤ	ʤ	0.157
w	v_ɪ	0.153
ˈu	ˈɔ	0.14
a	-	0.14
ʀ	ɾ_n	0.136
e	ʊ	0.126
ʀ	ʐː	0.124
β	p_ɪ	0.12
t	tː	0.119
ˈu	ˈo	0.115
ˈa	ˈa_n	0.114
t	-	0.113
ˈɔ	ˈo	0.107
l	cː	0.107
e	a	0.102
w	v_ʊ	0.1
n	nː	0.095
ˈi	ɪ	0.093
k	kː	0.091
ˈu	ˈu_ɾ	0.09
ˈi	ˈi_n	0.085
ɲ	ɲ	0.085
w	ʊ	0.082
b	-	0.079
w	bː	0.077
l	ˈi	0.076
ˈe	ˈe	0.075
s	ɕ	0.075
m	-	0.073
t	ʈ	0.07
β	b	0.068
t	ʈː	0.068
s	ʃː	0.066
l	ɟː	0.062
ˈɛ	ˈi	0.059
ˈa	w_ˈa	0.059
ˈe	-	0.056
e	-	0.054
ˈu	ˈu_n	0.052
