Old West Norse	Old High German	probability
θ	d	1.0
ˈɛː	-	1.0
ˈɛi̯	ˈei̯	1.0
ˈɛ	ˈɑ	1.0
ˈɔː	ˈuo̯	1.0
ˈɒu̯	ˈoː	1.0
ˈɑ_ɣ	ˈɑ_ɡ	1.0
ˈøː	ˈuo̯	1.0
ˈuː	ˈuː	1.0
ˈoː_r̥	o	1.0
ˈeː_r̥	ˈi_r	1.0
ˈa	ˈɑ	1.0
ʦ	t_i	1.0
ʝː	ɡ_eː	1.0
ɣ	ɡ	1.0
ɡː	-	1.0
ɡ	ɡ	1.0
ɟ	ɡ	1.0
ɑː	ˈiː_ʦ_ɛ_h	1.0
ð_j	tː	1.0
ç	h	1.0
x_w	w	1.0
v_ɑ	b_ɑ	1.0
tʰ	ʦ	1.0
sː	s	1.0
s_t	s_t	1.0
s	s	1.0
r_ˈy	r_ˈu	1.0
r_ɣ	r_ɡ	1.0
r_n	r_n	1.0
r	r	1.0
pː	f	1.0
pʰ	p͡f	1.0
n̥	n	1.0
n	n	1.0
mː	mː	1.0
m	m	1.0
l̥	l	1.0
lː_r̥	lː	1.0
l	l	1.0
kʰ	kʰ	1.0
j_ˈɔ	ˈɛ	1.0
j_ˈɑ	ˈɛ	1.0
j_ˈuː	ˈio̯	1.0
j_ˈoː	ˈio̯	1.0
h	h	1.0
f	f	1.0
e	i	1.0
d	t	1.0
cː	kː	1.0
cʰ	kʰ	1.0
c	k	1.0
b	b	1.0
ˈi	ˈi	0.926
ŋ	ŋ	0.875
r̥ː	r	0.837
ˈiː	ˈiː	0.821
ˈɑ	ˈɑ	0.789
p	f	0.677
ˈoː	ˈuo̯	0.675
ð	t	0.634
t	s̻	0.622
kː	kː	0.61
i	-	0.604
ˈu	ˈu	0.6
a	ɑ	0.6
ˈɑː	ˈɑː	0.595
ˈɔ	-	0.573
ˈøy̯	-	0.562
v	w	0.547
ˈeː	ˈie̯	0.531
lː	l_d	0.506
ˈyː	ˈiu̯	0.501
u	u	0.5
u	i	0.5
j	ˈeː	0.5
j	-	0.5
ˈyː	-	0.499
k	x	0.496
lː	l	0.494
ˈɑu̯	ˈou̯	0.492
tː	t	0.491
ˈeː	x	0.469
ˈo	ˈo	0.464
ˈo	ˈu	0.457
ˈøy̯	ˈou̯	0.438
nː	nː	0.43
r̥	i	0.429
ˈɔ	ˈɑ	0.427
ˈe	ˈɛ	0.402
ˈy	ˈu	0.4
a	e	0.4
kː	ŋ_k	0.39
ˈɑu̯	ˈoː	0.382
ɑ	ɑ_n	0.36
ɑ	ɑ	0.337
nː	n	0.331
v	b	0.327
ˈoː	-	0.325
p	fː	0.323
tː	x_t	0.312
ˈy	ˈo	0.3
ˈy	ˈi	0.3
ˈɑː	ˈɑ	0.292
k	k	0.264
k	xː	0.24
nː	n_d	0.238
i	ɛ	0.215
tː	-	0.198
t	s̻ː	0.196
ð	d	0.195
r̥	ɑ_r	0.191
i	o	0.181
ˈiː	n	0.179
ɑ	e_n	0.175
r̥ː	rː	0.163
ˈe	ˈɑ	0.16
ˈe	-	0.16
ˈe	ˈe	0.155
ˈu	ˈo	0.144
ˈɑ	-	0.131
ˈɑu̯	ou̯	0.126
ŋ	-	0.125
ˈe	ˈi	0.123
ð	-	0.114
ˈɑː	ˈeː	0.113
r̥	o	0.113
r̥	r_i	0.107
r̥	r	0.107
t	t	0.098
ɑ	n	0.096
ˈu	w	0.085
v	f	0.084
t	ʦ	0.084
ˈu	ˈuː	0.083
ˈɑ	ˈɛ	0.08
ˈo	-	0.079
ˈi	-	0.074
ð	d_ɑ	0.058
r̥	x	0.052
