West Flemish	Pennsylvania German	probability
ˈɛː	ˈeː	1.0
ˈøː	-	1.0
ˈi	ˈaɪ̯	1.0
ʃ_h	ʃ	1.0
ɾ_ə	ɑ	1.0
ɪ	ɪ	1.0
ɦ̥	-	1.0
ə_ɾ	ɑ	1.0
ə_n	ə	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
ç	ç	1.0
z̥	s	1.0
w	l	1.0
v̥	b̥	1.0
t_ə	ʦ	1.0
p	f	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
k_ə	x	1.0
j	j	1.0
iə̯	eː	1.0
d̥	d̥	1.0
d_ə	d̥	1.0
d	d	1.0
b	b	1.0
ə	-	0.907
ʋ	ʋ	0.899
ˈɪ	ˈɪ	0.86
z	s	0.818
s	ʃ	0.8
v	f	0.795
ˈyː	ˈaʊ̯	0.767
ˈu	ˈʊ	0.764
ˈɑ	ˈa	0.729
ɦ_ə	ɡ̊	0.718
ɦ	ɡ	0.64
h	x	0.624
ˈoː_ɾ	ˈaː	0.594
ˈuə̯	ˈuː	0.582
k	k	0.578
n	n	0.562
ɾ	ɾ	0.534
ˈiə̯	ˈiː	0.478
ˈeː	ˈeː	0.466
n	ə	0.438
ˈeː	ˈɛ	0.414
ˈoː_ɾ	ˈa	0.406
ˈœ	ˈɪ	0.402
ˈɔ	-	0.398
ˈœ	-	0.397
ɾ	ɑ	0.388
h	ç	0.376
ˈɒː	ˈɔː	0.374
t	s	0.366
ɦ	j	0.36
ˈɛ	ˈɪ	0.342
ˈæ	ˈɛː	0.339
ˈiə̯	ˈaɪ̯	0.334
ˈɛ	ˈɛ	0.329
ˈɛ	ˈaɪ̯	0.329
ˈɔ	ˈɔ	0.324
ˈoː	ˈoː	0.32
ɦ_ə	ɣ	0.282
ˈɔ	ˈʊ	0.277
ˈæ	ˈɛ	0.275
ˈɑ	ˈɔː	0.271
ˈuə̯	ˈiː	0.262
ˈæ	-	0.255
k	ç	0.255
t	d̥	0.243
ˈu	ˈa_l	0.236
ˈoː	ˈɔː	0.234
ˈyː	ˈaɪ̯	0.233
ˈɒː	ˈa	0.22
ˈoː	ˈeː	0.218
ˈɒː	ˈoː	0.209
v	-	0.205
ˈœ	ˈɔ	0.201
s	s	0.2
ˈɒː	ˈɛː	0.197
ˈiə̯	ˈeː	0.188
z	ʃ	0.182
ˈoː	ˈʊ	0.16
ˈuə̯	ˈʊ	0.156
ˈɪ	-	0.14
t	d	0.136
t	ʦ	0.132
ˈæ	ˈɪ	0.131
t	t	0.123
ˈeː	-	0.12
k	x	0.102
ʋ	-	0.101
ə	ə	0.093
ˈoː	-	0.069
k	-	0.065
