Swabian	Swabian	probability
ˈʌ	ˈʏ_ɾ	1.0
ˈɔə̯	ˈuː	1.0
ˈɔe̯	ˈæɪ̯	1.0
ˈuː	ˈuː	1.0
ˈuə̯_d	ˈuː	1.0
ˈiː	ˈyː	1.0
ˈeə̯	-	1.0
ˈa_d	ˈɑː	1.0
ʣ	tː	1.0
ʕ	ɾ	1.0
ʌ_#>	#>	1.0
ʃ_l	s_l	1.0
ʃ_d	s_t	1.0
ʁ	ɾ	1.0
ŋ_ɡ	ʰkː	1.0
x_d	ʰtː	1.0
s_#>	#>	1.0
p͡f	pʰ	1.0
n_s	sː	1.0
n_d	nː	1.0
m	m	1.0
l_f	l_ʋ	1.0
l_d	lː	1.0
l_#>	l_#>	1.0
i	ˈʊ	1.0
f_#>	#>	1.0
eə̯	e_n	1.0
e	-	1.0
d_ʁ	tʰ	1.0
b_#>	ʋ_#>	1.0
a_#>	#>	1.0
<#_ʋ	<#	1.0
<#_ʁ	<#_ɾ	1.0
<#_ɡ	<#_j	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_j	1.0
h	h	0.889
ŋ	ŋː	0.875
a	ɑ	0.868
ˈae̯	-	0.8
ˈa	ˈɑ	0.783
b	b	0.783
l	l	0.778
kʰ	kʰ	0.75
f	f	0.75
ˈɔː	ˈoː	0.714
ˈeː	-	0.714
ˈao̯	ˈʉː	0.714
ç	k	0.714
#>	ɑ_#>	0.714
ʋ	ʋ	0.706
n	n	0.68
ˈe	-	0.667
ɡ	ɡ	0.667
ˈo	ˈʉ	0.643
ʌ	ɾ	0.632
ˈəi̯	ˈiː	0.615
s	s	0.61
ˈɪ	-	0.6
ˈɛː	ˈeː	0.6
ˈɔ	-	0.6
ʦ	tʰ	0.583
ˈuə̯	ˈuː	0.571
ˈu	ˈʏ	0.571
ˈɛ	ˈɛ	0.474
ʃ	s	0.471
ˈoː	ˈæʉ̯	0.444
ˈaː	ˈɑː	0.444
ˈuə̯	-	0.429
ˈu	-	0.429
ˈɪ	ˈɪ	0.4
ˈɛː	j	0.4
ˈɔ	ˈʊ	0.4
d	d	0.373
ˈi	ˈiː	0.357
s	t	0.341
ˈoː	-	0.333
ˈiə̯	ˈøː	0.333
ˈiə̯	j_ˈʉː	0.333
ˈiə̯	-	0.333
ˈe	ˈɪ	0.333
ˈaː	ˈɑ	0.333
x	ˈɔ	0.333
x	k	0.333
x	-	0.333
ʃ	ʂ	0.294
d	-	0.294
ˈɔː	-	0.286
ˈi	ˈɪ	0.286
ˈeː	ˈoː	0.286
ˈao̯	ˈæʉ̯	0.286
ç	-	0.286
#>	ə_#>	0.286
ˈɛ	-	0.263
ʌ	e_ɾ	0.263
ʦ	t	0.25
kʰ	ç	0.25
f	p	0.25
ʃ	s_k	0.235
ˈəi̯	ˈyː	0.231
ˈoː	ˈɔ	0.222
ˈaː	ˈoː	0.222
l	lː	0.222
b	ʋ	0.217
ˈo	-	0.214
ˈi	-	0.214
ˈae̯	ɾ	0.2
ʋ	-	0.176
ʦ	-	0.167
ɡ	-	0.167
ˈəi̯	-	0.154
ˈo	ˈɔ	0.143
ˈi	ˈɔ	0.143
a	n	0.132
ˈa	ˈɑː	0.13
ŋ	ɲ	0.125
n	nː	0.12
n	-	0.12
ʋ	kʰ_ʋ	0.118
d	tʰ	0.118
h	-	0.111
ˈɛ	ˈæː	0.105
ˈɛ	ˈeː	0.105
ʌ	ə_ɾ	0.105
ɡ	ɡː	0.1
ˈa	ˈɛ	0.087
n	ˈoː_n	0.08
d	ʰtː	0.078
ɡ	j	0.067
d	ç	0.059
ˈɛ	ˈæ	0.053
