Lengadocian	Lengadocian	probability
ˈɛ_ʧ	u	1.0
ˈɛ_l	k_ɾ	1.0
ˈɔ_ʀ	ˈɔ_ɾ	1.0
ˈu_n	ˈɔ_n	1.0
ˈu_#>	ˈo_n_u_#>	1.0
ˈi_l	ˈi_ʣ	1.0
ˈe_l	ˈi_s	1.0
ˈe_j	ˈi	1.0
ˈa_w	ˈa	1.0
ˈa_s	ˈa_s	1.0
ʀ_k	ɾ_k	1.0
ɾ_ˈe	ɾ_ˈɛ	1.0
ɾ_ɔ	a	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɥ_ˈɔ	ˈo	1.0
ɥ	ˈo	1.0
ɡ	ɡ	1.0
ŋ_k	m_ɛ	1.0
y	-	1.0
t_ˈa	t_ˈa	1.0
s_ˈɛ	k_ˈe	1.0
s_ˈi	k_ˈi	1.0
s_k	s_k	1.0
s_#>	z_ă_#>	1.0
p_l	p_ɾ	1.0
p	p	1.0
nː	m_i	1.0
n_d	nː	1.0
m	m	1.0
k_#>	k_u_#>	1.0
k	k	1.0
j_ˈɛ	ˈe	1.0
j_ɾ	t_ɾ	1.0
j_#>	ɣ_ɛ_#>	1.0
i	i	1.0
f	f	1.0
a_ɾ	a_ɾ	1.0
a_ð	a_t	1.0
a_w	o	1.0
a_l	a_l	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʣ	1.0
<#_ʀ	<#_ɾ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_e	<#_i	1.0
<#	<#_a	1.0
b	b	0.946
<#_k	<#_k	0.923
ɔ	a	0.903
ˈa	ˈa	0.897
t	t	0.88
a	a	0.867
d	d	0.857
ˈy	ˈu	0.812
ɾ	ɾ	0.808
ð	t	0.778
ʦ	k_ɛ	0.75
ʧ	t_u	0.667
ɣ	k	0.667
n_#>	n_t_u_#>	0.667
ˈi	ˈi	0.655
n	n	0.654
ˈɔ	ˈo	0.6
ʎ	ʣ	0.6
ˈu	ˈu	0.571
ɾ_e	ɾ_u	0.556
j	-	0.533
ˈɛ	ˈɛ	0.531
ʀ	ɾ	0.526
l	l	0.515
s	s	0.512
ɲ	n_ʣ	0.5
ʀ	r	0.474
ʤ	ɡ	0.455
#>	u_#>	0.443
ˈe	ˈi	0.44
u	ɔ	0.412
β	β	0.4
ˈɔ	ˈɔ	0.4
ʎ	-	0.4
ˈɛ	ˈe	0.375
ʤ	-	0.364
ˈe	ˈɛ	0.36
ʧ	t_ɛ	0.333
ɲ	nː	0.333
ɣ	ɣ	0.333
z	k	0.333
z	j_z	0.333
z	-	0.333
n_#>	n_t_ɛ_#>	0.333
e	ɛ	0.333
w	β_ɛ	0.294
ˈu	ˈɔ	0.286
e	i	0.282
β	p	0.267
j	ɛ	0.267
ʦ	t_u	0.25
u	u	0.235
u	o	0.235
n	nː	0.231
#>	ɛ_#>	0.23
ɾ_e	ɾ	0.222
ɾ_e	ɛ_ɾ	0.222
ð	ð	0.222
#>	ɾ_ɛ_#>	0.213
l	ɾ	0.212
l	ɖː	0.212
β	p_ɛ	0.2
j	ˈe	0.2
ˈy	ˈu_ɾ	0.188
ʤ	ð	0.182
w	β_u	0.176
w	β	0.176
w	ɣ	0.176
w	ɛ	0.176
ˈi	ˈi_n	0.172
ɲ	ɲ	0.167
s	ɔ_z	0.146
s	k	0.146
d	-	0.143
β	b	0.133
a	ˈa	0.133
e	-	0.128
ˈe	ˈe	0.12
t	-	0.12
u	ˈɔ	0.118
ɾ	r	0.115
n	-	0.115
ˈi	ɛ	0.103
e	u	0.103
e	e	0.103
ˈɛ	-	0.094
ˈu	ˈɔ_n	0.086
ˈe	ˈi_k	0.08
ɾ	ɛ_ɾ	0.077
<#_k	<#	0.077
ˈi	-	0.069
ˈa	ˈa_n	0.069
ɔ	-	0.065
l	k_ɾ	0.061
ˈu	ˈo	0.057
b	-	0.054
e	ɛ_ɾ	0.051
