Meixian	Meixian	probability
⁵	⁴	1.0
ʨ	ʨ	1.0
ɔ_ŋ	ŋ̍	1.0
ɔ_n	w_ã	1.0
ŋ_¹¹	²⁴	1.0
ç	kʰ	1.0
³¹	⁵³	1.0
²	³²	1.0
z̩	i	1.0
z	ɔ	1.0
u_n	ŋ̍	1.0
t	t	1.0
p̚	t̚	1.0
p	p	1.0
o_j	a_j	1.0
n̩	l_u	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ɔ	w̃	1.0
e	a	1.0
cʰ	k	1.0
c	k	1.0
a_w	o	1.0
a_n	ŋ̍	1.0
a_j	j̃	1.0
<#_ʋ	<#	1.0
<#_j	<#_h	1.0
¹¹	²⁴	0.943
u	u	0.846
ŋ	ŋ	0.833
f	h	0.818
¹	³²	0.81
⁴⁴	⁴⁴	0.771
ʦʰ	ʦʰ	0.75
w	w	0.727
tʰ	tʰ	0.667
j_a	ĩ	0.667
j	j	0.611
ɕ	ɕ	0.6
<#	<#_l	0.6
ɛ	-	0.571
pʰ	p	0.571
m	m	0.571
i	i	0.556
h	h	0.556
k̚	ʔ	0.538
ʦ	ʦ	0.5
ʦ	t	0.5
ɲ	l	0.5
o	o	0.5
⁵³	³³	0.481
n	n	0.476
ʊ	a	0.467
k̚	k̚	0.462
ɛ	ɪ	0.429
pʰ	pʰ	0.429
m	b	0.429
ɔ	-	0.417
⁵³	¹¹	0.407
ɕ	s	0.4
<#	<#_h	0.4
a	e	0.385
t̚	ʔ	0.357
t̚	t̚	0.357
ʊ	ɔ	0.333
ɔ	ɔ	0.333
tʰ	t	0.333
j_a	w_a	0.333
t̚	k̚	0.286
j	-	0.278
w	-	0.273
a	a	0.269
ʦʰ	t	0.25
ɲ	ɡ	0.25
ɲ	-	0.25
ɔ	o	0.25
s	ʨ	0.25
s	-	0.25
o	ɤ	0.25
o	ɔ̃	0.25
h	kʰ	0.222
h	-	0.222
ʊ	ɪ	0.2
n	ã	0.19
n	-	0.19
f	p	0.182
⁴⁴	⁵³	0.171
ŋ	ɡ	0.167
s	ʦ	0.167
s	ɕ_j	0.167
s	ɕ	0.167
u	i_w	0.154
¹	⁴	0.143
n	l	0.143
a	w	0.115
a	j	0.115
j	a	0.111
i	u	0.111
i	e	0.111
a	w_a	0.077
⁵³	⁴⁴	0.074
i	u_j	0.074
i	j	0.074
i	a_j	0.074
⁴⁴	³³	0.057
