Lower Sorbian	Macedonian	probability
ˈɪ	ˈɛ	1.0
ˈɨ	ˈi	1.0
ˈi	ˈi	1.0
ˈa_r	ˈr̩	1.0
ʨ	t	1.0
ʑ	d	1.0
ʐ	ʒ	1.0
ɲ	n	1.0
ɨ_#>	#>	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
z	z	1.0
vʲ	v	1.0
v	v	1.0
t_a	t_a	1.0
s	s	1.0
rʲ	r	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ_i	k	1.0
kʲ	o	1.0
k	k	1.0
j_ˈa	ˈɛ	1.0
j	j	1.0
e	ɛ	1.0
d_w	ɫ	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a	a	1.0
<#_v	<#	1.0
<#_k	<#	1.0
<#	<#_v	1.0
#>	ɛ_#>	1.0
w	ɫ	0.867
t	t	0.867
r	r	0.857
ɔ	o	0.812
ˈe	ˈɛ	0.8
ˈɛ	ˈo	0.769
ɕ	t	0.706
ʦ	ʦ	0.625
l	l	0.625
ɨ	f	0.6
i	i	0.6
ˈa	ˈa	0.556
ˈɔ	ˈo	0.519
ˈu	ˈu	0.5
ˈu	ˈa	0.5
ʂ	ʃ	0.5
ʂ	r	0.5
ˈa	ˈɛ	0.444
ɨ	u	0.4
i	k	0.4
ʦ	ʧ	0.375
l	ɫ	0.375
ˈɔ	ˈa	0.296
ˈɛ	ˈɛ	0.231
ˈe	ˈr̩	0.2
ɔ	ɛ	0.188
ˈɔ	ˈɛ	0.185
ɕ	ɛ	0.176
r	ˈr̩	0.143
w	ˈo	0.133
t	d	0.133
ɕ	r	0.118
