Afrikaans	Scots	probability
b	b	1.0
d	d	0.597
d	θ	0.301
d	ð	0.092
f	f	0.872
f	v	0.074
f	-	0.049
j	j	1.0
k	k	0.553
k	kʰ	0.276
k	-	0.142
k	ʧ	0.038
l	l	1.0
m	m	1.0
n	n	0.896
n	-	0.102
n_s	s	1.0
n_t	θ	1.0
p	p	0.859
p	pʰ	0.14
r	r	0.953
r	-	0.046
s	s	0.862
s	ʃ	0.058
s	z	0.05
s	-	0.029
s_k	ʃ	1.0
t	t	0.436
t	d	0.332
t	tʰ	0.117
t	θ	0.056
t	-	0.055
v	w	0.666
v	ʍ	0.185
v	v	0.078
v	f	0.06
w	w	0.891
w	-	0.068
ŋ	ŋ	0.891
ŋ	-	0.108
ə	ə	0.527
ə	-	0.222
ə	əi̯	0.173
ə	ˈɪ	0.051
ə	i	0.035
ə_ŋ	n	1.0
ɦ	h	1.0
ɫ	l	0.818
ɫ	ɫ	0.136
ɫ	-	0.047
ˈa	ˈɑ	0.237
ˈa	ˈɑː	0.2
ˈa	ˈɛ	0.181
ˈa	ˈɪ	0.119
ˈa	ˈe	0.088
ˈa_n	ˈø	0.492
ˈa_ɫ	ˈɑː	1.0
ˈi	ˈiː	0.373
ˈi	ˈɛ	0.162
ˈi	ˈe	0.137
ˈi	ˈɑː	0.091
ˈi	ˈei̯	0.069
ˈoːi̯	ˈe	0.66
ˈoːi̯	ˈei̯	0.16
ˈu	ˈø	0.425
ˈu	ˈɪ	0.287
ˈu	ˈiː	0.157
ˈu	ˈi	0.089
ˈuː	ˈɪ	0.492
ˈuːi̯	ˈʉ	0.492
ˈyː	ˈəi̯	0.392
ˈyː	ˈei̯	0.221
ˈyː	ˈe	0.221
ˈæ	ˈɑː	0.574
ˈæ	ˈɛ	0.282
ˈæː	ˈɛ	0.5
ˈæː	ˈʌ	0.5
ˈœ	ˈɪ	1.0
ˈœi̯	ˈəi̯	1.0
ˈœu̯	ˈɑː_l	0.53
ˈœu̯	ˈʌʉ̯	0.186
ˈœu̯	ˈɑː	0.172
ˈœɪ̯	ˈʉ	1.0
ˈɑː	ˈe	0.335
ˈɑː	ˈiː	0.143
ˈɑː	ˈɑ	0.122
ˈɑː	ˈeː	0.08
ˈɑː	ɪ	0.08
ˈɔ	ˈɔ	0.494
ˈɔ	ˈʌ	0.197
ˈɔ	ˈʉ	0.141
ˈɔ	ˈø	0.064
ˈɔ	ˈʌʉ̯	0.053
ˈɔː	ˈiː	0.5
ˈɔː	ˈe	0.5
ˈə	ˈɪ	0.817
ˈə	ˈəi̯	0.125
ˈə	ˈe	0.055
ˈəɪ̯	ˈəi̯	0.39
ˈəɪ̯	ˈe	0.177
ˈəɪ̯	ˈɛ	0.173
ˈəɪ̯	ˈiː	0.099
ˈəɪ̯	ˈɑ	0.07
ˈɛ	ˈɪ	0.398
ˈɛ	ˈɛ	0.251
ˈɛ	ˈɑ	0.144
ˈɛ	ˈi	0.105
ˈɛ	ˈəi̯	0.071
ˈɛː	ˈeː	1.0
ˈɪ	ˈɛ	0.119
ˈɪø̯	ˈɔ	0.667
ˈɪø̯	ˈʌ	0.333
ˈɪə̯	ˈe	0.278
ˈɪə̯	ˈei̯	0.26
ˈɪə̯	ˈɛ	0.172
ˈɪə̯	ˈɪ	0.071
ˈɪə̯	ˈəi̯	0.065
ˈʊə̯	ˈei̯	0.307
ˈʊə̯	ˈɔ	0.213
ˈʊə̯	ˈiː	0.14
ˈʊə̯	ˈe	0.09
ˈʊə̯	-	0.052
χ	ɡ	0.377
χ	-	0.36
χ	x	0.258
