Afrikaans	Scots	probability
b	b	1.0
d	d	0.604
d	θ	0.266
d	-	0.065
d	ð	0.065
d̥	d	0.76
d̥	θ	0.193
f	f	0.877
f	-	0.063
f	v	0.059
i	i	1.0
j	j	0.643
j	-	0.244
j	ˈuː	0.113
k	k	0.528
k	kʰ	0.256
k	-	0.176
m	m	1.0
n	n	0.964
p	p	0.816
p	pʰ	0.184
r	r	0.974
s	s	0.761
s	ʃ	0.139
s	z	0.062
t	t	0.801
t	tʰ	0.199
v	w	0.622
v	ʍ	0.209
v	-	0.08
v	v	0.069
v̥	f	0.752
v̥	-	0.248
w	w	0.962
ŋ	ŋ	0.727
ŋ	n	0.231
ə	ə	0.653
ə	-	0.296
ɡ̊	-	1.0
ɦ	h	1.0
ɫ	l	0.931
ɫ	-	0.069
ˈa	ˈa	0.273
ˈa	ˈɑː	0.247
ˈa	ˈø	0.132
ˈa	ˈɛ	0.097
ˈa	-	0.084
ˈa	ˈeː	0.083
ˈa	ˈɪ	0.054
ˈi	ˈiː	0.486
ˈi	ˈi	0.219
ˈi	ˈɛ	0.069
ˈi	ˈʌu̯	0.064
ˈoːɪ̯	ˈi	1.0
ˈu	ˈi	0.398
ˈu	ˈɪ	0.183
ˈu	ˈø	0.172
ˈu	ˈøː	0.09
ˈu	-	0.09
ˈu	ˈu	0.065
ˈyː	ˈiː	0.39
ˈyː	ˈəi̯	0.39
ˈyː	ˈu	0.22
ˈæ	ˈɪ	0.275
ˈæ	ˈɛ	0.264
ˈæ	ˈaː	0.192
ˈæ	ə	0.11
ˈæ	ˈəi̯	0.087
ˈæ	-	0.071
ˈæː	ˈa	0.296
ˈæː	ˈeː	0.296
ˈæː	ˈʌ	0.296
ˈæː	-	0.111
ˈœ	ˈɪ	1.0
ˈœu̯	ˈɑː	0.422
ˈœu̯	ˈʌu̯	0.297
ˈœu̯	ˈuː	0.235
ˈœɪ̯	ˈu	0.73
ˈœɪ̯	ˈuː	0.18
ˈœɪ̯	ˈəi̯	0.09
ˈɑː	ˈeː	0.339
ˈɑː	ˈe	0.157
ˈɑː	ˈiː	0.137
ˈɑː	ˈi	0.128
ˈɑː	ˈʌ	0.087
ˈɑː	j	0.068
ˈɔ	ˈʌ	0.52
ˈɔ	ˈu	0.115
ˈɔ	-	0.112
ˈɔ	ˈo	0.106
ˈɔ	ˈø	0.066
ˈɔː	ˈe	0.624
ˈɔː	-	0.376
ˈə	ˈɪ	0.924
ˈə	ˈo	0.05
ˈəɪ̯	ˈəi̯	0.419
ˈəɪ̯	ˈiː	0.236
ˈəɪ̯	ˈe	0.111
ˈəɪ̯	ˈɛ	0.083
ˈəɪ̯	ˈeː	0.055
ˈɛ	ˈɛ	0.495
ˈɛ	ˈu	0.283
ˈɛ	ˈɪ	0.165
ˈɛ	ˈa	0.057
ˈɛː	ˈeː	0.845
ˈɛː	ˈaɪ̯	0.155
ˈɪ	ˈɪ	0.846
ˈɪ	ˈi	0.154
ˈɪø̯	ˈɪ	0.906
ˈɪø̯	ˈoː	0.094
ˈɪə̯	ˈe	0.324
ˈɪə̯	ˈa	0.137
ˈɪə̯	ˈɛ	0.102
ˈɪə̯	ˈiː	0.074
ˈɪə̯	ˈɑː	0.074
ˈɪə̯	ˈɛː	0.072
ˈɪə̯	ˈɪ	0.07
ˈɪə̯	ˈi	0.059
ˈɪə̯	ˈeː	0.057
ˈʊə̯	ˈi	0.228
ˈʊə̯	ˈo	0.222
ˈʊə̯	ˈiː	0.202
ˈʊə̯	ˈɪ	0.085
ˈʊə̯	ˈeː	0.073
ˈʊə̯	ˈe	0.061
χ	ɡ	0.432
χ	x	0.217
χ	ç	0.138
χ	ʤ	0.06
χ	k	0.06
χ	-	0.053
