Sichuanese	Sichuanese	probability
⁵⁵	²⁴	1.0
ʨ	k	1.0
ʦʰ	ʦʰ	1.0
ɥ	j	1.0
ɚ	i	1.0
ə_w	u	1.0
ə_n	a_ŋ	1.0
ɕ_j	s_e	1.0
ŋ	ŋ	1.0
²¹³	⁵⁵	1.0
²¹_#>	#>	1.0
z	ɲ	1.0
w_⁵³	³¹	1.0
w_a	o	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	ɲ	1.0
m	m	1.0
k	k	1.0
i_n	a_ŋ	1.0
e	e_t̚	1.0
a_w	w	1.0
<#_ŋ_a	<#_o	1.0
<#_w	<#_v	1.0
<#	<#_ɲ	1.0
j	j	0.857
i	i	0.857
⁵³	³¹	0.833
w	w	0.8
f	f	0.75
n	n	0.658
ə	u	0.636
ɕ	ɕ	0.6
t	tʰ	0.6
kʰ	kʰ	0.6
²¹	¹¹	0.556
x	h	0.556
o	u	0.533
ʦ	ʦ	0.5
z̩	ɨ	0.5
z̩	i	0.5
y	ŋ̍	0.5
y	i	0.5
a	o	0.463
u	u	0.462
x	f	0.444
a	a	0.439
ʨʰ	ʨʰ	0.429
ɛ	e_t̚	0.417
ɕ	h	0.4
t	t	0.4
kʰ	h	0.4
ə	e	0.364
²¹	²	0.352
u	u_k̚	0.308
ʨʰ	kʰ	0.286
ʨʰ	h	0.286
o	o	0.267
ɛ	e	0.25
f	p	0.25
u	u_t̚	0.231
ʦ	t	0.2
ʦ	-	0.2
w	-	0.2
o	o_k̚	0.2
⁵³	²⁴	0.167
ɛ	a_k̚	0.167
ɛ	a	0.167
n	m	0.158
j	-	0.143
i	j	0.143
n	l	0.132
ʦ	ʨ	0.1
a	e	0.098
²¹	⁵	0.093
n	l_j	0.053
