Québécois French	Québécois French	probability
ʣ	d	1.0
ʏ	-	1.0
ʊ	ˈo	1.0
ʁ_#>	#>	1.0
ɲ	ɲ	1.0
ɛɪ̯	ˈɛə̯_s	1.0
ɛ_ʁ_#>	#>	1.0
ɛ_l	l	1.0
ɛ_#>	z_#>	1.0
ɑ	ˈa	1.0
æɛ̯_ʁ	r	1.0
z	-	1.0
w_ɛ	ˈɛ	1.0
s_a	s_ɐ	1.0
p	p	1.0
o	ˈɔ_s	1.0
n	n	1.0
m	m	1.0
l_a	ˈaː	1.0
k_l	ʧ	1.0
j_ɛ	ˈeː	1.0
j_#>	#>	1.0
f_#>	v_#>	1.0
f	f	1.0
e	ˈeə̯	1.0
b	b	1.0
aœ̯	ˈou̯	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_œ	<#_ˈɔə̯	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_s	1.0
<#	<#_l	1.0
ʁ	r	0.971
v	v	0.929
ʃ	k	0.9
k	k	0.85
t	t	0.833
ʒ	ð	0.8
ɑɔ̯	ˈɔə̯	0.8
d	d	0.8
e_#>	ˈeə̯_#>	0.643
øʏ̯	-	0.625
ɡ	ɡ	0.6
y	-	0.6
l	l	0.593
ẽɪ̯̃	ˈʌ̃	0.588
œ	-	0.571
s	s	0.556
oʊ̯	ˈɛə̯_l	0.545
#>	ɐ_#>	0.518
ɒ̃ʊ̯̃	ˈõũ̯	0.5
<#_a	<#_ɐ	0.5
<#_a	<#	0.5
i	ˈi	0.478
u	u	0.467
ɡ	ʤ	0.4
y	ˈu	0.4
øʏ̯	ˈu_ɡ	0.375
w	ˈeː	0.368
s	θ	0.361
ɛ	ˈɛ	0.357
e_#>	#>	0.357
a	ɐ	0.357
ɥ	ˈu_v	0.333
ɥ	ˈo	0.333
ɥ	-	0.333
j	j	0.333
j	-	0.333
ɔ	ˈo	0.3
ɔ	-	0.3
ɒ̃ʊ̯̃	ˈo	0.3
œ	ɐ	0.286
a	ˈa	0.286
ɪ	ˈi	0.273
oʊ̯	ˈeə̯_l	0.273
w	-	0.263
ã	ˈʌ̃_n	0.25
ɛ	ˈeə̯	0.214
a	-	0.214
w	ˈou̯	0.211
æɛ̯	ˈeə̯	0.206
ʒ	-	0.2
ɔ	ˈou̯	0.2
ɔ	u	0.2
ɒ̃ʊ̯̃	ˈou̯_n	0.2
ɑɔ̯	u	0.2
d	d_ˈo	0.2
ã	ˈɛ_n	0.188
ã	n	0.188
l	j	0.185
ɪ	ˈɛ	0.182
ɪ	ˈẽ	0.182
ɪ	j_ˈɔə̯	0.182
ɪ	-	0.182
oʊ̯	ˈɔə̯	0.182
æɛ̯	ˈa	0.176
ẽɪ̯̃	j̃	0.176
i	ɐ	0.174
t	-	0.167
w	ˈi	0.158
k	k_v	0.15
ɛ	ɡ_ɐ	0.143
ɛ	d_ɐ	0.143
ɛ	-	0.143
œ	ˈɔə̯	0.143
a	a	0.143
u	ˈɔ	0.133
u	ˈou̯_t	0.133
u	ˈou̯	0.133
u	-	0.133
j	ˈi	0.133
j	ɐ	0.133
i	ˈɛə̯	0.13
i	i	0.13
ã	ˈʌ̃	0.125
ã	ɐ_n	0.125
ã	ŋ	0.125
æɛ̯	ˈʌ̃	0.118
æɛ̯	ˈɛ	0.118
æɛ̯	ɐ	0.118
ẽɪ̯̃	ˈẽ	0.118
ẽɪ̯̃	ɲ	0.118
l	ˈɛ	0.111
l	j_ˈʌ̃	0.111
#>	t_#>	0.107
ʃ	-	0.1
i	ˈi_ɡ	0.087
s	-	0.083
v	-	0.071
j	ˈɛ̃	0.067
æɛ̯	ˈeː	0.059
æɛ̯	ˈeə̯_d	0.059
æɛ̯	ɐ_d	0.059
æɛ̯	-	0.059
#>	l_#>	0.054
#>	d_#>	0.054
