Jin	Jin	probability
⁵⁴	⁵	1.0
⁴⁵	⁵³	1.0
ʦʰ	ʦʰ	1.0
ʐ	ɲ	1.0
ɥ	j	1.0
ə_ʔ	k̚	1.0
ə_w	u	1.0
ɒ̃	ɔ_ŋ	1.0
¹¹_#>	#>	1.0
³¹	³¹	1.0
y	i	1.0
x	h	1.0
w_ə	j_ʊ	1.0
w_æ̃	ɔ_n	1.0
w_a	ɔ	1.0
w	w	1.0
ũ	ʊ	1.0
u	u	1.0
tʰ͡x	tʰ	1.0
s	s	1.0
pʰ͡x	pʰ	1.0
p	p	1.0
o	o	1.0
n_y	n̩	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j_ə	i	1.0
j_¹¹	j_⁴⁴	1.0
ĩ	i	1.0
i	i	1.0
h	h	1.0
e_j	i	1.0
<#_ɣ	<#	1.0
<#_ə_ɻ	<#_i	1.0
²	¹	0.833
⁵³	³¹	0.815
a	a	0.808
j	j	0.8
f	f	0.75
ɤ	o	0.714
ɕ	ɕ	0.714
v	ʋ	0.667
e	a_n	0.667
ʦ	ʦ	0.6
z̩	z̩	0.6
x_w	f	0.6
t	tʰ	0.6
kʰ͡x	kʰ	0.6
ʨ	c	0.571
ʔ	t̚	0.565
¹¹	¹¹	0.531
ŋ	n	0.5
n	ɲ	0.5
n	n_a	0.5
¹¹	⁴⁴	0.469
ə̃	u	0.444
ʨʰ	cʰ	0.429
ŋ	ŋ	0.423
z̩	i	0.4
x_w	ʋ	0.4
t	t	0.4
kʰ͡x	h	0.4
ʔ	k̚	0.391
æ̃	a_n	0.364
ə̃	-	0.333
v	-	0.333
e	ɛ_n	0.333
ə	ɛ	0.312
ʨʰ	ʨʰ	0.286
ʨʰ	ç	0.286
ʨ	k	0.286
ɤ	a	0.286
ɕ	-	0.286
æ̃	ɔ_n	0.273
f	p	0.25
ə̃	ɛ	0.222
ʦ	t	0.2
ʦ	-	0.2
j	-	0.2
a	o	0.192
ə	ʊ	0.188
ə	u	0.188
ə	e	0.188
⁵³	⁴⁴	0.185
æ̃	m	0.182
æ̃	a_m	0.182
²	⁵	0.167
ʨ	ʨ	0.143
ə	i	0.125
ŋ	m	0.077
