Asturian	Western Lombard	probability
f	f	1.0
k	k	1.0
o	u	1.0
p	p	1.0
r	r	1.0
ɣ	ɡ	1.0
ʃ	ʤ	1.0
ʝ	ʤ	1.0
a	-	0.091
a	a	0.881
b	ʋ	0.741
e	i	0.11
t	t	0.81
ˈa	ˈa	0.691
ˈe	ˈãː	0.051
ˈe	ˈe	0.211
θ	s	0.341
e	e	0.442
i	ĩ	0.82
j	j	0.472
t	t_e	0.132
u	u	0.412
w	-	0.492
ɾ	r	0.732
ʧ	t	0.672
ˈe	ˈe_j	0.102
ˈu	ˈyː	0.052
θ	ʃ	0.092
d	t	0.113
ð	d	0.693
ɲ	n	0.373
ʎ	ʧ	0.063
ˈe	ˈøː	0.083
e	-	0.124
m	-	0.104
ˈa	ˈãː	0.054
ˈe	ˈeː	0.144
ˈo	ˈy	0.054
ˈo	ˈu	0.454
ˈu	ˈy	0.754
β	b	0.054
θ	ʧ	0.294
e	a	0.325
n	-	0.375
ɡ	ɡ	0.535
ˈo	ˈyː	0.155
ˈo	ˈɔ	0.235
m	m	0.896
ˈe	ˈɛ	0.106
ˈi	ˈĩː	0.076
d	d	0.887
l	-	0.07
n	ɲ	0.077
s	s	0.977
ð	t	0.307
ɡ	-	0.297
ɲ	ɲ	0.627
ɾ	-	0.247
ʎ	l	0.937
ˈa	ˈaː	0.237
ˈe	ˈɛ̃ː	0.057
ˈe	ˈa	0.107
θ	z	0.057
i	-	0.18
j	-	0.528
n	n	0.548
t	ʦ	0.058
u	-	0.588
w	w	0.508
ʧ	ʧ	0.328
ˈi	ˈi	0.818
β	ʋ	0.728
b	b	0.259
l	l	0.919
ɡ	k	0.169
ˈi	ˈa	0.059
ˈo	ˈũː	0.069
ˈu	ˈũː	0.169
β	-	0.219
θ	-	0.149
