Nynorsk Norwegian	German	probability
b	b	0.948
b	-	0.055
d	tʰ	0.505
d	t	0.378
d	ʦ	0.058
d	d	0.057
d_e	d	1.0
e	ə	0.498
e	-	0.399
e	ˈaʊ̯	0.07
e	ɪ	0.04
e_ɾ	ɐ	0.53
e_ɾ	ə	0.461
f	f	1.0
h	h	0.868
h	-	0.127
j	ɡ	0.367
j	-	0.273
j	ˈɛ	0.186
j	tʰ	0.092
k	ç	0.662
k	k	0.175
k	x	0.131
kʰ	kʰ	0.782
kʰ	-	0.106
kʰ	ʁ	0.075
kʰ_ʋ	v	1.0
l	l	1.0
lː	l	0.496
lː	l_t	0.457
lː	ɐ	0.043
m	m	0.898
m	n	0.056
m	f	0.05
m_j	m	1.0
mː	m	0.244
n	n	0.802
n	-	0.166
n	t	0.035
nː	n	0.455
nː	n_t	0.237
nː	n_d	0.125
nː	l	0.083
nː	-	0.068
p	f	0.806
p	p͡f	0.18
pʰ	p͡f	1.0
s	z	0.372
s	ʃ	0.338
s	s	0.27
s_k	ʃ	1.0
sː	s	1.0
t	s	0.547
t	t	0.311
t	ʦ	0.138
tʰ	d	0.517
tʰ	ʦ	0.312
tʰ	tʰ	0.084
tʰ	ʦ_v	0.072
v	v	0.244
ç	d	0.312
ç	t	0.206
ç	k	0.14
ç	ç	0.127
ç	kʰ	0.127
çː	ʦ	1.0
ŋ	ɪ	0.494
ŋː	ŋ	1.0
ɑ	ə	0.7
ɑ	n	0.183
ɑ	-	0.074
ɑ	ɪ	0.039
ə	ə	0.494
ɛ	-	0.185
ɛ	ɐ	0.185
ɡ	ɡ	0.585
ɡ	k	0.169
ɡ	ç	0.159
ɡ	-	0.048
ɡ	x	0.042
ɡː	k_ə	0.594
ɡː	-	0.194
ɡː	k	0.073
ɲ	ŋ	0.494
ɾ	ɐ	0.476
ɾ	ʁ	0.376
ɾ	ɐ_t	0.052
ɾ	t_ɐ	0.046
ɾ	-	0.045
ɾ_e	ɐ	1.0
ʃ	ʃ	0.654
ʃ	z	0.223
ʃ	m	0.086
ʉ	ˈɔ	0.326
ʉ	-	0.161
ʋ	v	0.481
ʋ	f	0.169
ʋ	-	0.159
ʋ	p	0.128
ʋ	kʰ	0.045
ʰkː	ŋ_k	0.723
ʰkː	k	0.205
ʰtː	x_t	0.627
ʰtː	ç_t	0.364
ˈeː	ˈɪ	0.272
ˈeː	ˈeː	0.219
ˈeː	ˈɛ	0.214
ˈeː	ˈiː	0.162
ˈeː	ˈaɪ̯	0.107
ˈiː	ˈaɪ̯	0.479
ˈiː	ˈɪ	0.154
ˈiː	ˈaɪ̯_t	0.15
ˈiː	ˈiː	0.123
ˈiː	ˈɔʏ̯	0.051
ˈoː	ˈaː	0.342
ˈoː	ˈoː	0.122
ˈoː	ˈyː	0.093
ˈoː	ˈa	0.085
ˈoː	ˈeː	0.085
ˈuː	ˈuː	0.458
ˈuː	ˈuː_t	0.2
ˈuː	-	0.115
ˈuː	ˈɔ	0.078
ˈuː	ˈʊ	0.077
ˈyː	ˈɔʏ̯	0.559
ˈyː	ˈiː	0.423
ˈæ	ˈɛ	0.494
ˈæɪ̯	ˈaɪ̯	0.883
ˈæɪ̯	ˈaː	0.105
ˈæʉ̯	ˈaʊ̯	0.625
ˈæʉ̯	ˈoː_t	0.188
ˈæʉ̯	ˈoː	0.081
ˈæːɪ̯	ˈaɪ̯	0.121
ˈøː	ˈeː	0.48
ˈøː	ˈyː	0.343
ˈøː	ˈøː	0.084
ˈøː	ˈɛ	0.042
ˈœ	ˈɪ	0.326
ˈœ	ˈɛː	0.326
ˈœʏ̯	ˈɔɪ̯	0.322
ˈœʏ̯	ˈøː	0.183
ˈœʏ̯	ˈoː	0.183
ˈœʏ̯	ˈaʊ̯	0.122
ˈɑ	ˈa	0.806
ˈɑ	ˈaː	0.136
ˈɑ	-	0.053
ˈɑː	ˈaː	0.631
ˈɑː	ˈa	0.367
ˈɔ	ˈʊ	0.289
ˈɔ	ˈɔ	0.226
ˈɔ	ˈa	0.172
ˈɔ	ˈoː	0.16
ˈɔ	ˈœ	0.069
ˈɛ	ˈɛ	0.551
ˈɛ	ˈaɪ̯	0.114
ˈɛ	ˈa	0.11
ˈɛ	ˈʏ	0.084
ˈɛ	ˈeː	0.068
ˈɛː	ˈɛ	0.608
ˈɛː	ˈeː	0.262
ˈɪ	ˈɪ	0.905
ˈɪ	-	0.088
ˈʉ	ˈɔ	0.253
ˈʉ	v_ˈɔ	0.135
ˈʉ	ˈaʊ̯	0.126
ˈʉ	ˈoː	0.126
ˈʉ	ˈœ	0.126
ˈʉː	ˈaʊ̯	0.52
ˈʉː	ˈiː	0.167
ˈʉː	ˈuː	0.118
ˈʉː	ˈɔ	0.088
ˈʉː	ˈɛ	0.068
ˈʊ	ˈɔ	0.307
ˈʊ	ˈʊ	0.267
ˈʊ	ˈa	0.12
ˈʊ	ˈɪ	0.092
ˈʊ	ˈɔʏ̯	0.088
ˈʏ	ˈʏ	0.356
ˈʏ	ˈɪ	0.27
ˈʏ	ˈʊ	0.121
ˈʏ	ˈɔ	0.089
ˈʏ	ˈɔʏ̯	0.073
