Nynorsk Norwegian	German	probability
b	b	0.973
d	tʰ	0.561
d	t	0.258
d	d	0.144
e	ə	0.67
e	-	0.258
f	f	1.0
h	h	0.924
j	-	0.362
j	ɡ	0.34
j	h	0.165
j	l	0.088
jː	ˈaʊ̯	0.669
jː	ɡ	0.331
k	ç	0.588
k	x	0.238
k	-	0.139
kʰ	kʰ	0.899
kʰ	-	0.058
l	l	1.0
lː	l	0.927
lː	-	0.073
m	m	0.93
m	f	0.07
mː	m	1.0
n	n	0.92
n	-	0.08
nː	n	0.921
nː	-	0.079
p	f	0.835
p	p͡f	0.165
pʰ	p͡f	1.0
s	ʃ	0.389
s	z	0.362
s	s	0.229
sː	s	1.0
t	s	0.705
t	t	0.229
t	ʦ	0.067
tʰ	d	0.547
tʰ	ʦ	0.35
tʰ	b	0.082
tː	ʦ	1.0
v	v	1.0
ŋ	ɪ	1.0
ŋː	ŋ	0.993
ɑ	ə	0.64
ɑ	n	0.294
ɑ	-	0.061
ɕ	kʰ	0.603
ɕ	d	0.121
ɕ	t	0.114
ɕ	x	0.071
ɕ	ç	0.055
ɕː	k	0.5
ɕː	ʦ	0.5
ə	-	0.702
ə	ə	0.298
ɛ	-	1.0
ɡ	ɡ	0.652
ɡ	ç	0.15
ɡ	k	0.141
ɡː	k	0.829
ɡː	-	0.171
ɲ	ŋ	1.0
ɾ	ɐ	0.524
ɾ	ʁ	0.361
ɾ	t_ɐ	0.063
ʃ	ʃ	0.602
ʃ	z	0.303
ʃ	-	0.095
ʉ	-	1.0
ʋ	v	0.583
ʋ	-	0.164
ʋ	f	0.15
ʋ	p	0.104
ʰkː	k	1.0
ʰpː	f	1.0
ʰtː	s	0.566
ʰtː	x	0.26
ʰtː	ç_t	0.111
ʰtː	t	0.063
ˈeː	ˈeː	0.243
ˈeː	ˈiː	0.193
ˈeː	ˈɛ	0.157
ˈeː	ˈɪ	0.148
ˈeː	ˈaʊ̯	0.115
ˈeː	ˈaɪ̯	0.067
ˈiː	ˈaɪ̯	0.602
ˈiː	ˈiː	0.199
ˈiː	ˈɪ	0.127
ˈoː	ˈaː	0.293
ˈoː	ˈeː	0.247
ˈoː	ˈoː	0.189
ˈoː	ˈɛː	0.087
ˈoː	ˈɔ	0.079
ˈoː	ˈa	0.065
ˈuː	ˈuː	0.52
ˈuː	ˈɔ	0.17
ˈuː	ˈɛ	0.137
ˈuː	ˈʊ	0.083
ˈyː	ˈiː	0.521
ˈyː	ˈɔʏ̯	0.479
ˈæ	ˈɛ	1.0
ˈæɪ̯	ˈaɪ̯	0.849
ˈæɪ̯	ˈaː	0.151
ˈæʉ̯	ˈoː	0.685
ˈæʉ̯	ˈaʊ̯	0.315
ˈæː	ˈɛ	0.669
ˈæː	ˈeː	0.331
ˈøː	ˈeː	0.436
ˈøː	ˈyː	0.276
ˈøː	ˈɛ	0.13
ˈøː	ˈuː	0.113
ˈœ	ˈʊ	0.529
ˈœ	ˈɛː	0.296
ˈœ	ˈɛ	0.092
ˈœ	ˈɪ	0.083
ˈœʏ̯	ˈoː	0.379
ˈœʏ̯	ˈɔʏ̯	0.275
ˈœʏ̯	ˈøː	0.263
ˈœʏ̯	ˈaʊ̯	0.082
ˈɑ	ˈa	0.792
ˈɑ	ˈaː	0.121
ˈɑ	ˈɛ	0.06
ˈɑː	ˈaː	0.72
ˈɑː	ˈa	0.28
ˈɔ	ˈʊ	0.305
ˈɔ	ˈoː	0.231
ˈɔ	ˈɔ	0.161
ˈɔ	ˈyː	0.127
ˈɔ	ˈa	0.064
ˈɔ	ˈaʊ̯	0.056
ˈɛ	ˈɛ	0.649
ˈɛ	ˈa	0.086
ˈɛ	ˈaɪ̯	0.074
ˈɛ	ˈɔʏ̯	0.056
ˈɪ	ˈɪ	0.879
ˈɪ	-	0.075
ˈʉ	ˈʊ	0.526
ˈʉ	ˈaʊ̯	0.116
ˈʉ	ˈʏ	0.1
ˈʉ	ˈœ	0.082
ˈʉ	v_ˈɔ	0.071
ˈʉː	ˈaʊ̯	0.438
ˈʉː	ˈiː	0.303
ˈʉː	ˈuː	0.104
ˈʉː	ˈyː	0.051
ˈʊ	ˈɔ	0.752
ˈʊ	ˈa	0.183
ˈʊ	ˈøː	0.064
ˈʏ	ˈɪ	0.38
ˈʏ	ˈʏ	0.369
ˈʏ	-	0.077
ˈʏ	ˈɔ	0.054
