Old Chinese	Old Chinese	probability
ʦʰ	ʨʰ	1.0
ʔ_s	ʦ	1.0
ʔ_#>	#>	1.0
ɢʷ	-	1.0
ɢ	h_u	1.0
ɡʷ	ŋ̍	1.0
ŋʷ	ɡ	1.0
z	-	1.0
tʰ	ʦʰ	1.0
sʰ	ʦʰ	1.0
s_#>	#>	1.0
s	-	1.0
r̥ʰ	tʰ_o	1.0
r_ɯ	i	1.0
r_aː	e	1.0
r_a	e	1.0
qʰʷ	-	1.0
qʰ	-	1.0
pʰ	pʰ	1.0
n_ʔ	ŋ_⁵²	1.0
n_i	ʣ	1.0
l̥ʰ	tʰ	1.0
l_ʔ	⁵²	1.0
kʷ	k	1.0
kʰʷ	kʰ	1.0
kʰ_l	ʦʰ	1.0
kʰ	kʰ	1.0
k	k	1.0
j	-	1.0
iː	-	1.0
i_ʔ	⁵²	1.0
i_u	i_w	1.0
hʷ	h	1.0
h_l	s	1.0
eː_ŋ	ẽ	1.0
aː_l	o	1.0
a_ŋ	a_ŋ	1.0
<#_ɡʷ	<#_w	1.0
<#_ɡ	<#	1.0
<#_s	<#_s	1.0
<#_r	<#_l	1.0
<#_q	<#	1.0
<#	<#_h	1.0
ŋ	ŋ	0.842
p	p	0.778
i	i	0.727
r	-	0.7
m	m	0.647
ɯ	u	0.636
uː	a	0.6
t	t	0.6
lʼ	t	0.6
<#_ŋ	<#	0.6
ʔ	-	0.583
n	ŋ	0.583
b	p	0.571
oː	a	0.556
n_s	ŋ_¹¹	0.5
n_s	ŋ_²¹³	0.5
l	-	0.5
d_s	j_²¹³	0.5
d_s	a_¹¹	0.5
d	ʔ	0.5
ɯː	-	0.444
ʔ	w_⁵²	0.417
u	a	0.417
#>	⁵⁵_#>	0.413
uː	o_⁵²	0.4
t	ʦ	0.4
lʼ	tʰ	0.4
<#_ŋ	<#_ɡ	0.4
#>	³³_#>	0.387
o	u	0.375
o	e	0.375
e	j	0.375
e	i	0.375
aː	a	0.368
ɯː	a	0.333
a	ɯ	0.333
r	e	0.3
d	t	0.3
b	pʰ	0.286
i	-	0.273
u	o	0.25
o	-	0.25
n	l	0.25
eː	o_j	0.25
eː	j	0.25
eː	ĩ	0.25
eː	-	0.25
e	-	0.25
m	b	0.235
ɡ	k	0.231
ɯː	u	0.222
p	h_w	0.222
oː	w	0.222
oː	a_w	0.222
a	h_u	0.222
a	a	0.222
a	-	0.222
d	k̚_²	0.2
ɡ	k̚_⁴	0.192
ɡ	k̚	0.192
ɯ	i	0.182
ɯ	-	0.182
u	u	0.167
u	e	0.167
n	ã	0.167
l	i	0.167
l	a_⁵⁵	0.167
l	a	0.167
ŋ	-	0.158
aː	w	0.158
aː	o	0.158
ɡ	ʔ_²	0.154
ɡ	-	0.154
b	p̚	0.143
m	-	0.118
aː	ɯ	0.105
aː	w_a	0.105
aː	ũ	0.105
#>	⁵²_#>	0.08
ɡ	ʔ	0.077
#>	⁴_#>	0.053
