Sicilian	Aromanian	probability
ˈu_j	ˈo_j	1.0
ˈo	ˈu	1.0
ʧː	ʦ	1.0
ʦː	-	1.0
ʦ	t_ˈi_k	1.0
ʤː	ʤ	1.0
ʤ	ʤ	1.0
ʐː	r	1.0
ʈː	t	1.0
ʈ_ɽ	t	1.0
ʈ	t	1.0
ʃː	ʃ_t	1.0
ʃ	s	1.0
ɽ	r	1.0
ɲː	-	1.0
ɟː	ʎ	1.0
ɖː	-	1.0
ɕ_ˈi	ʧ	1.0
ŋ	-	1.0
ç	f	1.0
v_ɪ	w_ə	1.0
u	u	1.0
sː_ʊ	s	1.0
sː	-	1.0
r	r	1.0
p_ˈɛ	k_e̯ˈa	1.0
o	r	1.0
n_ʊ	n_ə	1.0
n_t	m_t	1.0
mː	m	1.0
lː	ʎ	1.0
kː_a	k_ə	1.0
k_ɾ	k_r	1.0
k_a	k	1.0
k	k	1.0
cː	k_ʎ	1.0
c	p_l	1.0
b	b	1.0
n	n	0.919
t	t	0.876
ɕ	ʦ	0.875
m	m	0.855
ɾ	r	0.847
a	ə	0.833
tː	p_t	0.802
p	p	0.796
d	d	0.787
ɪ_ɾ	i_r	0.782
ɪ	i	0.78
ʊ	u	0.776
s	s	0.762
w	-	0.738
nː	n	0.694
ʐ	a	0.669
ɡ	ɡ	0.645
j	ʣ	0.624
ˈu	ˈu	0.615
l	l	0.603
ˈa	ˈa	0.557
i	i	0.539
f	f	0.51
f	ç	0.49
ˈi	ˈi	0.462
ˈi	e̯ˈa	0.416
l	r	0.397
ˈɔ	ˈo	0.376
j	ʤ	0.376
ɡ	m	0.355
ˈɔ	ˈu	0.345
ˈɛ	ˈe	0.34
ʐ	a_r	0.331
v	-	0.328
nː	-	0.306
ˈɛ	ˈa	0.305
ˈɛ	ˈi	0.279
ˈa	ˈɨ	0.262
w	v	0.262
v	j	0.255
s	ʃ	0.238
ˈu	o̯ˈa	0.237
i	ˈi	0.233
v	v	0.228
i	-	0.228
ɪ_ɾ	r	0.218
d	ʣ	0.213
ˈɔ	o̯ˈa	0.198
tː	t	0.198
ʊ	i	0.161
v	b	0.157
ɾ	d	0.153
m	ɲ	0.145
a	a	0.126
ɕ	-	0.125
t	ʦ	0.124
ˈi	ˈe	0.123
p	-	0.121
ɪ	ˈi	0.106
p	k	0.083
ˈɔ	-	0.082
ˈu	ˈo	0.081
n	ɲ	0.081
ˈɛ	-	0.077
ˈa	-	0.07
ˈu	ˈu_l	0.068
ʊ	ə	0.063
ɪ	ə	0.06
ˈa	e̯ˈa	0.058
ˈa	a	0.054
ɪ	e	0.054
