Bavarian	German	probability
ˈʏ	ˈʏ	1.0
ˈɛː	ˈeː	1.0
ˈɒː	ˈaː	1.0
ˈɒ	ˈa	1.0
ˈou̯	ˈoː	1.0
ˈiː	ˈiː	1.0
ˈeː	ˈeː	1.0
ˈeɐ̯	n	1.0
ˈau̯	ˈaʊ̯	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʋ	v	1.0
ə	ə	1.0
ç	ç	1.0
s_n	s_n	1.0
r_n	ɐ_n	1.0
p͡f	p͡f	1.0
p	p	1.0
n_ʃ	n_ʃ	1.0
n	n	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
i	ɪ	1.0
h	h	1.0
f_a	f_n	1.0
f	f	1.0
d̥_n	d_n	1.0
b̥_#>	b̥_#>	1.0
b̥	b	1.0
r	ʁ	0.931
ʃ	ʃ	0.917
m	m	0.897
j	l	0.895
ɐ	ɐ	0.889
t	t	0.88
ˈi	ˈɪ	0.857
ˈuɐ̯	ˈuː	0.833
ˈe	ˈɛ	0.818
ˈɛ	ˈɛ	0.778
ˈaː	ˈaʊ̯	0.778
ŋ	ŋ	0.778
x	x	0.769
ɡ̊	ɡ	0.741
a	ɐ	0.731
ˈu	ˈʊ	0.692
ˈai̯	ˈaɪ̯	0.682
ˈoː	ˈaː	0.667
ˈiɐ̯	ˈiː	0.571
s	s	0.545
ˈoɐ̯	ˈaɪ̯	0.529
#>	ç_#>	0.5
#>	n_#>	0.5
ˈo	ˈɔ	0.474
s	z	0.455
ˈiɐ̯	ˈyː	0.429
ˈo	ˈa	0.421
ˈɔ	ˈɔ	0.375
ˈɔ	ˈa	0.375
ˈoː	ˈoː	0.333
ˈai̯	ˈɔʏ̯	0.318
ˈu	ˈʏ	0.308
d̥	t	0.286
d̥	d	0.286
ˈɔ	ˈaː	0.25
d̥	d̥	0.25
x	ç	0.231
ˈɛ	ˈɛː	0.222
ˈaː	ˈaː	0.222
ŋ	ɡ_n	0.222
a	ə	0.192
ˈe	ˈøː	0.182
d̥	tʰ	0.179
ˈoɐ̯	ˈɔ_ɐ	0.176
ˈoɐ̯	ˈaɪ̯_n	0.176
ˈuɐ̯	ˈʊ	0.167
ɡ̊	ɡ̊	0.148
ˈi	ˈiː	0.143
t	tʰ	0.12
ˈoɐ̯	ɐ	0.118
ɡ̊	k_ə	0.111
ɐ	ʁ_ə	0.111
ˈo	ˈaː	0.105
j	j	0.105
m	b_n	0.103
ʃ	s	0.083
a	ə_n	0.077
r	ɐ	0.069
