Emilian	Friulian	probability
f	f	1.0
i	i	1.0
l	l	1.0
s	s	1.0
t	t	1.0
w	w	1.0
ɲ	ɲ	1.0
ˈɛː	ˈɛ	1.0
ˈʌ	ˈo	1.0
a	a	0.1
d	d	0.811
v	f	0.111
z	ʧ	0.091
ŋ	n	0.461
ˈa	ˈe	0.21
ˈɔː	w_ˈa	0.41
ɡ	k	0.202
ɡ	ɡ	0.552
ˈiː	ˈiː	0.262
ˈiː	ˈi	0.452
ˈo	ˈu	0.762
ˈɛ	ˈɛ	0.132
ˈɛ	j_ˈɛ	0.222
ˈʌu̯	ˈo	0.342
j	-	0.093
j	j	0.473
m	m	0.973
n	n	0.903
z	s	0.73
ŋ	ŋ	0.483
ˈaː	ˈa	0.933
ˈæ	ˈi	0.413
b	b	0.814
n	ɲ	0.064
u	o	0.534
ð	ʤ	0.904
ʧ	l	0.694
ˈuː	ˈu	0.124
ˈæ	ˈe	0.14
ˈɔ	ˈɔ	0.404
e	u	0.415
j	l	0.435
k	c	0.655
p	p_l	0.055
v	v	0.805
ˈe	ˈi	0.95
ˈiː	ˈe	0.285
ˈɔː	-	0.135
ˈɔː	ˈa_w	0.295
b	b_j	0.186
d	t	0.16
e	i	0.346
u	u	0.466
ð	-	0.06
ŋ	m	0.056
ɡ	-	0.246
ʧ	l_i	0.306
ˈo	ˈo	0.106
ˈuː	ˈuː	0.876
ˈɔ	ˈo	0.326
ˈɛ	ˈaː	0.26
a	e	0.787
k	k	0.287
p	p	0.887
ˈaː	ˈi	0.067
ˈɔ	w_ˈɛ	0.27
ˈɔː	ˈuː	0.147
ˈɛ	ˈa	0.327
e	a	0.238
p	p_j	0.058
r	r	0.98
ˈa	ˈa	0.768
ˈo	w	0.078
ˈæ	ˈɛ	0.448
ˈʌu̯	ˈoː	0.658
θ	ʧ	0.978
k	ɡ	0.059
z	z	0.179
