Brazilian Portuguese	Brazilian Portuguese	probability
ˈɛ_ʃ	ɛɪ̯	1.0
ˈɛ_l	oʊ̯	1.0
ˈɔ_j	u	1.0
ˈɔ_h	ɑɔ̯	1.0
ˈɐ̃_#>	æɛ̯_n_#>	1.0
ˈo_ɡ	øʏ̯	1.0
ˈo_ɐ	ɔ_n	1.0
ˈo_d	u	1.0
ˈi_ɡ	i	1.0
ˈẽ_ʧ	ã	1.0
ˈẽ_t	ã	1.0
ˈe_j	i	1.0
ˈe_h	ʁ	1.0
ˈa_w	oʊ̯	1.0
ˈa_h	e	1.0
ˈa_d	e	1.0
ʃ_ɐ	s	1.0
ʃ_#>	#>	1.0
ɾ_ˈe	ʁ_i	1.0
ɾ_i	ʁ	1.0
ɦ_v	ʁ_b	1.0
ɦ	ʁ	1.0
ɐ̃	ã	1.0
ɐ_#>	#>	1.0
w_ˈa	a	1.0
v_u	f	1.0
ũ	ɒ̃ʊ̯̃	1.0
u_#>	#>	1.0
t_ɐ_#>	t_#>	1.0
t_u	ẽɪ̯̃	1.0
s_ˈe	t	1.0
õ	-	1.0
k_ɾ	k_ʁ	1.0
k_u	k	1.0
k_a	ʃ_œ	1.0
j̃_u	ẽɪ̯̃	1.0
j_ʃ	ɛ	1.0
j_t	i	1.0
ĩ	-	1.0
i_#>	#>	1.0
i	-	1.0
f	f	1.0
ẽ	-	1.0
b_ɾ	v_ʁ	1.0
b_j	ʒ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#_ʁ	1.0
<#_e	<#_e	1.0
<#_d	<#_d	1.0
<#_a_ʒ	<#_æɛ̯	1.0
p	p	0.903
m	m	0.9
ɾ	ʁ	0.893
ʒ	ʒ	0.833
v	v	0.806
ˈõ	ɒ̃ʊ̯̃	0.8
s	s	0.8
l	l	0.769
h	ʁ	0.767
ʎ	j	0.75
d	-	0.75
b	b	0.737
ˈɐ̃_w̃	ẽɪ̯̃	0.7
t	t	0.667
j̃_ɐ	ɲ	0.667
j̃	-	0.667
ɡ	-	0.643
ʧ	-	0.625
a	a	0.625
ʤ	-	0.6
ɐ	-	0.6
j	-	0.6
#>	l_#>	0.6
z	z	0.571
n	-	0.556
u	-	0.545
ʃ	-	0.529
ˈɛ	æɛ̯	0.5
ˈɐ̃	ã	0.5
ˈũ	w	0.5
<#_ˈo	<#_œ	0.5
<#_ˈo	<#	0.5
<#	<#_e	0.5
<#	<#_a	0.5
w	l	0.467
k	ʃ	0.462
n	n	0.444
k	k	0.436
z	-	0.429
ˈi	ɪ	0.409
ˈu	y	0.4
ˈẽ	ã	0.4
ˈẽ	-	0.4
ˈa	æɛ̯	0.4
ʤ	ʣ	0.4
ɐ	n	0.4
#>	s_#>	0.4
ʧ	ʁ	0.375
e	œ	0.375
e	-	0.375
a	æɛ̯	0.375
ˈĩ	ɪ	0.364
ˈĩ	ẽɪ̯̃	0.364
ɡ	ɡ	0.357
o	u	0.357
ˈɔ	-	0.333
ˈũ	-	0.333
w	-	0.333
t	-	0.333
j̃_ɐ	n	0.333
j̃	n	0.333
ˈe	w	0.323
ˈɐ̃_w̃	ɒ̃ʊ̯̃	0.3
ˈa	a	0.28
ˈĩ	-	0.273
u	øʏ̯	0.273
ˈɔ	œ	0.267
ˈu	-	0.267
ˈɛ	ɛ	0.25
ˈɛ	j_ɛ	0.25
ʎ	-	0.25
e	æɛ̯	0.25
d	d	0.25
ʃ	p_l	0.235
l	-	0.231
ˈi	w_ɛ	0.227
ˈi	i	0.227
ˈɐ̃	æɛ̯	0.214
o	ɔ	0.214
o	ɑɔ̯	0.214
o	-	0.214
ˈo	u	0.207
ˈu	ɥ	0.2
ˈõ	-	0.2
ˈẽ	j	0.2
w	oʊ̯	0.2
s	-	0.2
j	ɛ	0.2
j	i	0.2
v	-	0.194
u	i	0.182
ˈo	ɥ	0.172
ˈo	ɑɔ̯	0.172
ˈũ	œ̃ʏ̯̃	0.167
ʒ	-	0.167
h	ɛ_ʁ	0.167
ˈe	w_ɛ	0.161
ˈe	i	0.161
b	-	0.158
ˈɐ̃	a	0.143
ˈɐ̃	-	0.143
ˈi	-	0.136
ˈɔ	w	0.133
ˈɔ	u	0.133
ˈɔ	aœ̯	0.133
ˈu	ʏ	0.133
ˈe	æɛ̯	0.129
ˈe	-	0.129
ˈa	ɛ	0.12
ˈa	ɑ	0.12
ʃ	k_l	0.118
ʃ	f_l	0.118
ɾ	-	0.107
b	v	0.105
ˈo	ʊ	0.103
ˈo	œ	0.103
ˈo	-	0.103
k	-	0.103
m	-	0.1
ˈe	ɛ	0.097
p	-	0.097
ˈa	e	0.08
ˈo	ɔ	0.069
ˈo	aœ̯	0.069
h	d_ʁ	0.067
