Proto-Germanic	Swedish	probability
b	b	1.0
iː	ɪ	1.0
j	-	1.0
kʷ	k	1.0
kː	kː	1.0
nː	nː	1.0
wː	-	1.0
ɑ̃	-	1.0
ɔː	a	1.0
ɔ̃ː	a	1.0
ɛː	ɛ	1.0
ˈiː	ˈiː	1.0
ˈɑː	ˈoː	1.0
ˈɛː	ˈoː	1.0
m	m	0.671
s	ɧ	0.111
u	ʊ	0.1
ɑ	a	0.081
ɔːː	ɛ	0.201
ˈeu̯	ˈʉː	0.681
ˈi	ˈɛ	0.181
ˈu	ˈœ	0.091
ˈu	ˈɔ	0.21
ˈɑu̯	ˈœ	0.11
θ	tʰ	0.421
k	ɕ	0.082
k	ɡ	0.112
k	kː	0.242
l	l	0.892
n	-	0.332
x	n_#>	0.062
xʷ	v	0.112
ɣ	ɡ	0.712
ɸ	f	0.982
ˈe	ˈɔ	0.062
ˈe	ˈæː	0.072
ˈi	ˈɪ	0.702
ˈu	ˈuː	0.062
ˈɑ	ˈa	0.52
θ	-	0.362
d	d	0.903
p	pʰ	0.053
u	ɛ	0.23
z	-	0.103
ˈeu̯	ˈyː	0.103
ˈiu̯	ˈyː	0.673
ˈɑi̯	ˈɛ	0.233
β	v	0.83
n	n	0.64
t	tʰ	0.174
w	-	0.204
x	k	0.104
ɣ	ɡ_ɛ	0.054
ˈe	ˈɛ	0.264
ˈi	ˈiː	0.074
ˈuː	ˈɵ	0.064
ˈɑ	ˈɛ	0.154
ˈɑu̯	ˈøː	0.844
ˈɔː	ˈøː	0.344
e	-	0.455
e	ɛ	0.545
t	t	0.425
ð	d	0.165
ð	-	0.835
ˈe	ˈœ	0.065
ˈe	ˈɛː	0.115
ˈu	ˈʊ	0.15
ˈɑ	ˈoː	0.085
ˈɑi̯	ˈeː	0.545
i	-	0.956
k	kʰ	0.346
s	sː	0.056
w	v	0.796
x	h	0.636
ˈe	-	0.086
ˈe	j	0.216
ˈeu̯	j_ˈʉː	0.216
ˈuː	ˈʉː	0.936
ˈɔː	ˈuː	0.656
d	-	0.097
p	p	0.947
r	-	0.147
u	-	0.67
z	r	0.897
ɣ	j	0.157
ˈiu̯	ˈʏ	0.327
ˈɑ	ˈɑː	0.197
ˈɑi̯	-	0.057
β	-	0.17
k	k	0.218
r	r	0.818
s	s	0.818
x	-	0.198
xʷ	-	0.888
ˈu	ˈoː	0.078
ˈɑi̯	ˈoː	0.078
ˈɑi̯	ˈɛː	0.088
θ	ɕ	0.078
l	j	0.089
m	mː	0.329
t	tː	0.309
ɑ	-	0.899
ɔːː	a	0.799
ˈu	ˈɵ	0.309
θ	d	0.139
