Proto-Germanic	Swedish	probability
a	-	0.224
b	b	0.941
b	-	0.058
d	d	0.683
d	tʰ	0.132
d	-	0.115
d	lː	0.066
d_ɑ	d	1.0
e	ɛ	0.66
e	a	0.148
i	-	0.889
i	ɛ	0.067
i	ɪ	0.041
i_ɸ	v	1.0
iː	-	0.66
iː	ɪ	0.148
j	-	0.699
j	a	0.242
j	jː	0.052
jː	ɡː	0.224
k	kʰ	0.467
k	k	0.289
k	ɕ	0.083
k	rː	0.081
k	f	0.063
k_i	k	1.0
k_s	k	1.0
k_ɑ	k	1.0
kʷ	k	0.106
kː	kː	0.224
l	l	0.89
l	-	0.068
l	j	0.041
l_ɑ	l	1.0
l_ɔː	l	1.0
lː	lː	1.0
m	m	0.737
m	mː	0.19
m	n	0.069
m_ɑ	m	1.0
mː	mː	1.0
n	n	0.619
n	-	0.355
n	nː	0.025
n_x	ŋː	1.0
n_ɑ̃	ɳ	1.0
n_θ	nː	1.0
nː	nː	0.833
nː	n	0.132
p	p	0.59
p	r	0.107
p	pː	0.107
p	v	0.107
p_ɑ	p	1.0
r	r	0.809
r	-	0.119
r	rː	0.033
r	n	0.026
r_n	ɳ	0.224
r_u	ɛ	1.0
s	s	0.797
s	-	0.115
s	ɧ	0.059
s	sː	0.024
s_k	ɧ	1.0
s_ɑ̃	s	1.0
sː	sː	0.106
t	t	0.516
t	tʰ	0.244
t	tː	0.102
t	-	0.053
t	ʈː	0.041
t_s	t	1.0
t_ɑ	tː	1.0
t_ɑ̃	t	1.0
u	-	0.784
u	ɛ	0.153
u	ɵ	0.054
u_n	ʊ	0.473
w	-	0.437
w	v	0.416
w	ˈoː	0.068
w	ʊ	0.066
w_ˈu	ˈɵ	1.0
wː	ɡ	0.473
x	h	0.656
x	-	0.26
x	k	0.036
x	ŋ	0.032
x	ɡ	0.029
x_t	tː	1.0
xʷ	-	0.372
xʷ	j	0.372
xʷ	v	0.245
z	-	0.928
z	r	0.064
ð	-	0.5
ð	d	0.223
ð	ɖ	0.147
ð	r	0.112
ð_i	d	1.0
ð_ɑ	d	1.0
ð_ɑ̃	d	1.0
ŋ	-	1.0
ŋ_k	kː	1.0
ŋ_ɡ	ŋː	1.0
ɑ	-	0.843
ɑ	a	0.035
ɑ	ɛ	0.035
ɑ	ɵ	0.035
ɑ	ˈøː	0.025
ɑ_l	l	1.0
ɑ_n	a	1.0
ɑ_z	ŋ	0.473
ɑi̯	ˈʉː	0.224
ɑː	a	0.473
ɑ̃	-	0.972
ɑ̃	ŋ	0.031
ɔː	-	0.539
ɔː	a	0.425
ɔː	ɛ	0.032
ɔːu̯	a	1.0
ɔːː	a	0.506
ɔːː	ɛ	0.326
ɔːː	n	0.114
ɔ̃ː	a	0.866
ɔ̃ː	-	0.133
ɛː	-	0.605
ɛː	ɛ	0.381
ɡ	-	1.0
ɡʷ	ŋː	0.473
ɣ	ɡ	0.458
ɣ	j	0.184
ɣ	-	0.174
ɣ	ɡ_ɛ	0.112
ɣ	ŋ	0.044
ɣ_j	ɡː	1.0
ɣ_ɑ	ɡ	0.665
ɣ_ɑ	j	0.317
ɸ	f	0.834
ɸ	v	0.085
ɸ	ŋ	0.049
ɸ	-	0.036
ˈe	ˈɛ	0.174
ˈe	ˈʉː	0.129
ˈe	ˈiː	0.104
ˈe	ˈɛː	0.098
ˈe	j	0.068
ˈe_r	ˈæː	0.473
ˈe_w	ˈɛː	0.106
ˈeu̯	ˈʉː	0.348
ˈeu̯	j_ˈʉː	0.258
ˈeu̯	ˈyː	0.224
ˈeu̯	ˈœ	0.106
ˈeu̯_x	ˈʉː	0.473
ˈeː	ˈæː	0.473
ˈi	ˈɪ	0.532
ˈi	ˈɛ	0.169
ˈi	ˈeː	0.105
ˈi	ˈiː	0.095
ˈi	ˈɵ	0.046
ˈi_n	ˈiː	1.0
ˈiu̯	ˈyː	0.629
ˈiu̯	ˈʏ	0.361
ˈiː	ˈiː	0.909
ˈiː	ˈeː	0.082
ˈĩː	ˈɛ	1.0
ˈu	ˈɵ	0.337
ˈu	ˈɔ	0.183
ˈu	ˈʊ	0.135
ˈu	ˈœ	0.083
ˈu	ˈʏ	0.077
ˈu_r	ˈuː	1.0
ˈuː	ˈʉː	0.886
ˈuː	ˈœ	0.098
ˈuː_z	ˈuː	1.0
ˈɑ	ˈa	0.447
ˈɑ	ˈɑː	0.219
ˈɑ	ˈɛ	0.153
ˈɑ	ˈɔ	0.044
ˈɑ	ˈɛː	0.044
ˈɑ_x	ˈoː	1.0
ˈɑi̯	ˈeː	0.408
ˈɑi̯	ˈɛ	0.258
ˈɑi̯	ˈoː	0.096
ˈɑi̯	ˈøː	0.079
ˈɑi̯	-	0.058
ˈɑu̯	ˈøː	0.68
ˈɑu̯	ˈœ	0.102
ˈɑu̯	rː	0.09
ˈɑu̯	ˈœː	0.052
ˈɑu̯	ˈʉː	0.052
ˈɔː	ˈuː	0.683
ˈɔː	ˈøː	0.12
ˈɔː	ˈyː	0.084
ˈɔː	ˈʊ	0.084
ˈɔː	ˈœ	0.03
ˈɛː	ˈoː	0.886
ˈɛː	ˈɑː	0.098
β	v	0.74
β	-	0.187
θ	tʰ	0.479
θ	d	0.192
θ	-	0.171
θ	ɕ	0.08
θ	t	0.054
θ_ɑ̃	d	1.0
