Occitan	Spanish	probability
b	b	1.0
f	f	1.0
u	o	1.0
ð	ð	1.0
ŋ	ŋ	1.0
ɔ	a	1.0
ɣ	ɣ	1.0
ʎ	x	1.0
ʦ	θ	1.0
ˈe	ˈe	1.0
β	β	1.0
d	d	0.841
j	j	0.711
k	k_o	0.091
r	ɾ	0.481
t	t	0.621
ɾ	-	0.051
ʧ	ʧ	0.291
ˈi	ˈi_ɾ	0.081
ˈi	ˈi_n	0.081
ˈɔ	ˈe	0.181
i	i	0.662
j	-	0.192
n	n	0.702
p	p	0.962
r	ɾ_o	0.062
r	r	0.322
s	-	0.072
s	θ	0.212
t	t_e	0.072
ɥ	w	0.482
ˈa	ˈa_ɾ	0.142
ˈi	j	0.062
l	l	0.523
z	θ	0.863
ɥ	ˈo_x	0.333
ɲ	ɲ	0.853
ˈɛ	j	0.063
l	ʝ_o	0.084
m	m_b	0.064
ɡ	-	0.074
ˈi	ˈi	0.674
ˈy	ˈu_ɾ	0.074
ˈɛ	j_ˈe	0.644
a	a	0.955
e	ˈe	0.075
k	k	0.75
l	l_o	0.055
l	-	0.165
r	ɾ_n	0.105
v	b	0.975
w	β	0.305
ɥ	-	0.185
ʧ	ʧ_e	0.465
ˈa	ˈa_n	0.085
ˈa	ˈa	0.655
ˈi	θ_ˈi	0.055
l	ʝ	0.086
m	m	0.916
t	ð	0.16
ɡ	ɡ	0.926
ɾ	ɾ	0.936
e	e	0.597
j	ð	0.097
l	ɟ͡ʝ	0.087
n	n_t	0.197
s	s	0.7
z	s	0.137
ɲ	ɲ_o	0.147
ʒ	ʝ	0.297
ʧ	-	0.077
ʧ	ʧ_o	0.167
ˈy	ˈu	0.827
ˈɛ	-	0.087
i	o	0.338
k	ɣ	0.068
t	ð_o	0.078
ˈu	ˈo_n	0.078
ˈu	ˈu	0.168
ˈu	ˈo	0.718
ˈy	ˈe	0.098
ˈɔ	ˈo	0.08
d	-	0.159
e	i	0.069
e	o	0.259
k	ɣ_o	0.069
w	o	0.59
ʒ	x	0.679
ˈɔ	w_ˈe	0.739
ˈɛ	ˈe	0.159
