Icelandic	Swiss German	probability
a	ə	0.764
a	-	0.235
b̥	b̥	1.0
c	χ	0.372
c	k	0.182
cʰ	χ	1.0
d̥	t	0.605
d̥	-	0.145
d̥	d̥	0.11
d̥	ɡ̊	0.062
d̥	ʦ	0.062
f	f	0.95
f	b̥	0.053
h	h	0.936
h	χ	0.064
i	-	0.241
j	-	0.459
j	ˈæ	0.244
j	ˈyː	0.103
j	ˈi	0.093
j	m	0.046
j_ˈoːu̯	ˈiə̯	0.641
j_ˈoːu̯	ˈeː	0.246
j_ˈɛ	ˈæ	1.0
k	χ	0.737
k	ʃː	0.114
k	k	0.114
kʰ	χ	0.653
kʰ	ʋ	0.326
l	l	0.967
l	-	0.042
l̥	l	0.879
l̥	w	0.107
l̥_ʏ	l	1.0
m	m	1.0
m_ʏ	m	1.0
n	n	0.689
n	-	0.152
n	ŋ	0.122
n	t	0.04
nː	n	0.457
nː	n_d̥	0.359
nː	ŋ	0.179
n̥	ə	0.509
n̥	-	0.481
p	f	0.514
p	fː	0.186
p	p͡f	0.186
p	m	0.085
r	r	0.932
r	-	0.065
r_ɪ	r	1.0
rː̥	χ	0.491
r̥	-	0.726
r̥	r	0.239
r̥	r_ə	0.029
s	s	0.584
s	ʃ	0.344
s	-	0.04
s	χ	0.032
s_c	ʃ	1.0
s_k	ʃ	1.0
sː	s	0.324
sː	sː	0.159
t	t	0.281
t	-	0.219
t	sː	0.18
t	s	0.153
t	ʦ	0.15
t_l̥	l	1.0
t_n̥	n	1.0
t_ʏ	sː	1.0
tʰ	ʦ	1.0
u	i	0.282
u	ˈe	0.282
v	ʋ	0.477
v	-	0.256
v	b̥	0.128
v	f	0.054
v	p͡f	0.047
v_ʏ	f	0.608
v_ʏ	b̥	0.26
x	-	0.5
x	ɡ̊	0.5
ç	h	1.0
ð	t	0.487
ð	d̥	0.246
ð	-	0.119
ð	tː	0.102
ð	s	0.04
ŋ	ŋ	0.675
ŋ	-	0.217
ŋ	i	0.077
ɑu̯	i	1.0
ɛ	-	1.0
ɛː	i	0.491
ɟ̊	ɡ̊	0.828
ɟ̊	-	0.132
ɡ̊	ɡ̊	0.676
ɡ̊	-	0.322
ɣ	ɡ̊	0.517
ɣ	ʦ	0.182
ɣ	χ	0.182
ɣ_ʏ	ɡ̊	1.0
ɪ	-	0.468
ɪ	ə	0.458
ɪ	r	0.056
ɲ	ŋ	0.491
ʏ	-	0.789
ʏ	ə	0.133
ʏ	i	0.073
ʰk	ŋ_k	0.488
ʰk	k	0.322
ʰk	χ	0.111
ʰp	fː	0.5
ʰp	p͡f	0.5
ʰt	χ_t	0.631
ʰt	-	0.174
ʰt	sː	0.1
