Icelandic	Swiss German	probability
aːu̯	æ	1.0
b̥	b̥	1.0
i	-	1.0
kʰ	χ	1.0
pʰ	p͡f	1.0
rː̥	χ	1.0
x	ɡ̊	1.0
ç	h	1.0
ɑu̯	i	1.0
ɛ	-	1.0
ɛː	i	1.0
ɟ̊ː	ɡ̊ː	1.0
ɲ	ŋ	1.0
ʰc	kː	1.0
ˈɛi̯	ˈæi̯	1.0
a	ɡ̊_ə	0.1
j	m	0.101
r̥	r	0.31
sː	sː	0.671
v	f	0.071
ð	-	0.101
ɡ̊	ɡ̊	0.711
ɣ	χ	0.151
ʏ	ə	0.171
ˈaːi̯	ˈæ	0.301
ˈaːi̯	ˈɒ	0.331
ˈiː	-	0.061
ˈou̯	ˈøː	0.731
ˈɑu̯	ˈɒ	0.541
ˈɔ	ˈu	0.441
ˈɛː	ˈæ	0.1
ˈɪː	ˈæ	0.091
cʰ	k	0.212
h	-	0.062
k	ʃː	0.062
k	-	0.242
nː	nː	0.302
n̥	ə	0.882
r	-	0.052
s	s	0.532
ŋ	ŋ	0.552
ɡ̊ː	-	0.552
ʏ	-	0.822
ʰk	k	0.912
ʰp	f	0.402
ˈai̯	ˈæ	0.252
ˈau̯	ˈæ	0.532
ˈou̯	ˈo	0.172
ˈoːu̯	ˈuə̯	0.282
ˈuː	ˈy	0.052
ˈœ	-	0.302
ˈœ	rː	0.302
ˈɔː	ˈu	0.092
ˈɔː	ˈoː	0.822
ˈɪ	ˈyː	0.092
ˈɪː	ˈæi̯	0.2
ˈʏ	ˈo	0.222
a	ə	0.873
f	f	0.963
j	ˈi	0.053
l̥	l	0.943
t	sː	0.493
tʰ	ʦ	0.943
ˈau̯	ˈɒ	0.083
ˈaː	ˈɒ	0.463
ˈaːu̯	ˈɒː	0.333
ˈaːu̯	ˈeː	0.333
ˈiː	ˈyː	0.223
ˈɑːu̯	ˈoː	0.343
ˈɛ	ˈæi̯	0.083
ˈɛːi̯	ˈæ	0.223
ˈɪ	ˈu	0.053
θ	-	0.073
θ	t	0.13
c	-	0.444
j	-	0.4
m	mː	0.094
n	n	0.664
nː	-	0.144
v	b̥	0.184
ɪ	r	0.174
ʰp	p͡f	0.4
ˈa	ˈɒ	0.584
ˈiː	ˈuː	0.054
ˈoːu̯	-	0.54
ˈœː	ə	0.424
ˈɑːu̯	j	0.114
ˈɔ	ˈo	0.404
ˈɔu̯	ˈo	0.144
ˈɪː	ˈi	0.304
ˈʏ	ˈø	0.094
ˈʏ	ˈy	0.094
j	ˈyː	0.125
j	ˈæ	0.185
k	χ	0.65
l	l	0.965
nː	n	0.515
s	ʃ	0.435
t	t	0.15
t	-	0.245
u	i	0.5
u	ˈe	0.5
v	ʋ	0.525
ɟ̊	-	0.195
ɟ̊	ɡ̊	0.805
ʰt	sː	0.115
ˈau̯	ˈɒː	0.385
ˈaːu̯	ˈoː	0.335
ˈeːi̯	ˈæi̯	0.45
ˈeːi̯	ˈøi̯	0.55
ˈi	ˈyː	0.205
ˈi	ˈi	0.795
ˈiː	ˈuə̯	0.105
ˈiː	ˈiə̯	0.105
ˈoːu̯	ˈu	0.075
ˈu	j	0.175
ˈœ	ˈɒ	0.395
ˈɔ	ˈoː	0.105
ˈɔu̯	ˈi	0.235
ˈɔː	ˈɒː	0.085
ˈɛ	-	0.125
ˈɛ	ˈæ	0.445
ˈɛː	ˈi	0.45
ˈɛːi̯	ˈau̯	0.125
ˈɪ	ˈo	0.155
ˈʏ	ˈu	0.255
n	-	0.336
p	fː	0.276
r	r	0.926
ˈa	ˈæː	0.116
ˈa	ˈæ	0.246
ˈaː	ˈeː	0.076
ˈaː	ˈɒː	0.46
ˈiː	ˈiː	0.286
ˈœːy̯	ˈøː	0.096
ˈœːy̯	ˈoː	0.356
ˈɑːu̯	ˈeː	0.186
ˈɔu̯	ˈuə̯	0.236
ˈɔu̯	ˈɒ	0.386
ˈɛ	ˈe	0.156
ˈɛː	ˈeː	0.126
ˈɛːi̯	ˈoː	0.186
ˈɪː	ˈu	0.136
ˈʏ	ˈuː	0.156
ˈʏː	ˈu	0.286
d̥	t	0.617
l̥	w	0.057
p	f	0.457
t	ʦ	0.077
tʰ	b̥	0.057
v	-	0.167
ɣ	ɡ̊	0.827
ɪ	ə	0.467
ʰp	fː	0.197
ʰt	ʦ	0.387
ˈou̯	ˈø	0.097
ˈuː	-	0.227
ˈœː	ˈau̯	0.07
ˈœːy̯	ˈau̯	0.547
ˈɛ	ˈø	0.057
ˈɛː	-	0.127
ˈɛːi̯	ˈøː	0.07
ˈɛːi̯	ˈæi̯	0.397
ˈɪ	ˈy	0.07
ˈʏː	ˈæ	0.067
θ	d̥	0.797
c	χ	0.258
cʰ	χ	0.788
d̥	ŋ	0.118
h	h	0.938
m	m	0.818
ɡ̊ː	ɡ̊ː	0.448
ʰk	χ	0.088
ʰt	χ	0.488
ˈaːi̯	ˈyə̯	0.298
ˈu	ʋ	0.138
ˈu	ˈu	0.618
ˈœː	ˈo	0.108
ˈœː	-	0.218
ˈɑːu̯	ˈo	0.068
ˈɪ	ˈi	0.588
ˈʏː	ˈo	0.258
c	k	0.299
d̥	d̥	0.239
j	ˈiə̯	0.109
m	-	0.089
n̥	χ_n	0.099
p	p͡f	0.119
p	m	0.149
r̥	-	0.69
sː	s	0.329
ð	tː	0.199
ð	d̥	0.199
ð	t	0.469
ŋ	i	0.069
ŋ	-	0.379
ɡ̊	-	0.289
ɪ	-	0.359
ˈai̯	ˈyə̯	0.149
ˈai̯	ˈy	0.599
ˈaːi̯	ˈuə̯	0.069
ˈiː	ˈæː	0.099
ˈu	ˈyː	0.069
ˈuː	ˈuː	0.649
ˈœː	ˈøi̯	0.179
ˈɑu̯	ˈæ	0.459
ˈɑːu̯	ˈɒː	0.29
ˈɛː	ˈɒː	0.059
ˈɪː	ˈy	0.269
ˈʏ	ʋ_ˈu	0.179
ˈʏː	ˈyː	0.39
