Lower Sorbian	Lower Sorbian	probability
ʨ	t	1.0
ʒ	ʒ	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ɨ_m	m̩	1.0
ɡ̊_#>	x_#>	1.0
ɡʲ	-	1.0
ɡ	ɦ	1.0
ɔ_v	a_v	1.0
ɔ_r	ɛ_r	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
v_ɛ	o	1.0
v	v	1.0
t͡ʂ	-	1.0
t_ɔ	t_o	1.0
t	t	1.0
r_ɔ	r_aː	1.0
pʲ	p	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
f	f	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
a_ɕ	a_t	1.0
a_s	ɛ_s	1.0
s	s	0.941
w	l	0.87
k	k	0.852
e	ɛ	0.818
l	l	0.8
rʲ	r̝	0.778
ɨ	iː	0.774
vʲ	v	0.769
j	j	0.727
r	r	0.722
ɲ	n	0.714
ʑ	d	0.667
a	a	0.647
ʦ	ʦ	0.636
ɔ	o	0.634
i	ɪ	0.583
ɕ	t	0.571
ʂ	r	0.5
ʂ	-	0.5
ɛ	ɛ	0.469
u	u	0.45
i	iː	0.417
ʦ	ʧ	0.364
ɛ	o	0.344
ʑ	ɟ	0.333
u	ou̯	0.3
ɲ	ɲ	0.286
ɪ	iː	0.278
r	r̩	0.278
j	-	0.273
ɕ	c	0.238
vʲ	v_j	0.231
ɨ	ɪ	0.226
ɪ	ɛ	0.222
rʲ	-	0.222
ɔ	ɛ	0.195
e	-	0.182
ɪ	ɛː	0.167
ɪ	j_ɛ	0.167
ɪ	a	0.167
a	ɛ	0.157
u	-	0.15
w	l̩	0.13
ɔ	uː	0.122
a	aː	0.118
u	ɪ	0.1
l	l̩	0.1
l	l_ɛː	0.1
ɕ	ɛ_t	0.095
ɕ	r̝̊	0.095
a	-	0.078
k	x	0.074
k	-	0.074
ɛ	ɛː	0.062
ɛ	uː	0.062
ɛ	iː	0.062
s	-	0.059
