Eastphalian	Westphalian	probability
b	b	0.983
d	d	0.888
d	t	0.09
f	f	0.817
f	v	0.183
h	h	1.0
j	x	0.641
j	ɡ	0.21
j	j	0.149
k	k	1.0
l	l	0.996
m	m	0.951
n	n	0.961
p	p	1.0
r	r	0.958
s	ʃ	0.519
s	s	0.481
t	t	0.868
t	d	0.113
v	w	0.659
v	v	0.341
w	w	0.794
w	ˈʏ	0.206
x	x	1.0
z	s	0.85
z	z	0.15
ç	ç	1.0
ŋ	ŋ	1.0
ɐ	ɐ	0.818
ɐ	-	0.182
ɒː	aɪ̯	1.0
ə	ə	0.921
ɡ	ɡ	1.0
ɣ	x	0.632
ɣ	ɣ	0.229
ɣ	ç	0.131
ɪ	ɪ	1.0
ʃ	ʃ	0.622
ʃ	ʃ_k	0.348
ˈa	ˈa	0.911
ˈa	ˈɪɛ̯	0.066
ˈaʊ̯	ˈoː	0.835
ˈaʊ̯	ˈaʊ̯	0.165
ˈaː	ˈaː	0.555
ˈaː	ˈɛː	0.445
ˈeo̯	ˈaʊ̯	0.866
ˈeo̯	ˈoː	0.092
ˈeː	ˈɪə̯	0.486
ˈeː	ˈɪɛ̯	0.251
ˈeː	ˈɛː	0.158
ˈeː	ˈiɛ̯	0.105
ˈiː	ˈiː	1.0
ˈoː	ˈuːə̯	0.273
ˈoː	ˈeː	0.225
ˈoː	ˈɔː	0.159
ˈoː	ˈuə̯	0.13
ˈoː	ˈœː	0.099
ˈoː	ˈøː	0.057
ˈuː	ˈuː	0.597
ˈuː	ˈʊ	0.283
ˈuː	ˈuə̯	0.061
ˈuː	ˈaʊ̯	0.06
ˈyː	ˈyː	1.0
ˈøː	ˈaɪ̯	0.396
ˈøː	ˈøː	0.396
ˈøː	ˈiɛ̯	0.141
ˈøː	ˈyː	0.067
ˈœ	ˈɛ	0.473
ˈœ	ˈyə̯	0.423
ˈœ	ˈiɛ̯	0.104
ˈɒː	ˈɔː	0.719
ˈɒː	ˈaː	0.149
ˈɒː	ˈœː	0.094
ˈɔ	ˈɔ	0.523
ˈɔ	ˈuːə̯	0.25
ˈɔ	ˈa	0.14
ˈɔ	ˈʏ	0.087
ˈɔʏ̯	ˈøː	0.87
ˈɔʏ̯	ˈœː	0.13
ˈɛ	ˈɛ	0.551
ˈɛ	ˈɪɛ̯	0.257
ˈɛ	ˈiə̯	0.08
ˈɛ	-	0.06
ˈɛ	ˈɪ	0.052
ˈɛə̯	ˈa	1.0
ˈɛɪ̯	ˈaɪ̯	0.648
ˈɛɪ̯	ˈeː	0.309
ˈɛː	ˈɪɛ̯	0.442
ˈɛː	ˈa	0.259
ˈɛː	ˈɛː	0.211
ˈɛː	ˈɪə̯	0.055
ˈɪ	ˈɪ	0.877
ˈɪ	ˈɛ	0.123
ˈʊ	ˈʊ	0.871
ˈʏ	ˈʏ	0.471
ˈʏ	ˈø	0.315
ˈʏ	ˈʊ	0.084
ˈʏ	ˈyː	0.065
