Campidanese	Walloon	probability
ă	-	1.0
f	f	1.0
ŏ	-	1.0
rː	-	1.0
w	w	1.0
z	-	1.0
ð	-	1.0
ŋ	-	1.0
ɖː	-	1.0
ɲː	ɲ	1.0
ʒ	-	1.0
ʣ	-	1.0
ʤ	-	1.0
ʦ	-	1.0
ʧ	s	1.0
β	f	1.0
i	ɛ	0.161
l	-	0.321
n	n	0.251
r	ʀ	0.361
t	t	0.501
ɣ	-	0.961
ˈe	j_ˈɛ	0.11
ˈo	ˈɔ	0.121
ˈu	-	0.061
a	-	0.182
a	a	0.292
k	-	0.282
ˈa	ˈa	0.072
ˈa	ˈɑ̃	0.122
ˈa	ˈiː	0.242
ˈe	ˈiː	0.152
ˈo	w	0.062
ˈu	ˈɔ̃	0.182
j	j	0.123
n	-	0.693
nː	n	0.433
u	ˈu	0.123
ˈa	ˈe	0.183
ˈe	ˈeː	0.143
ˈe	w_ˈɛ	0.203
ˈe	-	0.243
ˈu	ˈøː	0.213
ˈu	ˈɔ	0.353
e	ɛ	0.084
i	ˈɛ	0.064
i	j	0.394
m	-	0.214
o	ɔ	0.24
u	-	0.314
ˈa	ˈɔː	0.14
ˈo	w_ˈa	0.074
ˈo	ˈɔ̃	0.324
ˈu	ˈuː	0.064
b	b	0.165
d	-	0.145
s	s	0.965
u	ˈa	0.435
ɡ	k	0.495
ɡ	ɡ	0.505
ˈi	-	0.195
ˈo	ˈoː	0.075
d	d	0.646
m	m	0.786
n	ˈɛ̃	0.056
o	-	0.76
ˈi	ˈiː	0.086
ˈi	ˈɛ	0.56
ˈo	ˈøː	0.086
i	-	0.367
j	-	0.877
nː	-	0.567
p	p	0.97
ˈa	-	0.157
ˈe	ˈɛː	0.07
ˈo	ˈuː	0.257
ˈu	ˈy	0.127
a	j	0.508
b	-	0.068
b	v	0.768
e	a	0.088
e	-	0.828
r	l	0.088
ˈe	ˈɛ	0.078
ˈi	ˈi	0.158
d	d_w	0.209
k	k	0.299
k	ʧ	0.419
l	l	0.679
r	-	0.529
t	-	0.499
u	ˈoː	0.129
