Saterland Frisian	Saterland Frisian	probability
ˈɛɪ̯_#>	ˈai̯_#>	1.0
ˈɔːɪ̯	-	1.0
ˈœː	ˈɘ̟	1.0
ˈu	-	1.0
ˈoː_d	ˈu_t	1.0
ˈiːu̯	ˈɑ	1.0
ˈeːu̯	ɡ_ˈɑ	1.0
ˈaːi̯	ɡ̊	1.0
ɡ	ɡ	1.0
ə_n	ə	1.0
ə_l	u_w	1.0
ŋ	ŋ	1.0
w	n	1.0
s_ˈuː	z_ˈu	1.0
s_t	ʃ_t	1.0
s_k_ə_#>	ʃ_#>	1.0
s_k_#>	ʃ_#>	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
p_#>	f_#>	1.0
m	m	1.0
l_#>	l_#>	1.0
k_ə	x	1.0
k_#>	x_#>	1.0
j_ˈuː	ˈɑi̯_ɛ	1.0
j_ˈoː	ˈi	1.0
j_ə	a	1.0
i	ɑ	1.0
h	h	1.0
f	f	1.0
d_ə	d̥	1.0
b	b	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_w	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_t	1.0
l	w	0.821
r	r	0.809
n	n	0.732
v	v	0.724
ˈɛ	-	0.714
j	-	0.714
ˈɪ	ˈɘ̟	0.7
ɣ	ɡ	0.692
p	f	0.667
#>	r_#>	0.667
ˈʊ	ˈu	0.615
<#	<#_ˈɑ	0.6
ˈɛɪ̯	ˈi	0.545
ˈi	ˈai̯	0.545
ˈiː	ˈɘ̟	0.538
ˈɔ	-	0.5
ˈuː	ˈɑi̯	0.5
ˈaː	ˈɑ	0.5
ˈaː	ˈa	0.5
ˈa	ˈɛ	0.5
ˈa	-	0.5
ɪ	ɪ	0.5
ɪ	-	0.5
ɣ_ə	ɡ̊	0.5
ɣ_ə	v_a	0.5
z	z	0.5
z	s	0.5
x	x	0.5
k	k	0.5
s	z	0.464
d	t	0.464
ə	a	0.463
ˈi	-	0.455
ˈoːu̯	ˈʏ	0.444
ˈɔː	ˈɑ	0.429
ˈeː	ˈa	0.417
<#	<#_t	0.4
t	s	0.378
ˈɛː	ˈɘ̟	0.375
ˈɛː	-	0.375
ˈɔː	-	0.357
p	p	0.333
#>	f_#>	0.333
t	t	0.324
s	ʃ	0.321
ˈʊ	-	0.308
ˈɪ	-	0.3
ˈɛ	ˈa	0.286
j	ˈi	0.286
d	d̥	0.286
ˈɛɪ̯	-	0.273
ˈoː	ˈɑ	0.263
ˈoː	-	0.263
ˈɛː	ˈɔ	0.25
ˈɔ	ˈɘ̟	0.25
ˈɔ	ˈɑ	0.25
ˈeː	ˈei̯	0.25
k	ç	0.25
d	d	0.25
ˈiː	ˈai̯	0.231
ˈiː	-	0.231
ˈuː	ɛ	0.222
ˈoːu̯	ˈɑ	0.222
ˈoːu̯	ˈu	0.222
ə	-	0.222
x	ɡ̊	0.222
n	-	0.22
ˈɔː	ˈɔ	0.214
ˈoː	ˈɔ	0.211
ə	ɛ	0.204
t	ʦ	0.189
ˈɛɪ̯	ˈɛ	0.182
ˈuː	ˈu	0.167
ˈeː	ˈɛ	0.167
ˈeː	ˈɑ	0.167
x	k	0.167
k	x	0.167
ˈoː	ˈɑi̯	0.158
ɣ	ɟ	0.154
ɣ	-	0.154
r	-	0.149
v	-	0.138
ˈuː	-	0.111
ˈoːu̯	ˈø	0.111
ə	ə	0.111
x	-	0.111
t	d	0.108
s	s	0.107
l	l	0.107
ˈoː	ˈu	0.105
k	c	0.083
ˈʊ	ˈɪ	0.077
s	-	0.071
l	-	0.071
v	v_ˈa	0.069
v	v_j	0.069
