Bellunese	Bellunese	probability
θ	s	1.0
ˈɛ_r	ˈɛ_ʀ	1.0
ˈu_r	ˈy	1.0
ˈo_r_#>	ˈu_#>	1.0
ˈi_r_#>	ˈi_#>	1.0
ʧ_o_#>	j_#>	1.0
ʧ	k_l	1.0
ʤ	ɡ_l	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
w	-	1.0
v_e	w_ɾ	1.0
u	y	1.0
t_#>	#>	1.0
s_ˈe	s_ˈe	1.0
s_#>	s_#>	1.0
r_t	ʀ	1.0
r_a	ɾ_ɔ	1.0
p	p	1.0
o_#>	#>	1.0
n_#>	#>	1.0
m	m	1.0
l_ˈe	l_ˈe	1.0
l_a	l_ɔ	1.0
l_#>	w_#>	1.0
k_r	k_ɾ	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
e_m	mː	1.0
b	b	1.0
<#_θ	<#_s	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
f	f	0.9
r_#>	#>	0.875
ŋ	ŋ	0.861
ð	ʤ	0.8
d	d	0.8
v	v	0.769
a	ɔ	0.746
ˈa	ˈa	0.74
l	l	0.667
ˈɛ	ˈɛ	0.636
z	z	0.625
i	-	0.625
t	t	0.619
j	l	0.615
e_r	e	0.6
<#_ˈa	<#_ˈa	0.6
ˈi	ˈi	0.579
s	s	0.56
n	n	0.56
e	e	0.556
r	ɾ	0.528
ˈu	ˈu	0.5
ˈe	ˈe	0.5
ɡ_o	ˈe_k	0.5
ɡ_o	k	0.5
ˈo	ˈu	0.469
ˈɔ	w_ˈe	0.412
e_r	ɾ	0.4
<#_ˈa	<#_ˈã	0.4
j	-	0.385
z	-	0.375
#>	e_#>	0.368
o	u	0.355
r	ʀ	0.333
l	w	0.333
e	-	0.333
s	e_s	0.32
#>	w_#>	0.316
ˈe	ˈẽ	0.3
n	ŋ	0.28
ˈi	ˈĩ	0.263
o	e	0.258
a	a	0.254
ˈu	ˈỹ	0.25
ˈu	ˈy	0.25
i	i	0.25
<#	<#_ɥ	0.25
<#	<#_ɡ	0.25
<#	<#_w	0.25
<#	<#_a	0.25
ˈɔ	ˈe	0.235
o	ˈe	0.226
ˈa	ˈã	0.22
ð	-	0.2
d	-	0.2
t	-	0.19
ˈɛ	j	0.182
ˈɛ	-	0.182
n	-	0.16
ˈi	j	0.158
ˈo	w	0.156
v	b	0.154
ˈe	ˈɛ	0.133
ˈo	w_ˈẽ	0.125
r_#>	e_#>	0.125
i	ĩ	0.125
s	j_s	0.12
ˈɔ	ˈu	0.118
ˈɔ	ˈa_w	0.118
ˈɔ	ɥ	0.118
e	j	0.111
#>	ɔ_#>	0.105
#>	s_#>	0.105
#>	j_#>	0.105
f	-	0.1
t	ˈe_ʧ	0.095
t	d	0.095
ˈo	ˈũ	0.094
ˈo	w_ˈe	0.094
ŋ	m	0.083
r	j_ɾ	0.083
v	-	0.077
ˈe	l	0.067
o	w	0.065
o	-	0.065
ˈo	ɥ_ˈe	0.062
ŋ	-	0.056
r	ˈi	0.056
