Alsatian	Westphalian	probability
b̥	b	0.88
b̥	v	0.063
b̥	ʋ	0.057
d̥	d	0.874
d̥	-	0.126
e	-	1.0
eː	aɪ̯	1.0
f	f	0.662
f	p	0.198
f	-	0.076
f	v	0.057
h	h	1.0
i	ɪ	0.689
i	ɐ	0.174
i	-	0.137
j	ŋ	0.338
j	ɡ	0.294
j	j	0.292
j	ç	0.076
k	k	0.513
k	ç	0.263
k	ɡ	0.224
kʰ	k	1.0
l	l	0.99
m	m	0.927
m	-	0.073
n	n	0.932
n	-	0.068
p	p	1.0
p͡f	p	1.0
s	s	0.501
s	t	0.415
s	z	0.084
t	t	0.529
t	d	0.431
v	ɡ	0.917
v	v	0.083
w	ʋ	0.666
w	ˈʏ	0.334
x	x	0.771
x	k	0.229
ŋ	ŋ	1.0
ə	n	0.505
ə	ɐ	0.427
ɡ̊	x	0.93
ʁ	-	0.62
ʁ	r	0.38
ʃ	ʃ	0.661
ʃ	ç	0.148
ʃ	k	0.095
ʃ	s	0.063
ʋ	v	0.837
ʋ	ʋ	0.121
ʦ	t	1.0
ˈai̯	ˈaɪ̯	1.0
ˈaː	ˈaɪ̯	0.38
ˈaː	ˈaː	0.31
ˈaː	ˈɛ	0.31
ˈe	ˈɛ	0.412
ˈe	ˈɛː	0.166
ˈe	ˈyə̯	0.104
ˈe	ˈøː	0.098
ˈe	ˈɪɛ̯	0.094
ˈe	ˈiɛ̯	0.062
ˈei̯	ˈiː	0.36
ˈei̯	ˈeː	0.327
ˈei̯	ˈaɪ̯	0.313
ˈeː	ˈaɪ̯	0.277
ˈeː	ˈiː	0.199
ˈeː	ˈiɛ̯	0.117
ˈeː	ˈœː	0.117
ˈeː	ˈøː	0.116
ˈeː	ˈɔː	0.116
ˈi	ˈɪ	0.675
ˈi	ˈiː	0.111
ˈi	ˈʏ	0.051
ˈiː	ˈøː	0.177
ˈiː	ˈyː	0.167
ˈiː	ˈaɪ̯	0.141
ˈiː	ˈiː	0.124
ˈiː	ˈeː	0.11
ˈiː	ˈɪ	0.089
ˈiː	ˈɪɛ̯	0.075
ˈiː	ˈɪə̯	0.067
ˈo	ˈʊ	0.485
ˈo	ˈɔː	0.239
ˈo	ˈuːə̯	0.157
ˈo	ˈɔ	0.119
ˈoː	ˈɔː	0.58
ˈoː	ˈaʊ̯	0.265
ˈoː	ˈuːə̯	0.099
ˈoː	ˈɔ	0.056
ˈu	ˈʊ	0.471
ˈu	ˈuːə̯	0.133
ˈu	ˈuə̯	0.127
ˈu	ˈʏ	0.08
ˈu	ˈa	0.067
ˈyː	ˈuː	0.591
ˈyː	ˈʊ	0.409
ˈæ	ˈɪɛ̯	0.37
ˈæ	ˈɪə̯	0.321
ˈæ	ˈɛ	0.309
ˈæː	ˈœː	0.42
ˈæː	ˈɪɛ̯	0.281
ˈæː	ˈaɪ̯	0.241
ˈæː	ˈɛː	0.058
ˈø	ˈuə̯	1.0
ˈøi̯	ˈuː	1.0
ˈøː	ˈoː	1.0
ˈœ	ˈaʊ̯	1.0
ˈɒ	ˈa	0.588
ˈɒ	ˈɛ	0.101
ˈɒ	ˈaʊ̯	0.068
ˈɒ	ˈɔː	0.068
ˈɒ	ˈaː	0.066
ˈɒ	ˈɔ	0.057
ˈɒ	ˈɪ	0.053
ˈɒː	ˈa	0.436
ˈɒː	ˈaː	0.287
ˈɒː	ˈɛː	0.123
ˈɒː	ˈɪə̯	0.084
ˈɒː	ˈɔː	0.069
ˈɔi̯	ˈaʊ̯	1.0
ˈəi̯	ˈeː	0.86
ˈəi̯	ˈɪ	0.084
ˈəi̯	ˈaɪ̯	0.057
ˈɛ	ˈɪɛ̯	1.0
ˈʊː	ˈoː	0.483
ˈʊː	ˈaʊ̯	0.387
ˈʊː	ˈuə̯	0.065
ˈʊː	ˈøː	0.065
