Northern Low Saxon	Westphalian	probability
ˈɛɪ̯	-	1.0
ˈɛ_l	ˈɪɛ̯	1.0
ˈɛ	ˈɛ	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈyː	ˈyː	1.0
ˈiː	ˈiː	1.0
ˈeɪ̯	-	1.0
ʒ	j	1.0
ɪ	ɪ	1.0
ə	-	1.0
x	x	1.0
tʰ	t	1.0
t	t	1.0
s_l	ʃ_l	1.0
r	r	1.0
p	p	1.0
nː	nː	1.0
l_m	l_v	1.0
l	l	1.0
kʰ	k	1.0
f_#>	v_#>	1.0
d_ˈa	d_ˈa	1.0
ˈɪ	ˈɪ	0.926
n	n	0.908
h	h	0.889
f	f	0.889
ˈa	ˈa	0.87
ɐ	ɐ	0.868
ˈʊ	ˈʊ	0.846
z	s	0.833
ŋ	ŋ	0.8
ç	ç	0.8
v	v	0.793
ʃ	ʃ	0.75
s	s	0.75
m	m	0.727
z̥	z̥	0.714
b	b	0.71
ˈɔʏ̯	ˈøː	0.7
ˈøː	-	0.667
ˈuː	ˈuː	0.643
ˈɔ	-	0.625
d_n	t_n	0.625
ˈaɪ̯	ˈaɪ̯	0.583
ɡ	k	0.567
ˈʏ	ˈʏ	0.556
ˈoː	ˈɔː	0.545
ˈœ	ˈiɛ̯	0.5
ˈœ	-	0.5
ˈaʊ̯	ˈaʊ̯	0.481
ˈeː	ˈɪɛ̯	0.4
ˈɔ	ˈuːə̯	0.375
d_n	d_n	0.375
ɡ	x	0.367
d	d	0.351
d	d̥	0.338
ˈøː	ˈɪə̯	0.333
ˈaː	ˈa_ɐ	0.333
ˈaː	ˈa_l	0.333
ˈaː	-	0.333
ˈaʊ̯	ˈoː	0.333
ˈɔʏ̯	-	0.3
ˈeː	ˈɪə̯	0.3
ˈeː	-	0.3
ˈaɪ̯	ˈeː	0.292
b	p	0.29
z̥	z	0.286
ˈoː	-	0.273
d	t	0.273
ʃ	ʃ_k	0.25
s	s_t	0.25
ˈʏ	ˈø	0.222
ˈʏ	-	0.222
ˈuː	ˈʊ	0.214
v	ʋ	0.207
ŋ	ɡ_n	0.2
ç	ɡ_ə	0.2
ˈoː	ˈaː	0.182
z	z	0.167
ˈʊ	-	0.154
ˈuː	-	0.143
ɐ	-	0.132
ˈa	-	0.13
ˈaɪ̯	-	0.125
ˈaʊ̯	-	0.111
h	h_ˈɛ	0.111
f	ʋ	0.111
m	v_n	0.091
m	n	0.091
m	m_n	0.091
ˈɪ	ˈɛ	0.074
ˈaʊ̯	ˈɔ	0.074
ɡ	ɡ	0.067
