Pennsylvania German	East Franconian	probability
ˈɔɪ̯	ˈɛː	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ʦ	ʦ	1.0
ʃ_d̥	s_d̥	1.0
ʃ	ʃ	1.0
ɾ_ɪ	ɐ	1.0
ɾ_ə	ɐ	1.0
ɡ_ˈeː	ɡ̊	1.0
ɑ	ɐ	1.0
ŋ	ŋ	1.0
ç_ə	ŋ	1.0
t	d̥	1.0
s_ə	z̥_n	1.0
n_ɑ	n_ɐ	1.0
m	m	1.0
l_d̥	l_d̥	1.0
h	h	1.0
eː	eː	1.0
d̥	d̥	1.0
b̥	b̥	1.0
f	f	0.974
l	l	0.971
b	b̥	0.937
ˈaɪ̯	ˈaɪ̯	0.933
n	n	0.914
d	d̥	0.893
ɾ	r	0.876
ʋ	v	0.874
ˈɪ	ˈɪ	0.859
ç	ç	0.843
ɡ	ɡ̊	0.838
ˈɔ	ˈɔ	0.833
ˈʊ	ˈʊ	0.829
x	x	0.813
ˈa	ˈɒ	0.812
ˈɛ	ˈɛ	0.736
s	s	0.714
j	ŋ	0.703
k	kʰ	0.64
ˈɔː	ˈoː	0.547
ˈɛː	ˈɛ	0.534
ˈoː	ˈoː	0.526
ɣ	ŋ	0.525
ˈaː	ˈɔ_ɐ	0.514
ˈeː	ˈaː	0.503
ɪ	i	0.5
ɪ	-	0.5
ə	n	0.49
ɣ	ɣ	0.475
ˈoː	ˈuː	0.474
ə	a	0.415
k	ɡ̊	0.36
ˈɔː	ˈaː	0.339
ˈaː	ˈʊ	0.325
ɡ̊	ɡ̊_n	0.308
j	j	0.297
s	z̥	0.286
ɡ̊	ɣ̊	0.272
ˈɛː	ˈɛː	0.267
ˈeː	ˈeː	0.25
ˈeː	ˈiː	0.247
ɡ̊	ɡ̊	0.215
ɡ̊	ç	0.205
ˈɛː	ˈɘ	0.198
ˈɛ	ˈeː	0.195
x	-	0.187
ˈʊ	-	0.171
ˈɔ	ˈuː	0.167
ɡ	-	0.162
ˈaː	ˈa	0.161
ç	-	0.157
ˈɪ	ˈiː	0.141
ʋ	β	0.126
ɾ	ɐ	0.124
ˈɔː	-	0.114
d	ɾ	0.107
ˈa	-	0.096
ə	ŋ	0.086
ˈa	ˈɔ	0.07
ˈɛ	-	0.069
ˈaɪ̯	-	0.067
b	b̥͡v̥	0.063
