Wymysorys	Proto-Germanic	probability
ˈɛ_n	ɑi̯	1.0
ˈɘ̟_k	ˈu_ɣ	1.0
ˈoi̯	-	1.0
ʧ	k_i	1.0
ʦ	t	1.0
ɪ_k	ɣ	1.0
ɡ	ɣ	1.0
ɛ_r	r	1.0
ə	ɑ	1.0
ɑ	e_x	1.0
ŋ	ŋ	1.0
z_ˈɑ	s_ˈɑ	1.0
z	s	1.0
x_t	x_t	1.0
u	-	1.0
p	p	1.0
n_s	n_s	1.0
h	x	1.0
c	k_ɑ	1.0
b̥	β_ɑ	1.0
b	b	1.0
m	m	0.952
ˈɔ	ˈɑ	0.882
w	l	0.873
ˈu	ˈu	0.818
ɟ	ɣ	0.817
n	n	0.769
d	θ	0.764
ˈai̯	ˈiː	0.742
r	r	0.738
ˈa	ˈɑi̯	0.706
f	ɸ	0.705
v	w	0.686
s	t	0.679
ˈɘ̟	ˈi	0.644
l	l_ɑ	0.644
ˈʏ	ˈɔː	0.61
a	ɑ_n	0.6
t	ð	0.585
ˈɛ	ˈɑ	0.58
ˈi̯ø	ˈɑ_r	0.575
x	k	0.559
ç	k	0.555
j	-	0.551
ʃ	s_k	0.55
ˈø	ˈɛː	0.541
k	x	0.525
ˈɑ	ˈɑ	0.479
k	k	0.475
ʃ	s	0.45
j	j	0.449
ç	k_i	0.445
ɡ̊	ɣ_ɑ	0.428
ˈi̯ø	ˈɑ_ɣ	0.425
ˈɛ	-	0.42
ˈɑ	ˈe	0.4
ˈʏ	-	0.39
ˈei̯	-	0.374
ˈɑi̯	ˈuː	0.356
l	l	0.356
ɛ	ɛː	0.351
ɡ̊	ɡ	0.322
d̥	d_ɑ	0.308
ˈi	ˈɔː	0.302
f	p	0.295
ˈa	ˈe	0.294
ˈɘ̟	ˈu	0.279
ˈi	ˈeu̯	0.274
t	t	0.273
ˈø	-	0.271
ˈɑi̯	ˈɑu̯	0.256
ɡ̊	ɣ	0.25
s	s	0.239
d	d	0.236
d̥	d	0.231
ˈi	ˈɑ	0.228
v	β	0.22
ˈei̯	ˈi	0.211
ˈei̯	ˈe	0.211
ɛ	e	0.21
ˈei̯	ˈɑi̯_w	0.204
x	k_s	0.2
ˈi	-	0.196
r	z	0.189
ˈø	ˈu	0.188
ɟ	ɡʷ	0.183
ˈu	ˈɑu̯	0.182
ˈai̯	ˈi_j	0.169
n	nː	0.168
ɛ	r	0.159
x	x	0.159
d̥	θ_ɑ̃	0.154
d̥	θ	0.154
d̥	-	0.154
ˈɑi̯	ˈiu̯	0.146
a	n_ɑ̃	0.143
ɛ	ɑ	0.14
ɛ	r_ɑ	0.14
ˈɑ	-	0.121
ˈɔ	-	0.118
ˈɑi̯	ˈe	0.107
ˈɑi̯	-	0.106
t	θ	0.098
v	-	0.094
a	ɔːː	0.086
a	n	0.086
a	-	0.086
x	kː	0.082
s	s_ɑ̃	0.082
w	-	0.079
ˈɘ̟	ˈe	0.077
r	j	0.073
