Occitan	Neapolitan	probability
#>	ə_#>	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_w	1.0
<#_ˈe	<#_ˈi	1.0
a_l	a_l	1.0
d_ɾ	ə_ɾ	1.0
e_#>	ə_#>	1.0
e_l	ə_l	1.0
e_n	ə_n	1.0
i	i	1.0
j_s	ʃː	1.0
j_ˈɛ	j_ˈɛ	1.0
k	k	1.0
k_ɔ	kː	1.0
l_#>	lː_ə	1.0
m	m	1.0
m_#>	mː_ə	1.0
n_ɔ	n	1.0
p	p	1.0
r_t	ɾ_t	1.0
s_k	k	1.0
s_p	p	1.0
s_t	s_t	1.0
t_ˈa	t_ˈa	1.0
v	v	1.0
w_ɾ	v	1.0
y	u	1.0
z	ʃ	1.0
ð	t	1.0
ɔ_#>	ə_#>	1.0
ɡ	ɡ_w	1.0
ɥ	-	1.0
ɥ_ˈɔ	w_ˈɔ	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɲ	ɲː	1.0
ʧ	tː	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_j	ˈa_t	1.0
ˈa_t	ˈa_tː	1.0
ˈa_w	ˈɔ	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈe_j	ˈe	1.0
ˈe_k	ˈi_kː	1.0
ˈi_#>	ˈi_#>	1.0
ˈu_l	ˈu_kː_j	1.0
ˈu_t	ˈu_tː	1.0
ˈy_ʧ	ˈu_tː	1.0
<#_p	<#_p	0.821
l	ʎː	0.1
r	ɾ	0.571
ɾ	ə_ɾ	0.081
ɾ	-	0.081
ʦ_#>	ʃ_ə	0.571
ˈu	ˈu	0.441
ˈy	ˈu_ɾ	0.231
<#_b	<#	0.2
<#_ˈa	<#	0.182
l	j	0.2
n	ˈɔ_n	0.2
n	nː	0.2
t	d	0.182
t	-	0.182
u	o	0.2
ˈɛ	ˈɛ	0.382
β	-	0.2
<#_b	<#_v	0.3
<#_d	<#	0.143
<#_e	<#	0.333
<#_s	<#_s	0.593
a	-	0.133
r	ɾ_n	0.143
ŋ_k	ŋ_ɡ	0.333
ɾ	r	0.243
ʎ	-	0.333
ˈa	ˈa	0.93
ˈɛ	j_ˈɛ	0.353
β	v	0.3
<#_a	<#	0.4
l	l	0.4
ˈɔ	ˈɔ	0.474
<#_b	<#_b	0.5
<#_ʤ	<#_ʤ	0.5
<#_ʤ	<#_j	0.5
j	ə	0.25
j	-	0.75
n_#>	n_t	0.25
n_#>	n_t_ə	0.75
r	rː	0.095
s_#>	ə_#>	0.5
s_#>	j_ə_#>	0.5
w	ˈɔ	0.125
w	-	0.25
ɾ	ɾ	0.595
ʤ	d	0.25
ʤ	ʤː	0.25
ʤ	j	0.25
ʤ	t	0.25
ˈe	ˈe	0.565
ˈi	ˈi_n	0.125
ˈi	ˈi	0.875
β	p	0.5
<#_a	<#_a	0.6
e	ə_ɾ	0.176
n	n	0.6
t	t	0.636
ɣ	-	0.286
ɣ	ɡ	0.286
ˈu	ˈo	0.176
ˈɔ	w_ˈɔ	0.526
<#_d	<#_d	0.857
<#_e	<#_ʃ	0.667
<#_s	<#_ʃ	0.407
a	a	0.867
l	sː	0.067
l	lː	0.067
l	k_j	0.167
s	sː	0.167
s	s	0.167
s	-	0.167
s	ʃ	0.167
s	p	0.167
s	ʃː	0.167
ŋ_k	ŋ_k	0.667
ʎ	ʎː	0.667
ˈa	ˈa_ɾ	0.07
ˈe	-	0.087
ˈu	w	0.147
ˈɛ	ˈe	0.147
<#_ˈa	<#_ˈa	0.818
e	e	0.118
e	-	0.118
e	i	0.588
u	u	0.8
w	w	0.188
w	v	0.438
ˈe	ˈi	0.348
ˈu	ˈu_n	0.088
ˈu	ˈo_ɾ	0.088
<#_p	<#	0.179
r	r	0.19
ɣ	k	0.429
ʦ_#>	ʦː_ə	0.429
ˈu	ˈo_n	0.059
ˈy	ˈu	0.769
ˈɛ	ˈɛ_ɾ	0.059
ˈɛ	ˈɔ_kː	0.059
