Swedish	Old English	probability
a	ɑ	0.629
a	e	0.259
a	i_ɑ	0.074
b	b	1.0
d	d	0.794
d	θ	0.122
e	e	1.0
f	f	0.974
h	h	1.0
j	-	0.508
j	ˈeo̯	0.183
j	ɣ	0.144
j	j	0.101
j	l	0.063
jː	ʤː	1.0
k	k	0.491
k	ʧ	0.244
k	-	0.131
k	kː	0.084
k	ç	0.05
kʰ	k	0.657
kʰ	ʧ	0.343
kː	ŋ_k	0.538
kː	ʧː	0.211
kː	ʧ	0.195
kː	k	0.056
l	l	0.557
l	ɫ	0.303
l	d_l	0.055
lː	ɫ	0.603
lː	lː	0.397
m	m	0.919
m	f	0.081
mː	m	0.792
mː	mː	0.208
n	n	0.789
n	-	0.185
nː	n	0.536
nː	nː	0.314
nː	θ	0.079
nː	ð	0.071
p	p	0.932
p	pː	0.068
pʰ	p	1.0
pː	p	0.698
pː	pː	0.302
r	r	0.91
rː	θ	0.751
rː	j	0.192
rː	rː	0.057
s	s	0.823
s	ʃ	0.117
sː	s	1.0
t	t	0.981
tʰ	θ	0.517
tʰ	t	0.421
tː	t	0.436
tː	ç	0.279
tː	x	0.174
tː	tː	0.111
v	w	0.519
v	f	0.219
v	v	0.204
ŋ	j	0.416
ŋ	n	0.357
ŋ	ŋ	0.162
ŋ	v	0.065
ŋː	ŋ	1.0
ɔ	iːy̯	1.0
ɕ	ʧ	0.749
ɕ	θ	0.159
ɕ	t	0.091
ɖ	r_d	0.729
ɖ	ð	0.271
ɛ	e	0.392
ɛ	o	0.262
ɛ	ɑ	0.187
ɛ	-	0.099
ɛ	a	0.06
ɡ	ɡ	0.339
ɡ	j	0.327
ɡ	ɣ	0.18
ɡ	x	0.058
ɡː	ʤ	0.854
ɡː	j	0.146
ɧ	s	0.53
ɧ	ʃ	0.47
ɪ	e	0.754
ɪ	i	0.123
ɪ	iː	0.123
ɳ	r	0.878
ɳ	rː	0.122
ɳː	n	1.0
ɵ	i	0.929
ɵ	o	0.071
ʈː	t	0.823
ʈː	r_t	0.177
ʊ	ˈiːy̯	0.508
ʊ	-	0.369
ʊ	o	0.123
ˈa	ˈɑ	0.465
ˈa	ˈæɑ̯	0.372
ˈa	ˈoː	0.091
ˈeː	ˈɑː	0.548
ˈeː	ˈi	0.203
ˈeː	ˈiy̯	0.104
ˈeː	ˈeːo̯	0.09
ˈeː	ˈiː	0.054
ˈiː	ˈiː	0.718
ˈiː	-	0.099
ˈiː	ˈeː	0.088
ˈiː	ˈi	0.059
ˈoː	ˈɑː	0.242
ˈoː	ˈæːɑ̯	0.205
ˈoː	ˈu	0.181
ˈoː	ˈoː	0.175
ˈoː	ˈæː	0.13
ˈoː	ˈɑ	0.066
ˈuː	ˈoː	0.541
ˈuː	ˈo	0.245
ˈuː	r	0.131
ˈuː	ˈuː	0.07
ˈyː	ˈiːy̯	0.567
ˈyː	ˈeːo̯	0.394
ˈæ	r	0.805
ˈæ	ˈeo̯	0.195
ˈæː	ˈeː	0.665
ˈæː	ˈeo̯	0.335
ˈøː	ˈæːɑ̯	0.419
ˈøː	ˈeː	0.285
ˈøː	ˈe	0.167
ˈøː	ˈæː	0.078
ˈœ	ˈo	0.218
ˈœ	ˈiːy̯	0.206
ˈœ	ˈæːɑ̯	0.206
ˈœ	ˈyː	0.118
ˈœ	ˈeː	0.088
ˈœ	-	0.065
ˈœ	ˈiy̯	0.057
ˈœː	ˈo	0.59
ˈœː	ˈiːy̯	0.274
ˈœː	ˈæːɑ̯	0.136
ˈɑː	ˈæ	0.39
ˈɑː	ˈɑ	0.314
ˈɑː	ˈæɑ̯	0.22
ˈɑː	ˈi	0.051
ˈɔ	ˈo	0.467
ˈɔ	ˈu	0.171
ˈɔ	ˈæɑ̯	0.115
ˈɔ	ˈyː	0.068
ˈɔ	ˈi	0.064
ˈɔ	ˈuː	0.056
ˈɛ	ˈe	0.385
ˈɛ	ˈiː	0.101
ˈɛ	ˈi	0.099
ˈɛ	ˈeːo̯	0.086
ˈɛ	ˈeː	0.076
ˈɛ	ˈɛ	0.068
ˈɛː	ˈe	0.537
ˈɛː	ˈeːo̯	0.17
ˈɛː	ˈɑː	0.133
ˈɛː	ˈæ	0.076
ˈɪ	ˈi	0.848
ˈɪ	ˈe	0.132
ˈɵ	ˈu	0.41
ˈɵ	ˈuː	0.148
ˈɵ	w_ˈu	0.134
ˈɵ	ˈi	0.104
ˈɵ	ˈo	0.089
ˈɵ	ˈy	0.089
ˈʉː	ˈeːo̯	0.489
ˈʉː	ˈuː	0.305
ˈʉː	ˈeo̯	0.075
ˈʊ	ˈu	0.631
ˈʊ	ˈoː	0.266
ˈʊ	ˈy	0.103
ˈʏ	ˈy	0.468
ˈʏ	ˈi	0.402
ˈʏ	ˈeo̯	0.067
ˈʏ	i	0.063
