Sicilian	Ligurian	probability
#>	#>	1.0
<#	<#	1.0
<#_a	<#	1.0
a	a	0.844
a	-	0.055
b	b	0.923
b	-	0.074
c	ʤ	0.433
c	-	0.306
c	ʧ	0.123
c	p	0.066
c	k	0.065
c_ʊ	u	1.0
d	d	0.806
d	-	0.114
d	z	0.068
f	f	1.0
i	i	0.247
i	-	0.206
i	e	0.167
i	j	0.149
i	ˈeː	0.102
j	z	0.351
j	-	0.328
j	j	0.157
j	ˈiː	0.157
k	k	0.68
k	ɡ	0.203
k	-	0.116
l	l	0.677
l	-	0.189
l	j	0.059
m	m	0.799
m	-	0.106
m	ŋ	0.055
n	n	0.494
n	ŋ	0.411
n	-	0.07
n_ɪ	ŋ	1.0
n_ʊ	ŋ	0.893
n_ʊ	u	0.094
o	ɔː	0.574
o	u	0.284
p	p	0.849
p	v	0.128
r	r	0.504
r	-	0.231
r	j	0.141
r	w	0.104
r_ˈa	ˈaː	0.494
s	s	0.935
s	-	0.062
t	t	0.729
t	-	0.235
u	u	0.496
u	w	0.32
u	ˈɔ	0.144
v	v	0.81
v	j_v	0.072
w	w	0.777
w	j	0.114
w	ɔː	0.064
w_r	ˈɔː	1.0
z	s	0.223
z	ʒ	0.223
z	z	0.126
ç	ʃ	1.0
ŋ	ŋ	1.0
ɕ	s	0.502
ɕ	ʒ	0.348
ɕ	z	0.098
ɖ	l	0.925
ɖ	-	0.072
ɖ_a	a	0.733
ɖ_a	ˈeː	0.187
ɖ_ʊ	u	0.861
ɖ_ʊ	ˈeː	0.103
ɟ	ʤ	0.794
ɟ	-	0.197
ɟ_a	a	1.0
ɡ	ɡ	1.0
ɪ	e	0.454
ɪ	-	0.434
ɪ	i	0.092
ɪ_ɾ	j	0.527
ɪ_ɾ	e	0.459
ɲ	ɲ	0.729
ɲ	ŋ	0.097
ɲ	ʤ	0.097
ɲ	-	0.054
ɲ_a	a	1.0
ɲ_ʊ	u	1.0
ɽ	r	0.771
ɽ	ˈɛː	0.222
ɾ	r	0.593
ɾ	-	0.276
ɾ	d	0.078
ɾ_ɪ	e	0.822
ɾ_ɪ	j	0.113
ʃ	s	0.509
ʃ	ʃ	0.283
ʃ	-	0.12
ʃ	t	0.061
ʃ_ɪ	e	1.0
ʈ	t	0.488
ʈ	-	0.283
ʈ	w	0.214
ʊ	u	0.778
ʊ	-	0.081
ʐ	r	0.662
ʐ	-	0.335
ʤ	-	0.367
ʤ	z	0.339
ʤ	ʤ	0.165
ʤ	ʒ	0.076
ʦ	s	0.38
ʦ	j	0.12
ʦ	ʒ	0.12
ʦ	d	0.09
ʦ	r	0.09
ʦ	-	0.087
ʦ	z	0.087
ʦ_ʊ	u	1.0
ʧ	-	0.5
ʧ	s	0.5
ˈa	ˈa	0.591
ˈa	ˈaː	0.211
ˈa	-	0.128
ˈa	ˈɛː	0.064
ˈa_l	ˈaː	0.494
ˈa_r	ˈaː	1.0
ˈa_t	ˈɛː	0.758
ˈa_t	ˈaː	0.183
ˈa_w	ˈaː	1.0
ˈa_ɾ	ˈaː	1.0
ˈa_ʃ	ˈa	1.0
ˈe	ˈeː	0.392
ˈe	ˈe	0.223
ˈe	ˈɛ	0.223
ˈi	ˈe	0.44
ˈi	ˈi	0.272
ˈi	ˈiː	0.105
ˈi	-	0.076
ˈi_ɟ	ˈi	1.0
ˈo	ˈu	0.761
ˈo	ˈuː	0.232
ˈu	ˈu	0.306
ˈu	ˈy	0.202
ˈu	ˈuː	0.167
ˈu	ˈyː	0.144
ˈu	w	0.067
ˈu_t	ˈy	0.494
ˈu_ɲ	ˈy	0.121
ˈu_ɾ	ˈuː	0.667
ˈu_ɾ	u	0.333
ˈɔ	ˈøː	0.249
ˈɔ	ˈɔː	0.202
ˈɔ	ˈø	0.192
ˈɔ	ˈu	0.165
ˈɔ	ˈɔ	0.158
ˈɛ	ˈeː	0.36
ˈɛ	ˈe	0.322
ˈɛ	ˈɛː	0.187
ˈɛ	ˈɛ	0.087
ˈɛ_l	ˈeː	1.0
ˈɛ_ɖ	ˈe	1.0
