Bulgarian	Polish	probability
b	b	1.0
f	f	1.0
j	-	1.0
l	l	1.0
lʲ	l	1.0
mʲ	m_j	1.0
u	ˈu	1.0
vʲ	v	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ʧ	ʈ͡ʂ	1.0
o	ˈɔ	0.431
t	t	0.621
ˈa	j_ˈa	0.071
ˈa	ˈɔ	0.101
ˈɛ	-	0.091
ˈɛ	ɛ	0.171
ˈɛ	ˈɛ	0.301
m	m_j	0.442
n	n_ɨ	0.312
s	s	0.522
ˈɛ	ˈa	0.132
ˈɤ	ˈɛ	0.362
n	n	0.473
x	x	0.713
ɐ	-	0.563
ɫ	l	0.133
ɫ	w	0.703
ˈɔ	ˈu	0.223
d	d	0.784
r	-	0.054
v	v	0.884
ɫ	w_ɨ	0.164
ˈi	ˈɨ	0.344
k	k_i	0.095
k	k	0.905
n	ɲ	0.215
p	m_p	0.055
p	p	0.945
r	ʐ	0.115
t	ʨ	0.235
z	z	0.395
z	ʑ	0.605
ɛ	ˈɔ	0.145
ɛ	-	0.155
ɡ	ɡ	0.95
ʦ	<#_j	0.245
ʦ	ʦ	0.395
ˈa	ˈɛ	0.105
ˈɤ	ˈɔ	0.325
d	ʥ	0.216
r	r	0.806
v	v_j	0.116
ɐ	j_ɛ	0.086
ɛ	ˈɛ	0.246
ʦ	-	0.36
ˈi	ˈi	0.656
ˈɛ	ˈɔ	0.236
x	x_ɨ	0.287
ɐ	ˈɛ	0.067
ˈa	a	0.397
ˈɤ	ˈa	0.157
m	m	0.558
s	ɕ	0.478
t	ɲ_ʨ	0.108
ɐ	ɛ	0.058
ɐ	a	0.18
ɛ	ɛ	0.418
ˈɔ	ˈɔ	0.608
ˈɛ	j_ˈɛ	0.068
o	ɔ	0.569
ˈa	ˈa	0.299
ˈɔ	ɔ	0.169
