English	Saterland Frisian	probability
θ	d	1.0
ˈɪ_ŋ	ˈœː	1.0
ˈɜː	-	1.0
ˈəʊ̯_ɫ	ˈoː_l	1.0
ˈɐ_ð	ˈuː	1.0
ˈɐ_k	ˈøː	1.0
ˈaɪ̯_d	ˈiː_d	1.0
ʤ	x	1.0
ʃ	s_k	1.0
ɜː	r_ˈɛ	1.0
əʊ̯	-	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	z	1.0
tʰ	t	1.0
s_ˈɪ	s	1.0
s_l	s_l	1.0
s	s	1.0
p	p	1.0
m	m	1.0
h	h	1.0
d_ˈe	d_ˈoː	1.0
d_ə	ə_r	1.0
d	d	1.0
b	b	1.0
t	t	0.966
f	f	0.953
n	n	0.92
w	v	0.915
ɹ	r	0.862
ɫ	l	0.859
ˈəʊ̯	ˈeː	0.851
k	k	0.846
ˈaʊ̯	ˈuː	0.838
ɡ	ɣ	0.827
l	l	0.727
ˈɛ	-	0.578
ˈuː	ˈoːu̯	0.555
ɪ	ə	0.553
ʧ	s	0.534
ə	r	0.516
ˈʊ	ˈʊ	0.5
ˈʊ	ˈoːu̯	0.5
ˈɪ	ˈɪ	0.467
ʧ	k	0.466
ˈɑː	-	0.454
ˈɒ	ˈɔː	0.441
ˈɛ	ˈɔː	0.422
ˈæ	ˈoːu̯	0.404
ˈɐ	ˈuː	0.393
ˈɐ	ˈʊ	0.39
ˈeɪ̯	ˈɔː	0.337
ˈɒ	-	0.335
ˈiː	ˈɛɪ̯	0.327
ˈæ	ˈɔ	0.303
ˈuː	-	0.296
ˈe	-	0.293
v	w	0.288
ˈaɪ̯	ˈiː	0.286
ˈaɪ̯	ˈi	0.286
ə	ə	0.281
v	ə	0.277
ˈiː	ˈoː	0.269
ˈɔː	r	0.266
ˈeɪ̯	ˈoː	0.264
ˈɔː	ˈoːu̯_d	0.263
ˈe	ˈeː	0.238
ˈɒ	ˈɛ	0.224
ɪ	ɪ	0.224
ɪ	-	0.224
v	v_ə	0.218
v	-	0.218
ˈɑː	ˈaː	0.216
ə	ə_r	0.203
ˈe	ˈoː	0.202
ˈeɪ̯	ˈaːi̯	0.201
ˈeɪ̯	-	0.198
ˈɔː	ˈɔː_r	0.197
ˈɑː	ˈiː_r	0.187
ɡ	ə	0.173
l	l_j	0.167
ˈaʊ̯	ˈu	0.162
ˈæ	-	0.158
ˈɪ	ˈiː	0.154
k	k_ə	0.154
ˈe	ˈa	0.151
ˈuː	ˈoː	0.15
ˈəʊ̯	ˈoː	0.149
ˈɑː	ˈɛː	0.143
ɫ	ə_l	0.141
ˈɔː	ˈɔ	0.139
ɹ	r_j	0.138
ˈɪ	ˈɛː	0.135
ˈɔː	-	0.135
ˈæ	ˈa	0.135
ˈiː	ˈeː	0.135
ˈɐ	ˈoːu̯	0.126
ˈe	ˈɪ	0.117
ˈaɪ̯	j_ˈuː	0.114
l	l_ˈɛː	0.107
ˈɪ	ˈʊ	0.105
ˈiː	ˈi	0.103
ˈɐ	-	0.09
w	-	0.085
n	ə_n	0.08
ˈɪ	j	0.079
ˈaɪ̯	ˈuː	0.079
ˈaɪ̯	ˈʊ_x	0.078
ˈaɪ̯	ˈɪ_x	0.078
ˈaɪ̯	x	0.078
ˈiː	ˈiː	0.072
ˈiː	j_ˈoː	0.052
ˈɪ	ˈi	0.051
