Eastphalian	East Franconian	probability
ˈɛɪ̯_n	ˈaː	1.0
ˈɛə̯	ˈɒ	1.0
ˈøː	-	1.0
ˈyː	ˈaɪ̯	1.0
ˈaː	ˈoː	1.0
ˈaʊ̯	ˈuː	1.0
ˈaɪ̯	ˈaː	1.0
ʃ	ʃ	1.0
ɪ_ç	i	1.0
ɪ	ɪ	1.0
ɣ̊	ɣ̊	1.0
ɡ_n	ŋ	1.0
ɒː	eː	1.0
ɐ_n	ɐ_n	1.0
ŋ	ŋ	1.0
ç	ç	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	s	1.0
w	v	1.0
v̥	b̥	1.0
v_n	m	1.0
t_ə	s	1.0
t_n	z̥_n	1.0
s_t	ʃ_d̥	1.0
s	ʃ	1.0
r	r	1.0
p	b̥͡v̥	1.0
n_ˈɛɪ̯	n_ˈiː	1.0
n_n	n_a	1.0
m	m	1.0
l_ə	l	1.0
l	l	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d_ˈɪ	d̥_ˈɪ	1.0
d_ˈɛɪ̯	d̥_ˈiː	1.0
b_m	v̥_n	1.0
b	b̥	1.0
d	d̥	0.97
ɐ	ɐ	0.914
ˈiː	ˈaɪ̯	0.874
v	v	0.871
ɣ	ɡ̊	0.822
ˈa	ˈɒ	0.81
ˈʊ	ˈʊ	0.752
ˈɔʏ̯	ˈiː	0.741
ˈuː	ˈaʊ̯	0.718
ˈɪ	ˈɪ	0.71
ˈɛ	ˈɛ	0.657
x	x	0.651
ˈɒː	ˈoː	0.642
n	n	0.636
ˈœ	ˈɛ	0.574
ˈeo̯	ˈuː	0.557
ˈeː	ˈeː	0.506
t	ʦ	0.504
ˈɛɪ̯	ˈiː	0.502
j	ɡ̊	0.494
ˈʏ	ˈɪ	0.486
ˈɛː	ˈoː	0.472
k	kʰ	0.445
ˈeo̯	ˈaː	0.443
ˈœ	-	0.426
ˈɔ	ˈɔ	0.417
ə	-	0.378
x	-	0.349
ˈɔ	ˈʊ	0.333
ə	n	0.311
j	ɣ	0.311
ˈɛː	-	0.307
ˈoː	-	0.301
ˈoː	ˈuː	0.286
ˈʏ	ˈaɪ̯	0.279
ə	a	0.276
ˈɔʏ̯	-	0.259
ˈeː	ˈiː	0.253
ˈɛɪ̯	ˈaː	0.251
ˈɔ	ˈɒ	0.25
ˈeː	ˈɛ	0.241
ˈʏ	-	0.235
ˈoː	ˈʊ	0.234
t	d̥	0.23
ˈɛː	ˈɛ	0.221
k	ɡ̊	0.218
t	s	0.215
ˈɛ	-	0.205
k	x	0.201
j	j	0.195
ˈoː	ˈɔ	0.18
ɣ	ɣ̊	0.178
ˈɒː	-	0.175
ˈʊ	ˈɔ	0.152
ˈɛɪ̯	-	0.151
ˈɒː	ˈɒ	0.143
ˈuː	ˈuː	0.143
ˈɛ	ˈɪ	0.139
ˈuː	-	0.139
k	-	0.136
ˈɪ	-	0.132
v	β	0.129
ˈiː	ˈiː_ɐ	0.126
n	n_d̥	0.126
ˈa	ˈoː	0.124
ˈɪ	ˈiː	0.112
ˈʊ	-	0.096
ˈɛɪ̯	ˈɛː	0.096
n	-	0.088
ɐ	ɾ_ɐ	0.086
t	z̥	0.05
