Auvergnat	Auvergnat	probability
ˈɪ̃	ˈɛ	1.0
ˈɛ	ˈɛ	1.0
ˈɔ_k	ɡ	1.0
ˈœ	ˈø	1.0
ˈỹ	ˈy	1.0
ˈĩ	ˈi	1.0
ˈi_#>	e_#>	1.0
ˈi	ˈi	1.0
ˈe_ʀ	ˈɛ_r	1.0
ˈã	ˈa	1.0
ˈa_w	ˈɔ	1.0
ˈa_#>	ˈe_#>	1.0
ʎ	j	1.0
ʀ_ə	ˈɛ_j	1.0
ɲ	ɲ	1.0
ɪ	s	1.0
ɥ	a_s	1.0
ɡʲ	-	1.0
ɔ_#>	#>	1.0
ɒ_ʀ	a_r	1.0
œ	u	1.0
ŋ_#>	n_#>	1.0
z	-	1.0
w_ˈɔ̃	ˈu	1.0
w_ʀ	v	1.0
vʲ	v	1.0
v_ˈa	v_ˈa	1.0
v	v	1.0
ũ	-	1.0
s_ə	s	1.0
s_u	s	1.0
pʲ	k	1.0
p	p	1.0
n_ɔ	ŋ_a	1.0
n_w	n	1.0
m	m	1.0
lː	s_l	1.0
l_#>	l_#>	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
j_ʀ	dː	1.0
j_#>	j_t_#>	1.0
ĩ	-	1.0
i	i	1.0
fʲ	f	1.0
f	f	1.0
dʲ	d	1.0
b_ʀ	v	1.0
ã_ŋ	a_ŋ	1.0
a	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_r	1.0
<#_u	<#_u	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
ɔ	a	0.964
ˈa	ˈa	0.867
s	s	0.846
ʀ	r	0.822
b	b	0.818
ˈy	ˈy	0.8
n	n	0.8
ʧ	k	0.783
t	t	0.778
ɒ	a	0.769
ˈɔ	ˈø	0.75
u	u	0.75
ˈu	ˈu	0.739
ʎ_#>	j_#>	0.714
k	k	0.714
j	-	0.7
ɡ	ɡ	0.667
w_#>	v_#>	0.667
s_#>	z_#>	0.667
ˈe	ˈɛ	0.652
ŋ	ŋ	0.649
w_ˈɔ	ˈɔ	0.636
ə_#>	#>	0.632
e	e	0.6
ə	e	0.579
ˈẽ	-	0.556
ˈe_j	ˈe	0.556
d	d	0.538
ʤ	ʤ	0.529
ˈũ	ˈu	0.5
ˈũ	-	0.5
<#	<#_n	0.5
<#	<#_m	0.5
l	j	0.481
d	-	0.462
ˈẽ	ˈɛ	0.444
ˈe_j	ˈa	0.444
ˈɪ	ˈe	0.421
e	-	0.4
l	l	0.37
ə_#>	r_#>	0.368
w_ˈɔ	ˈu	0.364
ʤ	-	0.353
ɡ	-	0.333
w_#>	#>	0.333
w	ˈɔ	0.333
s_#>	#>	0.333
ə	-	0.316
j	j	0.3
ʎ_#>	#>	0.286
w	w	0.278
w	-	0.278
ˈɪ	ˈɛ	0.263
ˈɔ	s	0.25
u	ˈø	0.25
ŋ	ŋ_t	0.243
ɒ	-	0.231
#>	t_#>	0.231
ˈe	ˈe	0.217
ˈɪ	ˈi	0.211
ˈy	-	0.2
n	-	0.2
b	v	0.182
#>	s_#>	0.154
#>	d_#>	0.154
k	ɡ	0.143
k	k_w	0.143
ˈu	ˈy	0.13
ˈu	u	0.13
ˈe	-	0.13
ʧ	-	0.13
ʤ	z	0.118
#>	z_#>	0.115
#>	r_#>	0.115
w	ˈø	0.111
t	s_t	0.111
t	s	0.111
ŋ	n	0.108
ˈɪ	-	0.105
ə	a	0.105
ʀ	-	0.089
ʧ	d	0.087
s	s_i	0.077
s	-	0.077
#>	l_#>	0.077
#>	j_#>	0.077
#>	e_#>	0.077
l	j_l	0.074
l	-	0.074
ˈa	ˈɔ	0.067
ˈa	ˈe	0.067
