Saterland Frisian	Old Frisian	probability
ˈɪ	ˈi	1.0
ˈɔːɪ̯	ˈaː_j	1.0
ˈœː	ˈe	1.0
ˈøː	ˈuː	1.0
ˈu	ˈuː	1.0
ˈiːu̯	ˈi	1.0
ˈeːu̯	ˈe	1.0
ˈaːu̯	-	1.0
ˈaːi̯	ˈe_j	1.0
ɪ	i	1.0
z	z	1.0
w	-	1.0
v_ə	v_ə	1.0
s_ˈɛ	s_ˈe	1.0
n_t	n_t	1.0
l_v	l_f	1.0
k_ˈoː	k_ˈa	1.0
k	k	1.0
j_ˈuː	ˈi̯uː	1.0
j_ˈoː	ˈi̯aː	1.0
i	iː	1.0
h	h	1.0
f	f	1.0
d_ə	r	1.0
b	b	0.96
m	m	0.947
s	s	0.928
v	w	0.925
p	p	0.924
l	l	0.92
ə	ə	0.908
r	r	0.88
t	t	0.867
n	n	0.852
d	d	0.825
ˈi	ˈiː	0.804
ˈɛː	ˈe	0.795
ˈɛɪ̯	ˈeː	0.774
j	j	0.751
ˈʊ	ˈu	0.748
ˈoː	ˈaː	0.706
x	x	0.698
ˈɛ	ˈe	0.693
ŋ	ŋ	0.647
ˈeː	ˈɛː	0.641
ɣ̥	ɣ̥	0.559
ɣ	ɣ	0.536
ˈa	ˈa	0.52
ˈa	-	0.48
ɣ	ɡ	0.464
ˈuː	ˈuː	0.452
ˈɔ	-	0.451
ˈoːu̯	ˈɔː	0.379
ˈaː	ˈa	0.378
ˈaː	-	0.37
ˈoːu̯	ˈoː	0.358
ˈɔ	ˈɔː	0.353
ŋ	ŋ_ɡ	0.353
ˈɔː	ˈe	0.313
ˈɛ	-	0.307
ˈiː	ˈi	0.305
ˈiː	ˈeː	0.302
x	-	0.302
ˈuː	ˈu	0.286
ˈɔː	ˈa	0.269
ˈaː	ˈe	0.252
j	ˈi̯uː	0.249
ˈeː	ˈe	0.237
ɣ̥	-	0.225
ɣ̥	ɡː	0.216
ˈiː	ˈe	0.209
ˈɛː	ˈi	0.205
ˈɔ	ˈo	0.196
ˈi	ˈeː	0.196
ˈɔː	ˈo	0.188
ˈiː	ˈiː	0.184
ˈʊ	ˈo	0.169
ˈɔː	ˈɔː	0.159
ˈoː	ˈa	0.158
ˈoː	-	0.136
ˈuː	-	0.134
ˈoːu̯	ˈa	0.134
ˈɛɪ̯	ˈɛː	0.129
ˈuː	ˈo	0.127
d	θ	0.123
ˈeː	ˈeː	0.122
ˈɛɪ̯	-	0.097
n	nː	0.096
r	r_ə	0.085
ˈʊ	ˈi̯aː	0.083
p	pː	0.076
v	h_w	0.075
s	ʦ	0.072
ˈɔː	-	0.071
t	tː	0.068
ˈoːu̯	ˈɔː_r	0.064
ˈoːu̯	ˈo	0.064
l	l_ə	0.059
n	-	0.053
m	mː	0.053
