Limburgish	Scots	probability
i	i	1.0
v̥	f	1.0
w	ˈʌu̯	1.0
ɡ	-	1.0
ɦ	h	1.0
ʃ	ʃ	1.0
ˈɪː	ˈɪ	1.0
ˈʊ	ˈʌ	1.0
d̥	d	0.801
f	f	0.121
j	ˈø	0.1
k	ɡ	0.051
p	p	0.761
z	s	0.991
ˈaː	-	0.131
ˈi	ˈɛ	0.171
ˈuː	ˈu	0.651
ˈyː	ˈiː	0.201
ˈæ	ˈɪ	0.201
ˈæː	ˈʌ	0.281
ˈøː	ˈi	0.541
ˈœi̯	ˈəi̯	0.161
ˈɒː	ˈe	0.071
ˈɔ	ˈʌ	0.271
ˈɔ	ˈo	0.331
ˈɔu̯	ˈu	0.271
ˈɔu̯	ˈiː	0.291
ˈɛ	ˈeː	0.051
ˈɛ	ˈiː	0.171
ˈɛː	ˈeː	0.061
ˈɛːi̯	ˈɛ	0.281
ˈʊː	ˈøː	0.081
ˈʏ	ˈu	0.671
ˈʏː	ˈi	0.501
β	ʍ	0.081
s	z	0.052
s	k_s	0.052
ˈi	ˈeː	0.062
ˈi	ˈiː	0.132
ˈoː	ˈuː	0.262
ˈyː	ˈe	0.352
ˈøː	ˈo	0.112
ˈɛː	ˈe	0.582
ˈɪ	ˈaɪ̯	0.072
d	-	0.093
n	n	0.913
s	ʃ	0.083
ə	ə	0.413
ˈaː	ˈeː	0.183
ˈi	ˈi	0.123
ˈu	ˈi	0.593
ˈæː	ˈɛ	0.153
ˈœi̯	ˈiː	0.13
ˈɑ	ˈɑː	0.243
ˈɔː	ˈʌ	0.13
ˈɛ	ˈa	0.073
ˈɪ	ˈɛ	0.673
ˈʏː	ˈʌ	0.323
β	-	0.093
f	v	0.664
j	ð	0.134
m	m	0.944
s	s	0.744
ɪ	e	0.194
ˈaː	ˈe	0.124
ˈaː	ˈa	0.334
ˈeː	ˈiː	0.234
ˈoː	ˈɪ	0.554
ˈu	ˈeː	0.064
ˈu	ˈe	0.284
ˈæ	ˈɛ	0.434
ˈɑː	ˈø	0.224
ˈɒː	ˈø	0.064
ˈɒː	ˈeː	0.194
ˈʊː	ˈʌ	0.244
b	b	0.965
f	-	0.215
k	k	0.585
x	x	0.305
x	ç	0.575
ɣ	j	0.15
ˈeː	ˈɪ	0.075
ˈi	ˈɑː	0.325
ˈiː	ˈəi̯	0.605
ˈoː	ˈø	0.085
ˈøː	ə	0.185
ˈœ	ˈɪ	0.525
ˈœi̯	j	0.355
ˈœi̯	ˈu	0.355
ˈœː	ˈoː	0.5
ˈœː	ˈɪ	0.5
ˈɑ	ˈɪ	0.095
ˈɑ	ˈa	0.25
ˈɒː	ˈʌ	0.195
ˈɔ	ˈuː	0.105
ˈɔ	ˈø	0.135
ˈɛː	ˈɪ	0.145
ˈɛːi̯	ˈe	0.165
ˈɛːi̯	ˈiː	0.555
ˈʊː	ˈɪ	0.125
d	θ	0.36
j	l	0.096
j	j	0.116
j	-	0.46
m	-	0.056
p	pʰ	0.206
ŋ	ŋ	0.956
ɣ	-	0.216
ɪ	-	0.806
ʀ	r	0.96
ˈeː	ˈʌ	0.056
ˈeː	ˈa	0.056
ˈeː	ˈɛ	0.126
ˈiː	ˈiː	0.246
ˈuː	ˈəi̯	0.106
ˈuː	ˈiː	0.146
ˈæ	ˈa	0.126
ˈɑ	ˈe	0.076
ˈɑ	ˈɛ	0.336
ˈɑː	ˈɑː	0.706
ˈɔː	-	0.066
ˈɔː	ˈu	0.066
ˈɛː	ˈɛ	0.106
ˈɛː	ˈi	0.106
ˈɪ	ˈɪ	0.186
ˈʏː	ˈɪ	0.176
d̥	θ	0.17
l	l	0.987
n	-	0.087
t	tʰ	0.197
ɣ	n	0.117
ˈeː	ˈʌu̯	0.07
ˈeː	-	0.07
ˈæː	ˈeː	0.467
ˈœ	ˈi	0.077
ˈɑː	ˈɪ	0.07
ˈɔː	ˈiː	0.497
ˈʊː	ˈeː	0.107
ˈʊː	-	0.137
β	w	0.827
j	t	0.078
k	kʰ	0.258
v	v	0.138
ɣ	ɡ	0.518
ˈaː	ˈɑː	0.18
ˈuː	ˈuː	0.098
ˈyː	ˈəi̯	0.388
ˈæː	ˈɔɪ̯	0.098
ˈœ	ˈeː	0.398
ˈɒː	ˈiː	0.138
ˈɔ	ˈi	0.078
ˈɔ	-	0.08
ˈɔu̯	ˈuː	0.438
ˈɔː	ˈi	0.198
ˈɛ	ə	0.068
ˈɛ	ˈɪ	0.358
d	d	0.519
k	ʧ	0.099
s	-	0.069
t	t	0.79
v	f	0.839
x	ʤ	0.119
ə	-	0.549
ˈeː	ˈeː	0.079
ˈeː	ˈi	0.119
ˈi	ˈɪ	0.169
ˈiː	ˈɪ	0.059
ˈoː	ˈu	0.099
ˈu	ˈɛ	0.059
ˈæ	ˈeː	0.239
ˈøː	ˈiː	0.139
ˈɒː	ˈi	0.249
ˈɛ	ˈəi̯	0.279
ˈɪ	ˈəi̯	0.069
ˈʊː	ˈo	0.229
ˈʏ	ˈɪ	0.329
