Swabian	Saterland Frisian	probability
b̥͡f	p	1.0
e	ə	1.0
h	h	1.0
j	j	1.0
kʰ	k	1.0
t	d	1.0
ʋ	v	1.0
ʦ	t	1.0
ˈe	ˈɪ	1.0
ˈeə̯	j	1.0
ˈeː	ˈeː	1.0
ˈiː	ˈoː	1.0
ˈuː	ˈoːu̯	1.0
ˈɪ	ˈɪ	1.0
m	m	0.891
ʕ	-	0.111
ˈaː	ˈɔː	0.371
ˈi	ˈɪ	0.381
ˈo	ˈuː	0.251
ˈu	ˈɛː	0.421
ˈuə̯	ˈɛɪ̯	0.141
ˈɔe̯	ˈoː	0.1
a	-	0.072
ç	x	0.082
ŋ	ŋ	0.832
ɡ	k	0.122
ˈae̯	ˈɛ	0.082
ˈae̯	ˈɛɪ̯	0.102
ˈao̯	ˈoː	0.472
ˈoː	ˈoː	0.662
ˈɔe̯	ˈeː_n	0.072
ˈɔː	ˈiː	0.362
d	d	0.693
n	n	0.893
ɡ	ɣ_ə	0.063
ʃ	s_k	0.513
ˈa	ˈoː	0.103
ˈu	ˈuː	0.163
a	ə	0.734
f	p	0.314
ɡ	-	0.184
ʌ	ə_r	0.564
ˈa	ˈoːu̯	0.054
ˈa	ˈɔː	0.224
ˈi	ˈiː	0.424
ˈo	ˈoːu̯	0.184
ˈoː	ˈoːu̯	0.084
ˈoː	ˈuː	0.254
ˈɔ	ˈuː	0.144
a	ə_n	0.075
b	b	0.715
x	k	0.315
x	x	0.685
ʁ	r_j	0.055
ʁ	r	0.945
ˈa	ə_#>	0.195
ˈa	n_#>	0.205
ˈiə̯	ˈɛɪ̯	0.275
ˈiə̯	j_ˈoː	0.725
ˈo	ˈʊ	0.565
ˈəi̯	ˈi	0.545
f	f	0.686
ˈa	ˈɔ	0.06
ˈu	ˈɔː	0.416
ˈɔ	ˈɔ	0.856
ˈəi̯	j	0.096
ˈɛ	ˈaː	0.086
ˈɛ	ˈɛɪ̯	0.086
b	v	0.097
m	m_ə	0.07
n	-	0.067
s	t	0.287
s	s	0.587
ʃ	s	0.487
ˈae̯	ˈeː	0.347
ˈɛ	ˈɛː	0.067
b	-	0.188
d	t	0.258
l	l	0.938
ç	k	0.918
ŋ	ŋ_ə	0.168
ɡ	ɣ	0.378
ˈao̯	ˈuː	0.528
ˈi	ˈʊ	0.068
ˈi	ˈɔː	0.078
ˈɔː	ˈoː	0.638
a	j_ə	0.119
s	z_ə	0.089
ɡ	x	0.189
ʌ	r	0.389
ʕ	r	0.889
ˈae̯	ˈuː	0.469
ˈaː	ˈoːu̯	0.629
ˈuə̯	ˈoːu̯	0.859
ˈɔe̯	ˈeː	0.779
ˈəi̯	ˈiː	0.359
ˈɛ	ˈiː	0.269
ˈɛ	ˈa	0.359
